"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT1G01010",0.000966494845360825,0,27,1.05390728191253e-07,0.0228106451837654,0.358974358974359,8.51331424974066e-06
"AT1G01020",0.00221935853379152,0,62,2.37133351487687e-07,0.0528744677376725,0.390269698572184,8.51331424974066e-06
"AT1G01030",0.00236254295532646,0,66,4.44983235324698e-07,0.0429584120415875,0.318414918414918,8.51331424974066e-06
"AT1G01040",0.00143184421534937,0,40,1.42472439549297e-07,0.036142536002865,0.393589743589744,8.51331424974066e-06
"AT1G01050",0.000572737686139748,0,16,2.22112121207494e-08,0.0148011456282512,0.358333333333333,8.51331424974066e-06
"AT1G01060",0.167740549828179,4624,62,0.00529459876210302,0.429940392339996,0.00917928053471359,0.00315126592530385
"AT1G01070",0.00286368843069874,0,80,4.10075316282612e-07,0.0544679099445156,0.338607594936709,8.51331424974066e-06
"AT1G01080",0.0013602520045819,0,38,1.37348996752486e-07,0.0317893318872391,0.406827880512091,8.51331424974066e-06
"AT1G01090",0.00132445589919817,0,37,6.18018003010102e-08,0.0278697834171777,0.396396396396396,8.51331424974066e-06
"AT1G01100",0.00025057273768614,0,7,5.56477337752546e-09,0.00771963180683476,0.428571428571429,8.51331424974066e-06
"AT1G01110",0.00315005727376861,0,88,2.47212863168804e-07,0.066066650362802,0.382445141065831,8.51331424974066e-06
"AT1G01115",3.57961053837343e-05,0,1,0,0.000747709861600521,0,8.51331424974066e-06
"AT1G01120",0.00493986254295533,0,138,1.17072879900177e-06,0.0896531677853227,0.294932825558024,8.51331424974066e-06
"AT1G01130",0.00182560137457045,0,51,1.53268669398564e-07,0.0421277631110434,0.366274509803922,8.51331424974066e-06
"AT1G01140",0.00325744558991982,0,91,8.27623232020833e-07,0.0681313796857919,0.328693528693529,8.51331424974066e-06
"AT1G01150",0.00243413516609393,0,68,2.68100192085376e-07,0.0518529539121556,0.336259877085162,8.51331424974066e-06
"AT1G01160",0.000715922107674685,0,20,3.67586637824315e-08,0.0182112290037805,0.510526315789474,8.51331424974066e-06
"AT1G01170",0.000393757159221077,0,11,9.77672012935586e-09,0.00778670231483903,0.381818181818182,8.51331424974066e-06
"AT1G01180",0.00311426116838488,0,87,1.00516841607806e-06,0.062065706806951,0.367281475541299,8.51331424974066e-06
"AT1G01190",0.00275630011454754,0,77,5.49576497451811e-07,0.0524037485413524,0.337320574162679,8.51331424974066e-06
"AT1G01200",0.00186139747995418,0,52,2.46333346955052e-07,0.0377920347711639,0.393665158371041,8.51331424974066e-06
"AT1G01210",0.000286368843069874,0,8,5.42406399233064e-09,0.0101387408654471,0.5,8.51331424974066e-06
"AT1G01220",0.00118127147766323,0,33,1.4442628565835e-07,0.0275602673106078,0.276515151515151,8.51331424974066e-06
"AT1G01225",0.00246993127147766,0,69,6.8857306850934e-07,0.0499587606761773,0.335890878090367,8.51331424974066e-06
"AT1G01230",0.000859106529209622,0,24,1.67903474287895e-07,0.0224772515467706,0.384057971014493,8.51331424974066e-06
"AT1G01240",0.00128865979381443,0,36,1.03281691834072e-07,0.0268974391817246,0.363492063492063,8.51331424974066e-06
"AT1G01250",0.0178980526918671,449,51,6.99524069465704e-05,0.0791553771279917,0.0663567134268537,0.000344033099358146
"AT1G01260",0.00121706758304696,0,34,1.98746206891062e-07,0.0264478099110398,0.374331550802139,8.51331424974066e-06
"AT1G01270",0.000143184421534937,0,4,1.92672577238071e-10,0.00384136853924003,0.5,8.51331424974066e-06
"AT1G01280",0.00128865979381443,0,36,1.17446485409518e-07,0.0250796404980012,0.353968253968254,8.51331424974066e-06
"AT1G01290",0.000572737686139748,0,16,4.84484980119478e-09,0.0158183911482191,0.558333333333333,8.51331424974066e-06
"AT1G01300",0.00257731958762887,0,72,3.30462659999226e-07,0.0485897459452574,0.318466353677621,8.51331424974066e-06
"AT1G01305",0.000393757159221077,0,11,5.65330960475749e-09,0.0101162396424738,0.381818181818182,8.51331424974066e-06
"AT1G01310",0.0014676403207331,0,41,8.56782785368232e-08,0.0282011818372739,0.454878048780488,8.51331424974066e-06
"AT1G01320",0.0052262313860252,0,146,2.24840823667196e-06,0.100078248915328,0.314879546528106,8.51331424974065e-06
"AT1G01340",0.00211197021764032,0,59,2.54327028708276e-07,0.0448864387254245,0.345996493278784,8.51331424974066e-06
