"","x"
"AT5G26170",0
"AT2G38470",0
"AT1G76420",0
"AT5G62940",0
"AT5G39610",6.65385951921773e-15
"AT1G69570",0
"AT5G66940",0
"AT3G04060",0
"AT4G01550",0
"AT3G47500",0
"AT4G01540",0
"AT4G38000",0.567874836061282
"AT3G56400",0
"AT3G01970",0
"AT5G13080",0
"AT2G30250",0
"AT1G49010",0
"AT2G23320",0
"AT5G07680",1.73675376726282e-13
"AT1G64620",2.98818400062925e-08
"AT5G41570",0.000400994978967947
"AT4G21080",0
"AT2G37590",0
"AT5G65410",0
"AT3G21890",0
"AT1G51700",0
"AT2G30590",0
"AT5G18270",5.65597601931145e-06
"AT3G30210",0
"AT5G02460",0
"AT5G52830",2.56453042825158e-06
"AT1G27730",0
"AT4G18770",0
"AT1G74650",0
"AT2G28810",0
"AT1G30650",0
"AT1G29280",0
"AT1G29860",0
"AT3G50410",0
"AT5G39760",0
"AT3G45610",0
"AT3G55370",0
"AT1G02230",0
"AT4G18170",0
"AT1G75240",0
"AT5G58850",0
"AT4G01250",0
"AT5G05550",0
"AT5G46350",0
"AT2G46770",0
"AT4G36740",0
"AT2G18550",2.56710401122293e-08
"AT1G12260",0
"AT4G10350",0
"AT5G66700",0
"AT3G49530",0
"AT1G79580",0
"AT1G69780",0
"AT5G47370",0
"AT1G72740",0
"AT4G17980",0
"AT1G65910",4.0830915039067e-07
"AT5G62380",0
"AT1G69180",1.10900093068161
"AT5G03790",0
"AT2G27300",0
"AT1G31140",0.0157742425288183
"AT1G74840",0
"AT5G65310",0
"AT5G13790",3.16905821124117e-06
"AT4G36160",0
"AT2G22540",0
"AT5G13180",0
"AT2G18060",0
"AT3G03200",0
"AT5G46590",0
"AT5G47390",0
"AT2G40260",1.86388636137922e-10
"AT1G14687",0
"AT1G54330",0
"AT2G40740",0
"AT2G23290",0
"AT3G04030",0
"AT4G34590",0
"AT1G68670",0
"AT5G29000",0
"AT1G25550",0
"AT5G06100",0
"AT3G12720",1.98566115174581e-10
"AT5G67300",0
"AT2G01060",0
"AT1G30490",0
"AT3G62420",0
"AT4G37180",0
"AT4G26030",0
"AT3G53200",0.000136618526701336
"AT4G24240",3.95553803323105e-08
"AT5G15830",0
"AT1G32150",0
"AT2G18350",0
"AT5G45580",0
"AT4G23550",7.50517177729451e-08
"AT1G80840",0
"AT4G26640",0
"AT3G28920",0
"AT3G15500",0
"AT1G30210",0
"AT4G00730",0
"AT1G16490",0.449391488748349
"AT1G13260",0
"AT5G60130",0
"AT2G03500",0
"AT3G01530",0.575745820270439
"AT3G50060",0
"AT1G69010",0
"AT4G31800",0
"AT2G02450",0
"AT3G52440",0
"AT5G63260",6.99619576984466e-14
"AT1G34180",0
"AT1G33240",0
"AT3G10113",0
"AT4G37260",0
"AT2G46680",0
"AT5G17300",0
"AT2G46590",0
"AT1G29160",0
"AT5G60850",0
"AT1G01060",0
"AT3G24120",0
"AT1G28470",0
"AT2G02080",0
"AT1G02250",0
"AT5G46830",0
"AT3G11440",0
"AT4G29230",0
"AT3G14180",0
"AT3G56850",0
"AT1G19850",0
"AT2G40620",2.41081866638322e-16
"AT2G46270",0
"AT1G06850",0
"AT3G12250",0
"AT2G36270",0
"AT2G42200",0.00169094170307529
"AT3G22830",0
"AT4G32730",0
"AT1G06280",33.3530579928774
"AT3G18400",0.0130758377362213
"AT5G06960",0
"AT1G77920",0
"AT1G08320",0
"AT2G43000",0
"AT1G22070",0
"AT2G31230",0
"AT5G25190",0
"AT3G10800",2.47349995170925e-14
"AT2G18160",0
"AT5G06950",0
"AT1G75390",0
"AT2G22430",0
"AT3G02940",0
"AT5G62000",0
"AT3G61150",0
"AT5G56110",0
"AT1G01720",0
"AT1G49560",0
"AT1G49480",0
"AT5G08330",0
"AT1G71450",0
"AT4G15090",2.00816654661925e-05
"AT5G03150",0
"AT4G16150",7.55187237423853e-07
"AT2G47070",0
"AT1G55110",0
"AT1G72010",0
"AT4G00250",0
"AT2G45410",0
"AT1G53170",0
"AT2G45420",0
"AT1G19000",0
"AT5G04410",0
"AT3G10500",0
"AT5G53950",0
"AT1G32870",0
"AT3G10480",0
