"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT5G26170",0.114306469532519,38,2637,0.00277638975994496,0.280730883412652,0.0100587060461175,4.29654265684006e-05
"AT2G38470",0.071916930176908,36,1647,0.000833686978314853,0.195622865081599,0.0200908260532186,4.28722980784512e-05
"AT1G76420",0.0825143150158106,29,1902,0.00122047824238266,0.246641016294574,0.0115907681248218,4.26251450178997e-05
"AT5G62940",0.363345013246731,43,8460,0.0325634154795559,0.873923458255674,0.00521151052407935,4.32073961003953e-05
"AT5G39610",0.032945902059653,45,726,0.000160528793189486,0.141127721974572,0.0444439917427206,4.2856525628576e-05
"AT1G69570",0.124818391590462,76,2845,0.00278048283329904,0.388008532812069,0.0149395109932855,4.37886385746741e-05
"AT5G66940",0.276472096402017,49,6421,0.01445766756742,0.716830032316137,0.00684691496007627,4.35507090895977e-05
"AT3G04060",0.0779420562345099,59,1765,0.00132442543561328,0.251565823515708,0.020928659026515,4.31471618917048e-05
"AT4G01550",0.0399538500982822,40,895,0.000557477741448225,0.129221779759393,0.0296372445522144,4.28999613384408e-05
"AT3G47500",0.0705067942910862,27,1623,0.000708164884025772,0.218642633813695,0.0148578468648499,4.24595625990635e-05
"AT4G01540",0.110503375779848,12,2574,0.00466515926540397,0.262408450685735,0.00715112745996987,4.23044007750744e-05
"AT4G38000",0.0323476625929408,67,690,0.000266329263527406,0.143914401693978,0.0317519902541292,4.37388593184835e-05
"AT3G56400",0.0752927100247842,31,1731,0.00102268791318467,0.202361017173056,0.0127123018945847,4.26091543223118e-05
"AT3G01970",0.101316126826767,21,2350,0.00151924427955199,0.243246425460326,0.00682669361376586,4.25951473552299e-05
"AT5G13080",0.198572771557986,72,4575,0.0106003052102928,0.488592723475854,0.00817214684844503,4.36534676073012e-05
"AT2G30250",0.069139389795744,54,1564,0.00104763253015182,0.210115728639009,0.0218206789661668,4.31116009661534e-05
"AT1G49010",0.194513289462439,10,4542,0.013357262245068,0.396990817071803,0.00360152954946484,4.23351433278852e-05
"AT2G23320",0.246431928894966,67,5700,0.0174111301252758,0.566856217552993,0.00611498944821769,4.37232799255105e-05
"AT5G07680",0.0320485428595847,35,715,0.000163631436149322,0.12564637740476,0.0261717846016911,4.2726632172344e-05
"AT1G64620",0.0961028971882745,17,2232,0.00110458422613768,0.291098269559719,0.0137120780918118,4.23812488988912e-05
"AT5G41570",0.084950004273139,36,1952,0.00153754071129865,0.22492875677599,0.0120090761145837,4.28957994413997e-05
"AT4G21080",0.251944278266815,14,5882,0.0121705675624503,0.630571000381611,0.0056430650746182,4.23250014386085e-05
"AT2G37590",0.140970857191693,27,3272,0.00257503209573509,0.409172749843405,0.0110005427765882,4.34736538802801e-05
"AT5G65410",0.27621570805914,63,6401,0.0184598921749021,0.66204241123155,0.00595192290074937,4.45585594399465e-05
"AT3G21890",0.0900777711306726,38,2070,0.00112819721408545,0.283466848539287,0.0138020104224055,4.2820615429631e-05
"AT1G51700",0.10417912998889,26,2412,0.00188971144997282,0.287284585245024,0.00714726450020568,4.28559892901117e-05
"AT2G30590",0.0253397145543116,33,560,0.000134623901510229,0.0937165807891915,0.0282503315498239,4.32323444036825e-05
