GeneID,gene.rank.h,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT3G29080,39.863683802103,AT3G29080,3,1,protein_coding,na
AT1G15600,39.0955348526073,AT1G15600,1,1,protein_coding,na
AT2G07280,37.178376394485,AT2G07280,2,1,protein_coding,na
AT3G48960,37.0613887628622,RPL13C,3,-1,protein_coding,na
AT3G56560,36.2432427789433,anac065,3,1,transcription_factor,NAC
AT4G19240,36.2363212058134,AT4G19240,4,-1,protein_coding,na
AT1G06280,36.1625393583626,LBD2,1,-1,protein_coding,na
AT1G51320,36.1525365761642,FBX11,1,1,protein_coding,na
AT2G25630,35.9925024783945,BGLU14,2,1,protein_coding,na
AT2G42460,35.8734981439352,AT2G42460,2,-1,protein_coding,na
AT4G32110,35.7143724103122,AT4G32110,4,-1,protein_coding,na
AT2G11620,35.6940244731675,AT2G11620,2,1,protein_coding,na
AT5G35830,35.494794146914,AT5G35830,5,-1,protein_coding,na
AT5G38170,35.423734081411,AT5G38170,5,1,protein_coding,na
AT2G24080,35.3784119408015,AT2G24080,2,-1,protein_coding,na
AT3G44780,35.2610106038352,AT3G44780,3,-1,protein_coding,na
AT1G36950,35.0212703714335,AT1G36950,1,-1,transcription_factor,C2H2
AT4G26485,34.5984439747253,AT4G26485,4,-1,protein_coding,na
AT5G36980,34.5284131321888,AT5G36980,5,-1,protein_coding,na
AT1G67455,34.4849227053306,AT1G67455,1,1,protein_coding,na
AT3G29690,34.4697527563815,AT3G29690,3,-1,protein_coding,na
AT1G52940,34.2070565626432,PAP5,1,1,protein_coding,na
AT1G63105,33.9062662786388,AT1G63105,1,1,protein_coding,na
AT4G36350,33.810349787684,PAP25,4,-1,protein_coding,na
AT4G12334,33.7338709010979,AT4G12334,4,-1,protein_coding,na
AT2G34210,33.7196991148399,AT2G34210,2,1,protein_coding,na
AT4G24980,33.5245788386475,AT4G24980,4,-1,protein_coding,na
AT1G17710,33.4899507063196,AT1G17710,1,-1,protein_coding,na
AT3G09922,33.4768831945751,IPS1,3,1,protein_coding,na
AT2G45130,33.432768466527,SPX3,2,1,protein_coding,na
AT3G43160,33.3307336294257,MEE38,3,1,protein_coding,na
AT3G02000,33.1795743988637,GRXC7,3,-1,protein_coding,na
AT1G31270,33.1647833226717,AT1G31270,1,1,protein_coding,na
AT3G17370,33.1235624014017,AT3G17370,3,-1,protein_coding,na
AT5G09280,33.0239583323957,AT5G09280,5,-1,protein_coding,na
AT3G32400,32.9673000255434,FH17,3,-1,protein_coding,na
AT2G23220,32.8538915788561,CYP81D6,2,1,protein_coding,na
AT3G25240,32.8108611183118,AT3G25240,3,1,protein_coding,na
AT2G03130,32.7695046900004,AT2G03130,2,1,protein_coding,na
AT1G35550,32.7406043971962,AT1G35550,1,1,protein_coding,na
AT1G69860,32.6327560961289,NPF2.14,1,1,protein_coding,na
AT2G31215,32.5024779901656,BHLH138,2,1,transcription_factor,bHLH
AT1G33730,32.3269814528617,CYP76C5,1,1,protein_coding,na
AT1G05894,32.2707814650723,AT1G05894,1,1,protein_coding,na
AT4G10670,32.2185011296659,GTC2,4,1,protein_coding,na
AT5G27340,32.2079516508792,AT5G27340,5,1,protein_coding,na
AT3G61571,32.1338267337789,AT3G61571,3,-1,protein_coding,na
AT1G23110,32.0635037149736,AT1G23110,1,-1,protein_coding,na
AT5G19700,32.0094701504765,DTX52,5,-1,protein_coding,na
AT4G29970,31.9303431081863,AT4G29970,4,-1,protein_coding,na
AT2G23440,31.7205308323686,CEP3,2,1,protein_coding,na
AT3G60790,31.5514615000884,AT3G60790,3,1,protein_coding,na
