GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G01250,1,ERF023,1,-1,transcription_factor,AP2-EREBP
AT1G01720,1,NAC002,1,1,transcription_factor,NAC
AT1G02250,1,NAC005,1,-1,transcription_factor,NAC
AT1G06180,1,ATMYB13,1,1,transcription_factor,MYB
AT1G06850,1,AtbZIP52,1,1,transcription_factor,bZIP
AT1G08010,1,GATA11,1,-1,transcription_factor,C2C2-Gata
AT1G08320,1,TGA9,1,-1,transcription_factor,bZIP
AT1G09540,1,MYB61,1,1,transcription_factor,MYB
AT1G12260,1,NAC007,1,-1,transcription_factor,NAC
AT1G12610,1,DREB1F,1,-1,transcription_factor,AP2-EREBP
AT1G12630,1,ERF027,1,1,transcription_factor,AP2-EREBP
AT1G13260,1,RAV1,1,1,transcription_factor,RAV
AT1G16490,1,MYB58,1,-1,transcription_factor,MYB
AT1G19000,1,AT1G19000,1,-1,transcription_factor,MYB-related
AT1G19040,1,AT1G19040,1,1,protein_coding,na
AT1G19210,1,ERF017,1,-1,transcription_factor,AP2-EREBP
AT1G20910,1,ARID6,1,-1,transcription_factor,ARID
AT1G28160,1,ERF087,1,1,transcription_factor,AP2-EREBP
AT1G28370,1,ERF11,1,-1,transcription_factor,AP2-EREBP
AT1G29160,1,DOF1.5,1,-1,transcription_factor,C2C2-Dof
AT1G29860,1,WRKY71,1,1,transcription_factor,WRKY
AT1G30210,1,TCP24,1,-1,transcription_factor,TCP
AT1G30490,1,ATHB-9,1,-1,transcription_factor,Homeobox
AT1G34670,1,AtMYB93,1,1,transcription_factor,MYB
AT1G43700,1,VIP1,1,1,transcription_factor,bZIP
AT1G44830,1,ERF014,1,1,transcription_factor,AP2-EREBP
AT1G46768,1,RAP2-1,1,-1,transcription_factor,AP2-EREBP
AT1G49560,1,HHO6,1,1,transcription_factor,G2-like
AT1G51140,1,BHLH122,1,-1,transcription_factor,bHLH
AT1G51220,1,WIP5,1,-1,transcription_factor,C2H2
AT1G51700,1,DOF1.7,1,1,transcription_factor,C2C2-Dof
AT1G52150,1,ATHB-15,1,-1,transcription_factor,Homeobox
AT1G53170,1,ERF8,1,-1,transcription_factor,AP2-EREBP
AT1G53230,1,TCP3,1,-1,transcription_factor,TCP
AT1G54330,1,ANAC020,1,-1,transcription_factor,NAC
AT1G59640,1,BPE,1,-1,transcription_factor,bHLH
AT1G64620,1,DOF1.8,1,1,transcription_factor,C2C2-Dof
AT1G68550,1,ERF118,1,-1,transcription_factor,AP2-EREBP
AT1G68670,1,HHO2,1,1,transcription_factor,G2-like
AT1G69570,1,CDF5,1,-1,transcription_factor,C2C2-Dof
AT1G69690,1,TCP15,1,1,transcription_factor,TCP
AT1G70920,1,ATHB-X,1,1,transcription_factor,Homeobox
AT1G72010,1,TCP22,1,1,transcription_factor,TCP
AT1G74840,1,AT1G74840,1,-1,transcription_factor,MYB-related
AT1G75080,1,BZR1,1,1,transcription_factor,BZR
AT1G76420,1,NAC031,1,-1,transcription_factor,NAC
AT1G76890,1,GT-2,1,-1,transcription_factor,Trihelix
AT1G79180,1,ATMYB63,1,1,transcription_factor,MYB
AT1G80840,1,WRKY40,1,1,transcription_factor,WRKY
AT2G01023,1,AT2G01023,2,-1,protein_coding,na
AT2G01060,1,PHL7,2,-1,transcription_factor,G2-like
AT2G01930,1,BPC1,2,-1,transcription_factor,BBR/BPC
AT2G01940,1,SGR5,2,1,transcription_factor,C2H2
AT2G02080,1,IDD4,2,-1,transcription_factor,C2H2
AT2G02820,1,MYB88,2,-1,protein_coding,na
AT2G03500,1,EFM,2,1,transcription_factor,G2-like
AT2G04038,1,AtbZIP48,2,1,transcription_factor,bZIP
AT2G15740,1,AT2G15740,2,-1,transcription_factor,C2H2
AT2G18060,1,NAC037,2,-1,transcription_factor,NAC
AT2G18550,1,ATHB-21,2,-1,transcription_factor,Homeobox
AT2G20110,1,AT2G20110,2,1,transcription_factor,CPP
AT2G23290,1,AtMYB70,2,-1,transcription_factor,MYB
AT2G26960,1,AtMYB81,2,-1,transcription_factor,MYB
AT2G28810,1,DOF2.2,2,1,transcription_factor,C2C2-Dof
AT2G30250,1,WRKY25,2,-1,transcription_factor,WRKY
AT2G30590,1,WRKY21,2,1,transcription_factor,WRKY
AT2G31220,1,BHLH10,2,1,transcription_factor,bHLH
AT2G33710,1,AT2G33710,2,-1,transcription_factor,AP2-EREBP
AT2G35530,1,BZIP16,2,-1,transcription_factor,bZIP
AT2G35700,1,ERF038,2,1,transcription_factor,AP2-EREBP
AT2G36010,1,E2F3,2,1,transcription_factor,E2F-DP
