GeneID	interaction.pvals	tissue.treatment.specificity	Betweenness.Centrality	Connectivity	Transitivity	Eigenvector	PageRank	DE
AT1G01010	3.56428938651701e-05	0	3.0473994557233e-06	0.00476947535771065	0.395408163265306	0.0437943482887049	0.0113753354032932	0.0931206248128592
AT1G01020	1.55465504605877e-05	0.244865629163166	4.94745670388204e-06	0.00337837837837838	0.336134453781513	0.0318156556037313	0.00686997570326484	0.0920636073744204
AT1G01030	8.53193174068917e-09	0	8.98975511717368e-06	0.00606120826709062	0.340031729243786	0.0507624990945197	0.0164572401500059	0.00905627596915734
AT1G01040	0.00011330298650876	0.283106019718405	4.05983659633865e-06	0.00337837837837838	0.428571428571429	0.0379754904559534	0.00602023808576274	0.118960354424403
AT1G01050	0.000634599569259762	0	1.38496654021243e-07	0.000894276629570747	0.466666666666667	0.0130305140598661	0.00113529680575849	0.0453951648157894
AT1G01060	0	0.696712486229836	0.154226691222396	0.467309220985692	0.00658689424575421	0.487597903806995	0.00788728172162806	0.190558149619591
AT1G01070	0.00562332009351053	0	2.17241957189508e-07	0.00178855325914149	0.52046783625731	0.023823183670734	0.00189673567593764	0.00111196014256396
AT1G01080	0.00103921988414018	0	0	0	0	0.00256104332754916	3.92104572269261e-05	0.000190003173280896
AT1G01090	6.72650738892679e-05	0	3.16820397074586e-07	0.000993640699523052	0.454545454545455	0.0116524142352195	0.00123612766781548	0.00338786759876828
AT1G01100	6.51268272487994e-06	0	1.06108807282303e-06	0.00258346581875994	0.498575498575499	0.0303303326490954	0.00391028390325999	0.000103448685828021
AT1G01110	2.55465101967649e-07	0	2.78715871718454e-06	0.00447138314785374	0.375845410628019	0.0398240283969633	0.00887805689383341	0.000448612732592477
AT1G01120	3.09619457480578e-06	0.29921328705442	1.41609167431004e-06	0.00278219395866455	0.443349753694581	0.0290666710146918	0.00516930465309309	0.0535091514921404
AT1G01130	0.000356082521482967	0	1.35006710124022e-07	0.000894276629570747	0.644444444444444	0.00775435783531207	0.00166684796037228	0.0116847683197076
AT1G01140	3.17478187617239e-07	0.313558387211683	6.78104254782916e-06	0.00457074721780604	0.321924144310823	0.037813713117916	0.0138520766944445	0.0417515935505451
AT1G01150	9.95338603549475e-05	0.512903422565664	3.48240363092388e-07	0.00109300476947536	0.409090909090909	0.0135380621829985	0.00160105680927177	0.0300472240819878
AT1G01160	0.000125570550888676	0	3.13657202464558e-07	0.000794912559618442	0.277777777777778	0.00946000233335628	0.00134951486930768	0.0545364302969629
