"","x"
"AT1G01010",0.00138229633302747
"AT1G01020",3.68693940327072e-06
"AT1G01030",5.29406135866316e-12
"AT1G01040",0.00613414192981506
"AT1G01050",0.022909061638704
"AT1G01060",0
"AT1G01070",0.00143639479156184
"AT1G01080",0.00175470762584819
"AT1G01090",3.99037456865593e-08
"AT1G01100",0.021972958013091
"AT1G01110",1.76314390190855e-08
"AT1G01120",5.69435368999753e-14
"AT1G01130",1.4334876443033e-05
"AT1G01140",2.33472228423026e-08
"AT1G01150",9.94532904061381e-10
"AT1G01160",0.0109321205029222
"AT1G01170",0.00432921707715923
"AT1G01180",7.47333783213925e-09
"AT1G01190",1.05448892530129e-07
"AT1G01200",0.000409630278616875
"AT1G01210",0.0212179560164101
"AT1G01220",7.54640547005763e-05
"AT1G01225",0.000529024944703594
"AT1G01230",0.000467753337066533
"AT1G01240",0.000251760988976755
"AT1G01250",1.07399339106186e-09
"AT1G01260",0.0188915531700167
"AT1G01280",1.06189043488331
"AT1G01290",0.0770770974755411
"AT1G01300",0.000371803394413273
"AT1G01305",0.0818715211390769
"AT1G01310",0.0730559717101405
"AT1G01320",4.29125722616215e-15
"AT1G01340",9.50751443748205e-05
"AT1G01350",0.00259103849798979
"AT1G01355",0.00144644994940685
"AT1G01360",7.32676909770112e-06
"AT1G01370",0.000748849755138685
"AT1G01380",0.00188791233950906
"AT1G01390",0.000364017413295639
"AT1G01400",2.05874960282364e-07
"AT1G01410",0
"AT1G01420",0.000523848666880861
"AT1G01430",5.54596914552267e-06
"AT1G01440",0.0048921360737109
"AT1G01450",0.00159356053396908
"AT1G01453",0.00162440838920134
"AT1G01460",0.0760772734918667
"AT1G01470",0.0192224093543241
"AT1G01480",0.00539481525832639
"AT1G01490",1.33813659307607e-05
"AT1G01500",1.54292394648526e-15
"AT1G01510",9.37465953182035e-05
"AT1G01520",1.05921805585102e-07
"AT1G01530",0.000310814918206827
"AT1G01540",6.86017738074094e-12
"AT1G01550",0.00265543714004523
"AT1G01560",5.63178737771963e-05
"AT1G01570",0.00176581668133278
"AT1G01580",3.60122457416098e-07
"AT1G01590",1.56599481552466e-07
"AT1G01600",3.72203460375101e-09
"AT1G01610",4.01140939555362e-11
"AT1G01620",9.4615927023142e-05
"AT1G01630",1.01202106564453e-08
"AT1G01640",0.123629482493858
"AT1G01650",0.000359898843338466
"AT1G01660",0.000358449340809399
"AT1G01670",4.88066703726293e-08
"AT1G01680",0.00228974829167005
"AT1G01690",0.0131793286694478
"AT1G01695",0.258318276817815
"AT1G01700",0.00010573017792771
"AT1G01710",0.0030125315102046
"AT1G01720",0
"AT1G01725",0.000157846053853982
"AT1G01730",0.0112668268633628
"AT1G01740",0.00448915432613104
"AT1G01750",0.368567318109088
"AT1G01760",0.00155445725388586
"AT1G01770",4.51862961870756e-07
"AT1G01780",9.3085345808126e-06
"AT1G01790",3.37045950157984e-11
"AT1G01800",0.000811087415593321
"AT1G01810",1.58808969112574e-05
"AT1G01820",0.00573100192434624
"AT1G01830",3.83625389846597e-07
"AT1G01840",0.00947206438477767
"AT1G01860",0.000223490297595837
"AT1G01880",0.142617951245053
"AT1G01900",0
"AT1G01910",0.0646434608131494
"AT1G01920",0.000604480639884051
"AT1G01930",1.0673796442991e-05
"AT1G01940",0.0176415127696208
"AT1G01950",1.45151507320052e-06
"AT1G01960",0.00115906198896334
"AT1G01970",0.0169485720278384
"AT1G01980",0.0218474550885601
"AT1G01990",6.89174474944372e-05
"AT1G02000",4.04926800707889e-06
"AT1G02010",8.73113040063733e-05
"AT1G02020",8.19432185606843e-09
"AT1G02030",1.49706719054576e-05
"AT1G02040",0.0233853682473267
"AT1G02050",5.19241207342585e-05
"AT1G02060",0.0220879074466687
"AT1G02065",0.213475860415795
"AT1G02070",0.189947417949939
"AT1G02080",0.00196080513990715
"AT1G02090",0.0155931584839424
"AT1G02100",6.03848890713106e-05
"AT1G02110",3.22471104815539e-13
"AT1G02120",1.91197911173445e-09
"AT1G02130",0.000229883408799342
"AT1G02140",0.103037815955873
"AT1G02145",0.000675948444421586
"AT1G02150",0.00011631026295979
"AT1G02160",0.00116241586501521
"AT1G02170",1.60306139447026e-08
"AT1G02180",0.164867064938501
"AT1G02190",0.937451989093606
"AT1G02205",0.0206254612402321
"AT1G02210",5.33416172340804e-06
"AT1G02220",0.000498487235305139
"AT1G02230",0
"AT1G02250",0
"AT1G02260",4.58079227796146e-06
"AT1G02270",2.09260506738305e-11
"AT1G02280",0.00880577869567633
"AT1G02290",0.0210270666893091
"AT1G02300",0.000649705951902809
"AT1G02305",0.0644586204232273
"AT1G02310",0.000963110877143205
"AT1G02330",0.109463881383046
"AT1G02335",9.09288476409277e-12
"AT1G02340",0.0486220085379252
"AT1G02350",0.00763296939036053
"AT1G02360",0.197700866449567
"AT1G02370",8.529839812691e-06
"AT1G02380",3.25528571621483e-05
"AT1G02390",1.14696143165948e-08
"AT1G02400",3.25394884550609e-05
"AT1G02405",3.34652757075703e-07
"AT1G02410",0.000114426088753688
"AT1G02420",0.0102857988567551
"AT1G02430",0.153907453042548
"AT1G02440",0.00968615959802944
"AT1G02450",0.000700335857820385
"AT1G02460",3.33186161237365e-08
"AT1G02470",0.000611710312104265
"AT1G02475",1.52865373226436e-05
"AT1G02500",8.2364268008084e-06
"AT1G02510",0.00191782042068434
"AT1G02520",0.0183650928443392
"AT1G02530",0.173804089873908
"AT1G02540",0
"AT1G02550",2.48289607634249e-09
"AT1G02560",5.21635269158821e-05
"AT1G02570",0.00472010675729797
"AT1G02575",0.0535871432111638
"AT1G02580",5.1686311141886e-06
"AT1G02590",0.719512431330846
"AT1G02610",3.75174406199913e-06
"AT1G02620",0.0067971682252621
"AT1G02630",0.0664664052822983
"AT1G02640",1.50298102091696e-10
"AT1G02650",7.41746222367124e-12
"AT1G02660",2.6120476170949e-07
"AT1G02670",0.000133687877271107
"AT1G02680",0.00453754077505836
"AT1G02690",0.00227914979353634
"AT1G02700",6.30336669510819e-09
"AT1G02710",3.75374877796062e-05
"AT1G02720",8.99379787055582e-05
"AT1G02730",5.93922449861629e-06
"AT1G02740",0.000139489706742032
"AT1G02750",0.00360869776348622
"AT1G02770",2.14531209247201e-06
"AT1G02780",0.000169344133680237
"AT1G02790",0.206275526120765
"AT1G02800",0.599402398714858
"AT1G02810",9.21950364397732e-07
"AT1G02813",0.251060540490489
"AT1G02816",0.080988487960626
"AT1G02820",0.00105550763520779
"AT1G02830",0.00141246193964817
"AT1G02840",0.0446313219748537
"AT1G02850",1.78832407886245e-05
"AT1G02860",0.00642453355825171
"AT1G02870",0.000124004594721795
"AT1G02880",0.010508347651839
"AT1G02890",4.39534520359989e-05
"AT1G02900",0.297775417755513
"AT1G02910",7.0734122760271e-09
"AT1G02920",0.0128859572154383
"AT1G02930",0.00119824152034436
"AT1G02940",0.0117751241316354
"AT1G02950",0.00260631861846061
"AT1G02960",0.0115528129069735
"AT1G02965",3.78162832935207e-05
"AT1G02970",0.0202811593596957
"AT1G02980",0.140648974807284
"AT1G02990",6.20677870423767e-05
"AT1G03000",9.11406177226089e-06
"AT1G03010",0.000124217533108826
"AT1G03020",0.461036410385729
"AT1G03030",0.0049902649273494
"AT1G03040",0.0218059371048758
"AT1G03050",0.270741942214884
"AT1G03055",8.73838158566341e-08
"AT1G03060",0.000346225285723398
"AT1G03070",1.88467196538893
"AT1G03080",0.000335242827221752
"AT1G03090",0.0609638041258637
"AT1G03100",0.181549056815345
"AT1G03103",0.0166530888693416
"AT1G03106",0.121799666823757
"AT1G03110",0.00973229590429135
"AT1G03120",1.09936741463033e-07
"AT1G03130",0.000243775290742237
"AT1G03140",0.00347702947018823
"AT1G03150",0.000121248542219073
"AT1G03160",3.95353239128029e-10
"AT1G03170",0.160338910281121
"AT1G03180",0.0982492303777825
"AT1G03190",0.0148483465035922
"AT1G03210",7.90915823307073e-05
"AT1G03220",0.000731324452717376
"AT1G03230",0.000411853707214424
"AT1G03240",0.166582649141774
"AT1G03250",0.000518744379649083
"AT1G03260",8.39864755363525e-05
"AT1G03270",1.17837097272402e-05
"AT1G03280",0.00450301528158168
"AT1G03290",0.0103766276295542
"AT1G03300",0.0290770339863986
"AT1G03310",1.90573793849869e-05
"AT1G03320",2.25311512784347e-08
"AT1G03330",0.075319928302618
"AT1G03340",8.4605201387545e-05
"AT1G03350",0.000132045312891604
"AT1G03360",0.00141468037806837
"AT1G03365",0.0161459209845984
"AT1G03370",7.672346914068e-07
"AT1G03380",4.47696894366607e-05
"AT1G03390",1.61042686914429e-13
"AT1G03400",0.0964054076313295
"AT1G03410",2.56004292845247e-06
"AT1G03430",1.30711236465388e-05
"AT1G03440",2.57313776996513e-08
"AT1G03445",2.26281198362637e-07
"AT1G03457",0.000312593228144814
"AT1G03470",0.0476515014603298
"AT1G03475",0.000444959349290746
"AT1G03490",1.1887987925965e-11
"AT1G03495",0.00149351902328384
"AT1G03510",0.556311224565766
"AT1G03520",0.000960911785833471
"AT1G03530",1.07321859409122e-07
"AT1G03540",0.043557377939856
"AT1G03550",0.0758172164188695
"AT1G03560",0.0138749819112888
"AT1G03590",0.000259423201772094
"AT1G03600",2.42746359288698e-05
"AT1G03610",0.0201648490436053
"AT1G03620",0.019615301016845
"AT1G03630",3.53164491606568e-05
"AT1G03650",0.00711812454909315
"AT1G03660",0.378863444760904
"AT1G03670",1.68757306646826e-15
"AT1G03680",0.00139746915938384
"AT1G03687",0.000130237650816341
"AT1G03700",0.236889509767556
"AT1G03710",0.177049523130443
"AT1G03720",1.39316210172925
"AT1G03730",0.00175059485881459
"AT1G03740",5.08317232513258e-06
"AT1G03750",0.0548810491586967
"AT1G03760",0.0633088252244057
"AT1G03770",0.0434816342667816
"AT1G03780",2.89753403240531e-05
"AT1G03790",0.307821544063786
"AT1G03800",0
"AT1G03810",2.87256103167616
"AT1G03820",0.113383791047743
"AT1G03830",2.33805004471069e-05
"AT1G03840",4.6941784793469e-07
"AT1G03850",0.000159954514380998
"AT1G03860",1.6994989812544e-05
"AT1G03870",0.00021769506061467
"AT1G03880",0.0156381982482192
"AT1G03890",0.0418616634115823
"AT1G03900",8.62377818624408e-05
"AT1G03905",0.0717926421540191
