"","EdgeCount","degree_in","degree_out","BetweennessCentrality","eigenvector_centrality","ClusteringCoefficient","pagerank"
"AT1G01010",0.00114591291061879,0,27,2.83365041167124e-08,0.0235467386694101,0.339031339031339,1.0070188486382e-05
"AT1G01020",0.00263135557253204,0,62,1.34448849122742e-07,0.0546159905232739,0.365943945002644,1.0070188486382e-05
"AT1G01030",0.00280112044817927,0,66,1.62917549113439e-07,0.0447016922595231,0.302564102564103,1.0070188486382e-05
"AT1G01040",0.00169764875647229,0,40,5.03516890117002e-08,0.0373023499239197,0.342307692307692,1.0070188486382e-05
"AT1G01050",0.000679059502588914,0,16,5.83134344936416e-09,0.0152457218970061,0.341666666666667,1.0070188486382e-05
"AT1G01060",0.178847296494355,4159,55,0.00448046460602954,0.422363852717709,0.00989666815525287,0.00325649558509098
"AT1G01070",0.00339529751294457,0,80,2.37900261815209e-07,0.0562048823292069,0.307594936708861,1.0070188486382e-05
"AT1G01080",0.00161276631864867,0,38,4.98189691845546e-08,0.0327842397492414,0.366998577524893,1.0070188486382e-05
"AT1G01090",0.00157032509973686,0,37,2.6680089676446e-08,0.0288689566798471,0.372372372372372,1.0070188486382e-05
"AT1G01100",0.00029708853238265,0,7,2.61377811540049e-09,0.00803697540133984,0.380952380952381,1.0070188486382e-05
"AT1G01110",0.00373482726423903,0,88,1.56053004895249e-07,0.0685683354715168,0.359979101358412,1.00701884863821e-05
"AT1G01120",0.00585688820982939,0,138,7.62311874762652e-07,0.0932323040869917,0.281392150640008,1.0070188486382e-05
"AT1G01130",0.00216450216450216,0,51,6.04459853912547e-08,0.0436977662353324,0.341176470588235,1.0070188486382e-05
"AT1G01140",0.00386215092097445,0,91,4.23012968528356e-07,0.0704113783723747,0.311599511599512,1.0070188486382e-05
"AT1G01150",0.00288600288600289,0,68,1.14347566618113e-07,0.0535117827140583,0.320017559262511,1.0070188486382e-05
"AT1G01160",0.000848824378236143,0,20,1.58977843635356e-08,0.018905970764933,0.457894736842105,1.0070188486382e-05
"AT1G01170",0.000466853408029879,0,11,7.46475460527154e-09,0.00800710999490226,0.309090909090909,1.00701884863821e-05
"AT1G01180",0.00369238604532722,0,87,4.76092695342801e-07,0.0645796193877215,0.343223736968725,1.0070188486382e-05
"AT1G01190",0.00326797385620915,0,77,3.13403522286755e-07,0.0543710844990447,0.322624743677375,1.0070188486382e-05
"AT1G01200",0.00220694338341397,0,52,1.60622024621146e-07,0.0391281949503162,0.368024132730015,1.0070188486382e-05
"AT1G01210",0.000339529751294457,0,8,1.10597301054261e-09,0.0105027904092122,0.5,1.0070188486382e-05
"AT1G01220",0.00140056022408964,0,33,8.41680995582599e-08,0.0284970788479735,0.259469696969697,1.0070188486382e-05
"AT1G01225",0.00292844410491469,0,69,3.36244159914362e-07,0.0516786875716056,0.317135549872123,1.0070188486382e-05
"AT1G01230",0.00101858925388337,0,24,7.36427398494614e-08,0.023091328722897,0.358695652173913,1.0070188486382e-05
"AT1G01240",0.00152788388082506,0,36,4.01065692054613e-08,0.027910868496937,0.346031746031746,1.0070188486382e-05
"AT1G01250",0.0207537560478737,438,51,7.59573080958963e-05,0.0812811459573291,0.0657749170270542,0.000319296943821293
"AT1G01260",0.00144300144300144,0,34,1.25202190574494e-07,0.0273660099601231,0.344028520499109,1.0070188486382e-05
"AT1G01280",0.00152788388082506,0,36,5.06887442673938e-08,0.0259492891641266,0.33015873015873,1.0070188486382e-05
