GeneID,gene.rank.h,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT2G07280,41.7930805182792,AT2G07280,2,1,protein_coding,na
AT4G19240,40.5893231164932,AT4G19240,4,-1,protein_coding,na
AT1G06280,40.2637684691894,LBD2,1,-1,protein_coding,na
AT5G35830,35.5436401592608,AT5G35830,5,-1,protein_coding,na
AT3G29080,35.2997354061693,AT3G29080,3,1,protein_coding,na
AT4G20220,35.2462430511873,AT4G20220,4,1,protein_coding,na
AT2G24080,35.0721339814277,AT2G24080,2,-1,protein_coding,na
AT3G55810,34.5339086957804,AT3G55810,3,-1,protein_coding,na
AT2G11620,34.5000833960078,AT2G11620,2,1,protein_coding,na
AT3G44780,34.4133087126138,AT3G44780,3,-1,protein_coding,na
AT5G36980,34.3878945318188,AT5G36980,5,-1,protein_coding,na
AT2G10450,34.3133972671925,AT2G10450,2,1,protein_coding,na
AT5G39690,34.2893348247744,ANAC093,5,1,transcription_factor,NAC
AT4G32110,34.2892812602973,AT4G32110,4,-1,protein_coding,na
AT1G36950,34.1632235788109,AT1G36950,1,-1,transcription_factor,C2H2
AT3G02000,34.1075810255508,GRXC7,3,-1,protein_coding,na
AT3G56560,34.0643299761267,anac065,3,1,transcription_factor,NAC
AT4G12334,34.0206173627165,AT4G12334,4,-1,protein_coding,na
AT1G51320,34.017044997506,FBX11,1,1,protein_coding,na
AT2G42460,33.9331679944465,AT2G42460,2,-1,protein_coding,na
AT2G25630,33.9244656534764,BGLU14,2,1,protein_coding,na
AT2G23440,33.8257653214809,CEP3,2,1,protein_coding,na
AT1G67455,33.7354480530544,AT1G67455,1,1,protein_coding,na
AT1G15600,33.7264783838205,AT1G15600,1,1,protein_coding,na
AT2G24780,33.2120356751754,AT2G24780,2,-1,protein_coding,na
AT4G24980,33.1923622177829,AT4G24980,4,-1,protein_coding,na
AT4G13320,33.1070787906358,AT4G13320,4,1,protein_coding,na
AT1G52940,33.0396190027606,PAP5,1,1,protein_coding,na
AT5G38170,33.0063613116857,AT5G38170,5,1,protein_coding,na
AT3G25240,32.9677087398945,AT3G25240,3,1,protein_coding,na
AT3G48960,32.7285051994802,RPL13C,3,-1,protein_coding,na
AT1G63105,32.6576066138219,AT1G63105,1,1,protein_coding,na
AT5G09280,32.5991973873037,AT5G09280,5,-1,protein_coding,na
AT4G29970,32.568648693096,AT4G29970,4,-1,protein_coding,na
AT4G36350,32.5465742092038,PAP25,4,-1,protein_coding,na
AT1G17710,32.4686588455636,AT1G17710,1,-1,protein_coding,na
AT3G32280,32.3382153000752,AT3G32280,3,1,protein_coding,na
AT2G45130,31.7556529108063,SPX3,2,1,protein_coding,na
AT1G33730,31.6990043006552,CYP76C5,1,1,protein_coding,na
AT2G23220,31.6801988893258,CYP81D6,2,1,protein_coding,na
AT1G69860,31.6527825111221,NPF2.14,1,1,protein_coding,na
AT2G03130,31.5708828153905,AT2G03130,2,1,protein_coding,na
AT5G40310,31.4275456052147,AT5G40310,5,-1,transcription_factor,C2H2
AT1G35550,31.1422718683381,AT1G35550,1,1,protein_coding,na
AT3G43160,31.0693738468169,MEE38,3,1,protein_coding,na
AT3G09922,31.0187232967187,IPS1,3,1,protein_coding,na
AT2G34210,30.9260251802323,AT2G34210,2,1,protein_coding,na
