"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT4G39470",7.99142857142857,6.595,6.38571428571429,8.09666666666667,8.40708333333333,8.07977777777778,7.485,3.56666666666667,7.24222222222222,7.93285714285714,8.26
"AT3G23840",5.62142857142857,5.465,4.81,5.89,3.87458333333333,4.05844444444444,5.54,0.84,5.06111111111111,5.76857142857143,6.0125
"AT2G19650",2.63571428571429,2.56,2,3.01,1.91583333333333,2.862,1.805,0.41,3.01333333333333,3.04428571428571,2.6275
"AT4G22560",3.22428571428571,3.065,2.68285714285714,3.30333333333333,2.92083333333333,3.11977777777778,3.005,0.7,2.88,3.30285714285714,3.7125
"AT4G28590",5.59714285714286,4.555,4.72428571428571,6.52333333333333,6.6825,7.528,4.71,2.76,6.89777777777778,7.43285714285714,7.4825
"AT1G16640",2.53142857142857,1.44,1.81571428571429,2.66666666666667,2.9925,2.90377777777778,1.74,0.533333333333333,2.34111111111111,2.24857142857143,2.41
"AT5G39980",3.56285714285714,2.98,3.08714285714286,2.92333333333333,4.04666666666667,4.51266666666667,4.915,2.13333333333333,4.33666666666667,4.84142857142857,4.9225
"AT1G12100",3.28,2.725,2.64714285714286,3.73,2.72583333333333,1.88533333333333,3.375,0.666666666666667,2.15111111111111,2.48571428571429,3.4125
"AT5G43870",7.18,7.185,5.92285714285714,5.84333333333333,7.11,6.48177777777778,8.795,2.56,8.05333333333333,8.81285714285714,8.3425
"AT4G30250",2.26428571428571,2.755,1.61857142857143,2.27666666666667,1.79291666666667,2.14644444444444,1.885,0.286666666666667,2.04666666666667,2.49142857142857,3.0275
"AT3G26490",2.70142857142857,2.45,1.77571428571429,1.66666666666667,3.52375,3.52066666666667,3.51,0.666666666666667,4.11777777777778,4.43714285714286,4.38
"AT4G03270",3.99285714285714,1.745,3.06571428571429,3.49333333333333,4.78166666666667,3.57555555555556,4.73,1.68666666666667,3.72777777777778,4.51142857142857,4.9775
"AT5G14760",4.91285714285714,2.27,4.09,5.18,4.98,4.09977777777778,4.735,2.06,3.98111111111111,4.04,2.595
"AT4G31805",3.12714285714286,2.475,2.70857142857143,3.81333333333333,2.72875,2.18311111111111,3.01,0.356666666666667,2.03111111111111,2.51,3.4075
"AT2G47920",3.54285714285714,2.28,3.05428571428571,4.6,4.05541666666667,4.59533333333333,3.09,1.06666666666667,3.34222222222222,3.82714285714286,4.94
"AT5G03140",5.87,4.17,4.46571428571429,5.1,6.77375,6.26844444444444,6.475,3.75333333333333,5.77777777777778,6.38428571428571,5.8825
"AT3G57500",2.38571428571429,1.855,1.71,2.36333333333333,2.60083333333333,2.51111111111111,1.855,1.03333333333333,1.71111111111111,2.2,2.585
"AT1G01840",1.65428571428571,1.91,1.23142857142857,0.91,2.01791666666667,2.17044444444444,1.69,0.54,1.81222222222222,2.06,2.295
"AT1G52270",1.74,2.315,0.858571428571429,1.18666666666667,1.89375,2.396,0.36,0.33,2.30111111111111,2.64285714285714,2.43
"AT3G10840",6.55571428571429,4.735,5.77714285714286,6.85,6.75916666666667,9.04955555555556,8.235,1.61,8.17222222222222,9.04142857142857,7.88
"AT2G45900",2.08714285714286,2.21,1.36285714285714,2.11666666666667,1.71583333333333,1.57022222222222,1.32,0.493333333333333,1.30333333333333,1.49857142857143,1.955
"AT2G30420",2.59857142857143,3.5,1.91,1.41666666666667,2.67583333333333,2.52,3.59,0.483333333333333,4.06555555555556,4.37714285714286,4.02
"AT2G30320",6.73714285714286,7.035,4.80857142857143,6.68333333333333,9.16708333333333,8.98911111111111,4.375,3.44333333333333,8.26888888888889,8.70428571428571,8.35
"AT2G48120",20.5142857142857,13.695,18.24,22.92,22.9254166666667,22.4691111111111,23.29,10.5733333333333,19.2911111111111,21.2371428571429,22.4225
"AT4G23240",1.81571428571429,2.755,1.01428571428571,1.44666666666667,1.56958333333333,1.58355555555556,0.91,0.316666666666667,2.65666666666667,2.76857142857143,2.1325
"AT3G44960",3.63571428571429,1.82,2.62857142857143,4.40333333333333,4.17125,3.67555555555556,2.245,0.99,3.4,4.10142857142857,4.8125
"AT5G15760",6.85,5.46,5.67,7.48666666666667,6.52541666666667,6.23466666666667,6.14,2.89666666666667,6.01555555555556,6.28857142857143,5.185
"AT5G26790",2.15285714285714,1.115,1.50428571428571,2.27,2.09291666666667,1.53488888888889,1.345,0.346666666666667,1.21,1.50714285714286,1.665
"AT3G01140",3.53,2.415,2.85,4.14666666666667,5.30666666666667,5.33777777777778,3.755,0.37,2.85888888888889,3.67571428571429,4.445
"AT3G05330",4.83857142857143,1.925,4.06285714285714,6.03666666666667,6.65875,6.44066666666667,4.52,1.68,4.09555555555556,4.80428571428571,6.09
"AT5G03800",2.87,2.235,2.65285714285714,2.77,3.05208333333333,3.258,3.57,1.79,2.82333333333333,3.08142857142857,3.56
"AT2G38300",3.98714285714286,3.085,2.46714285714286,2.65,3.58,2.40022222222222,3.87,1.45333333333333,2.61444444444444,2.80857142857143,3.2575
"AT1G76610",1.14,1.325,0.865714285714286,1.31333333333333,0.87625,1.29488888888889,0.705,0.126666666666667,0.932222222222222,1.15142857142857,1.455
"AT1G20870",1.31285714285714,0.665,1.09285714285714,1.21333333333333,1.8275,1.97488888888889,1.86,0.353333333333333,1.26888888888889,1.54857142857143,1.7725
