"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT3G59880",3.18285714285714,4.51,2.58428571428571,2.15666666666667,2.82708333333333,4.87022222222222,3.16,3.60333333333333,4.64666666666667,2.91,1.43
"AT2G04795",10.0428571428571,10.195,7.02714285714286,5.45333333333333,6.845,7.18733333333333,7.33,9.34333333333333,9.64888888888889,5.74571428571429,4.205
"AT5G41761",2.56285714285714,2.235,4.06571428571429,3.64666666666667,2.6725,2.90555555555556,4.38,4.91666666666667,3.86555555555556,2.95857142857143,1.15
"AT4G04220",1.82142857142857,2.085,1.49142857142857,1.27,1.77041666666667,2.42155555555556,2.25,1.49666666666667,2.72777777777778,2.51714285714286,0.9725
"AT4G17440",4.13285714285714,4.16,3.90285714285714,3.94,4.5025,5.23688888888889,4.38,4.49666666666667,3.48111111111111,3.00857142857143,2.6675
"AT1G56150",4.77571428571429,6.34,4.98,3.39666666666667,6.00083333333333,9.00688888888889,7.97,4.77333333333333,9.10777777777778,9.31857142857143,2.99
"AT2G36800",8.02428571428571,8.825,7.88285714285714,10.22,10.5608333333333,9.76933333333333,7.795,4.79333333333333,7.08666666666667,7.90714285714286,4.26
"AT2G35420",3.14857142857143,3.165,3.30857142857143,3.27666666666667,2.81083333333333,3.40933333333333,4.08,3.69333333333333,2.50555555555556,2.06857142857143,1.99
"AT1G56000",15.2771428571429,17.905,14.6571428571429,13.3833333333333,14.345,15.6031111111111,18.005,17.51,16.2077777777778,14.7214285714286,13.3725
"AT4G13920",2.12285714285714,2.57,2.02857142857143,2.11,2.5375,3.18488888888889,2.01,3.32333333333333,2.45,2.64428571428571,1.525
"AT2G28140",3.63428571428571,1.87,2.55428571428571,2.84666666666667,4.30083333333333,4.06555555555556,3.33,3.07333333333333,2.31333333333333,2.27285714285714,1.7975
"AT1G22510",11.7142857142857,12.995,8.28,7.5,15.24125,16.0317777777778,10.055,14.15,15.9155555555556,11.1228571428571,7.29
"AT3G05080",9.89142857142857,9.945,5.26,3.94333333333333,2.48916666666667,3.26111111111111,6.125,9.75,2.46888888888889,1.35428571428571,1.305
"AT1G03495",7.56,5.63,6.34857142857143,7.11333333333333,5.09333333333333,5.27,7.82,5.23,5.11111111111111,4.87428571428571,4.38
"AT5G01540",2.71714285714286,5.31,1.27714285714286,1.11,2.54625,4.68533333333333,1.845,1.18333333333333,4.35888888888889,4.17714285714286,0.8725
"AT2G23290",12.5657142857143,16.125,11.3857142857143,9.09,14.535,13.0366666666667,13.765,15.8333333333333,11.5844444444444,10.08,6.605
"AT1G20310",0.777142857142857,1.855,0.18,0.186666666666667,1.73333333333333,1.50222222222222,0.185,0.196666666666667,0.892222222222222,0.752857142857143,0.05
"AT1G55010",4.53571428571429,5.41,6.03,6.84666666666667,1.4,2.64888888888889,3.7,4.8,1.25444444444444,0.757142857142857,0.5225
"AT5G03490",7.32571428571429,6.58,7.15142857142857,7.44333333333333,8.22166666666667,10.7344444444444,6.9,10.27,8.87555555555556,8.31571428571429,5.7075
"AT2G30960",6.85285714285714,5.8,6,5.71,6.76541666666667,7.414,8.195,6.16666666666667,6.75,5.62285714285714,5.2125
"AT2G26870",3.52,2.545,3.57285714285714,3.89666666666667,3.08166666666667,5.06644444444444,4.75,2.82333333333333,3.14222222222222,3.13714285714286,2.4825
"AT2G27330",13.8,12.8,13.4685714285714,13.1766666666667,16.7925,17.0906666666667,13.365,15.9566666666667,13.38,13.09,12.3925
"AT1G48070",0.695714285714286,0.14,0.594285714285714,0.0733333333333333,1.55,0.826666666666667,1.745,1.05333333333333,0.331111111111111,0.401428571428571,0
"AT4G37295",1.47428571428571,1.205,1.03285714285714,0.963333333333333,1.415,1.08777777777778,0.775,1.44333333333333,0.865555555555556,0.702857142857143,0.6175
"AT3G19380",11.5714285714286,12.515,8.75428571428571,7.11666666666667,8.39208333333333,8.70377777777778,12.99,8.7,9.09888888888889,8.23285714285714,6.81
"AT5G18180",1.31,1.03,1.07428571428571,1.38,1.92291666666667,1.42355555555556,1.11,1.68666666666667,0.865555555555556,0.915714285714286,0.695
"AT2G45680",7.98571428571429,6.32,8.12571428571429,9.12666666666667,11.7483333333333,9.87555555555556,8.8,7.93666666666667,10.7311111111111,6.57142857142857,4.77
"AT5G28010",1.53571428571429,1.185,2.19857142857143,1.51333333333333,1.71,1.84666666666667,2.545,3.39,1.71777777777778,1.14571428571429,0.82
"AT4G08040",2.54857142857143,5.2,3.70571428571429,1.56333333333333,3.82916666666667,2.29933333333333,5.275,7.04666666666667,5.89666666666667,3.23,1.225
"AT2G23690",3.55,3.35,5.35714285714286,3.35666666666667,7.09041666666667,6.67355555555556,6.98,8.49666666666667,5.92444444444444,3.88,2.89
"AT3G11402",1.30142857142857,1.045,0.978571428571429,0.966666666666667,1.18,1.25533333333333,1.525,0.83,1.10222222222222,0.951428571428571,0.63
