"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT2G24220",2.50571428571429,3.08,3.37571428571429,2.53,4.20916666666667,5.28755555555556,3.745,5.19,5.35111111111111,4.94285714285714,5.2625
"AT1G67440",7.86428571428571,8.22,9.38142857142857,9.62666666666667,11.2733333333333,11.238,10.255,12.48,12.8477777777778,12.8785714285714,12.4325
"AT2G16070",11.5914285714286,11.995,13.52,11.9433333333333,17.3079166666667,19.6988888888889,16.225,18.8766666666667,20.0022222222222,19.7457142857143,19.555
"AT4G04880",5.50714285714286,5.93,6.61,5.94,9.27541666666667,10.2106666666667,6.995,10.14,11.55,11.3057142857143,11.4675
"AT2G41720",8.25428571428571,9.355,8.84857142857143,9.36333333333333,11.7266666666667,13.7104444444444,9.195,10.9766666666667,14.2733333333333,14.2214285714286,13.99
"AT3G25670",0.828571428571429,0.915,1.65571428571429,1.05,2.18125,1.85977777777778,1.995,2.49333333333333,2.54666666666667,2.52,2.855
"AT2G36630",6.87857142857143,11.51,8.05,7.02666666666667,8.97708333333333,11.6555555555556,8.685,9.93,13.1844444444444,12.8371428571429,13.005
"AT4G19095",0.85,1.045,1.82,1.10666666666667,2.43083333333333,2.64533333333333,1.59,3.40333333333333,2.98222222222222,2.68142857142857,3.645
"AT1G60230",11.3228571428571,11.51,11.4242857142857,11.84,12.7116666666667,13.8604444444444,13.875,11.78,14.9811111111111,15.2428571428571,15.345
"AT1G15050",0.372857142857143,0.39,1.47285714285714,0.43,1.43125,0.979333333333333,2.325,3.30333333333333,2.32444444444444,2.31857142857143,3.3
"AT2G46090",12.7857142857143,13.825,12.8771428571429,13.5033333333333,17.7125,18.9371111111111,14.125,17.54,19.5666666666667,19.3885714285714,20.0375
"AT5G37890",5.29428571428571,5.31,5.47142857142857,5.45333333333333,7.25708333333333,7.10644444444444,5.465,7.56333333333333,6.35333333333333,6.91285714285714,7.0525
"AT4G21750",16.8342857142857,21.455,22.9414285714286,18.98,26.97125,27.6637777777778,28.505,28.3966666666667,24.3166666666667,22.2914285714286,23.5725
"AT2G46810",5.76285714285714,6.465,8.81142857142857,6.62666666666667,9.32916666666667,9.10688888888889,12.34,12.1733333333333,9.59777777777778,9.18285714285714,11.4925
"AT2G23180",1.50142857142857,2.02,2.03714285714286,1.81333333333333,2.91708333333333,4.04777777777778,2.33,2.8,3.16555555555556,3.29285714285714,3.3325
"AT3G16175",1.17857142857143,1.665,1.37571428571429,1.24666666666667,2.1925,2.38311111111111,1.26,1.54333333333333,2.46888888888889,2.31714285714286,2.325
"AT1G16825",6.26,6.435,7.57285714285714,6.99,9.90291666666667,10.5555555555556,7.325,10.4566666666667,8.30666666666667,7.24428571428571,6.645
"AT1G68890",8.65714285714286,10.77,9.58142857142857,8.82,10.8275,14.164,11.695,10.95,13.5188888888889,13.0942857142857,14.6075
"AT1G74370",8.71714285714286,12.255,11.6014285714286,8.88,13.4745833333333,16.2102222222222,13.285,18.1333333333333,19.7166666666667,17.9657142857143,19.7125
"AT2G39190",21.3271428571429,22.77,23.7685714285714,21.75,24.8108333333333,28.9951111111111,29.735,27.2233333333333,31.5511111111111,29.6471428571429,31.385
"AT1G55200",1.51857142857143,1.585,2.11571428571429,1.77333333333333,4.03708333333333,3.614,2.785,2.82666666666667,2.2,2.26857142857143,3.1225
"AT3G25905",0.934285714285714,0.94,1.27285714285714,0.963333333333333,2.86333333333333,2.43933333333333,1.46,2.56333333333333,1.66,1.75857142857143,1.9125
