"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT3G44380",8.64285714285714,5.21,8.57714285714286,9.78333333333333,9.77708333333333,9.18333333333333,9.32,7.97,9.71666666666667,9.88,9.99
"AT1G77700",2.91,1.025,2.60285714285714,2.11333333333333,4.325,4.33466666666667,3.43,4.31333333333333,3.79666666666667,3.98714285714286,4.0475
"AT1G54220",12.2114285714286,6.76,10.21,10.7866666666667,14.73875,14.7511111111111,14.505,11.4533333333333,13.8044444444444,14.69,14.375
"AT3G03530",2.74428571428571,0.495,1.31714285714286,2.12,3.27875,2.21755555555556,1.075,3.27,2.65555555555556,3.27428571428571,3.24
"AT5G40970",6.00285714285714,3.43,6.11714285714286,7.23333333333333,6.65375,7.24133333333333,6.18,7.29333333333333,5.85,5.69571428571429,5.365
"AT3G04181",3.59857142857143,1.4,2.39428571428571,3.52333333333333,3.27625,3.17644444444444,1.795,3.31666666666667,3.41333333333333,3.70428571428571,3.8275
"AT4G01220",7.23714285714286,5.42,6.75428571428571,7.17666666666667,8.79625,8.772,8.075,8.79333333333333,7.72,7.76857142857143,8.035
"AT3G25855",2.11,0.46,1.68428571428571,0.646666666666667,3.3725,2.78133333333333,3.695,3.79333333333333,3.19333333333333,3.50285714285714,3.38
"AT4G31930",3.91142857142857,2.78,3.91142857142857,4.18333333333333,6.68458333333333,6.49377777777778,4.275,6.65,6.56444444444444,6.85,6.3175
"AT2G28315",4.69571428571429,1.155,2.97142857142857,4.32,6.31333333333333,4.36933333333333,2.22,5.89,5.57777777777778,6.32428571428571,6.325
"AT3G22810",5.76571428571429,2.7,4.40857142857143,4.18333333333333,5.36583333333333,5.22622222222222,5.865,5.66666666666667,4.21222222222222,4.45857142857143,5.0175
"AT5G41480",6.12857142857143,5.305,6.03285714285714,5.57,8.02708333333333,8.094,7.55,8.13666666666667,8.13333333333333,8.06857142857143,8.4025
"AT2G37090",4.53571428571429,0.78,2.86714285714286,2.52666666666667,5.95583333333333,3.75822222222222,5.35,5.00333333333333,4.84111111111111,5.81428571428571,5.7725
"AT3G42860",2.90428571428571,1.035,2.54714285714286,2.99,3.80833333333333,3.34244444444444,2.785,3.74333333333333,2.83,3.02428571428571,3.1325
"AT4G30400",6.27428571428571,3.62,6.35285714285714,5.74,8.86833333333333,8.20755555555556,8.98,7.44,7.51777777777778,8.33571428571429,8.8375
"AT4G37445",4.58,1.815,3.96428571428571,3.27,5.08333333333333,4.90488888888889,5.14,5.45333333333333,4.30333333333333,4.22571428571429,4.3575
"AT5G01190",1.99571428571429,0.455,1.48857142857143,1.51,2.66916666666667,1.95466666666667,2.535,1.77666666666667,2.16222222222222,2.53428571428571,2.7125
"AT3G55390",6.45714285714286,2.85,6.39571428571429,7.30333333333333,6.51083333333333,7.182,7.755,6.66333333333333,6.31888888888889,6.40857142857143,6.355
"AT1G55940",2.82714285714286,0.375,0.857142857142857,1.10333333333333,2.82708333333333,1.56911111111111,1.23,2.68,2.24666666666667,2.87571428571429,2.7825
"AT3G54780",2.17428571428571,0.78,1.74285714285714,1.84333333333333,3.4975,2.94377777777778,2.24,3.85333333333333,3.41666666666667,3.88,3.8175
"AT1G54790",2.24142857142857,0.835,2.33428571428571,2.14333333333333,4.23916666666667,4.21711111111111,3.51,3.38333333333333,3.57111111111111,3.85,3.36
"AT1G08310",2.88,0.97,3.20428571428571,4.34666666666667,3.05833333333333,4.34911111111111,2.87,4.07,2.64,2.97857142857143,3.925
"AT1G38131",4.12428571428571,2.125,4.62285714285714,3.32666666666667,8.47541666666667,7.274,7.99,6.87333333333333,7.79777777777778,8.09714285714286,8.375
"AT5G15390",11.8214285714286,9.525,12.9671428571429,14.7633333333333,14.28,15.0282222222222,14.37,13.4833333333333,15.8266666666667,15.68,15.6275
"AT4G18501",1.83857142857143,0.115,1.67285714285714,2.59666666666667,2.46958333333333,1.94288888888889,1.74,1.55666666666667,1.55666666666667,1.85571428571429,2.2575
"AT4G35970",2.84142857142857,0.695,2.80285714285714,2.81333333333333,5.71375,5.04155555555556,3.35,5.37666666666667,5.08444444444444,5.33571428571429,5.12
"AT5G17530",17.6128571428571,13.45,15.7771428571429,15.81,26.1708333333333,25.4971111111111,17.79,25.9066666666667,25.5433333333333,26.3471428571429,26.325
"AT5G22930",4.77714285714286,1.01,2.76,2.32,4.81875,4.57777777777778,5.535,4.42333333333333,4.48777777777778,5.25285714285714,5.74
"AT5G15630",3.76142857142857,1.225,2.57571428571429,2.56666666666667,6.21541666666667,4.65311111111111,3.27,5.90666666666667,5.37666666666667,6.12142857142857,6.1125
"AT1G78990",6.21285714285714,2.255,3.29714285714286,3.4,5.34416666666667,3.16266666666667,5.72,6.34,5.10888888888889,6.54857142857143,6.385
"AT3G24090",2.74,1.425,2.66714285714286,2.31,5.20833333333333,4.94555555555556,3.44,4.83,4.60666666666667,4.96428571428571,4.35
"AT3G44220",2.55571428571429,1.205,2.25428571428571,3.30333333333333,4.03125,3.696,1.715,2.86666666666667,3.98,4.25,4.1225
"AT5G12870",1.89285714285714,0.375,1.37142857142857,1.01,2.775,1.92422222222222,2.335,2.95666666666667,2.42,2.69571428571429,2.5575
"AT3G19280",2.91714285714286,1.975,3.15285714285714,2.97666666666667,4.69666666666667,4.34133333333333,3.4,5.12,4.68666666666667,4.72714285714286,5.125
