"","x"
"AT1G01010",0.000346434616987141
"AT1G01020",2.25404622020561e-09
"AT1G01030",2.86549906686404e-13
"AT1G01040",0.000234354384942646
"AT1G01050",0.0183582472872336
"AT1G01060",0
"AT1G01070",2.00602795425136e-05
"AT1G01080",0.000242121345660559
"AT1G01090",1.85487424450001e-08
"AT1G01100",0.016513489885924
"AT1G01110",1.03577207785507e-10
"AT1G01115",0
"AT1G01120",0
"AT1G01130",2.75039052924854e-07
"AT1G01140",1.03004638340012e-12
"AT1G01150",2.58999070967654e-12
"AT1G01160",0.00928087213023989
"AT1G01170",0.00182101698805426
"AT1G01180",1.15108876701592e-11
"AT1G01190",4.21979423257872e-08
"AT1G01200",3.27353739201784e-05
"AT1G01210",0.0107638142614469
"AT1G01220",5.74065509097356e-06
"AT1G01225",2.53943060335873e-06
"AT1G01230",0.00018508447315508
"AT1G01240",2.64496159738171e-05
"AT1G01250",2.19241296017624e-11
"AT1G01260",0.00180010636412436
"AT1G01270",0
"AT1G01280",0.349870217381377
"AT1G01290",0.0437115462922101
"AT1G01300",1.29013886530373e-05
"AT1G01305",0.0665320811126822
"AT1G01310",0.0107476850390153
"AT1G01320",0
"AT1G01340",1.34412229519237e-05
"AT1G01350",0.000980838164529127
"AT1G01355",0.00127070344509453
"AT1G01360",2.05140890658359e-08
"AT1G01370",9.14181332627382e-05
"AT1G01380",0.000147176131044107
"AT1G01390",9.28362927411599e-05
"AT1G01400",3.89155795636214e-11
"AT1G01410",0
"AT1G01420",0.000390206950056775
"AT1G01430",2.8087500546312e-06
"AT1G01440",0.00227542270557872
"AT1G01448",0
"AT1G01450",0.00125582430831374
"AT1G01453",0.000128300212679612
"AT1G01460",0.0238224964031234
"AT1G01470",0.0060272157092331
"AT1G01471",0
"AT1G01480",0.000142772065053832
"AT1G01490",1.82952975293335e-07
"AT1G01500",0
"AT1G01510",1.21831489575673e-05
"AT1G01520",4.34971813450897e-10
"AT1G01530",3.24540382552589e-05
"AT1G01540",4.82163733276646e-15
"AT1G01550",0.000240631444805014
"AT1G01560",5.14657114165172e-07
"AT1G01570",0.000204861774133363
"AT1G01580",1.68840779160531e-09
"AT1G01590",1.49935080993493e-11
"AT1G01600",5.25879590349743e-11
