"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT1G21010",13.9457142857143,13.705,5.04285714285714,5.07666666666667,12.7616666666667,13.8453333333333,5.745,11.7766666666667,13.4755555555556,14.3242857142857,13.5875
"AT1G74750",3.34714285714286,3.74,2.01,2.21,4.19666666666667,4.17577777777778,2.265,3.15666666666667,3.69,3.81285714285714,3.66
"AT3G26115",3.37714285714286,3.97,2.50857142857143,2.77,4.64458333333333,5.09488888888889,2.735,3.61666666666667,4.92444444444444,5.14571428571429,4.745
"AT3G55490",7.92285714285714,6.67,6.22,6.92333333333333,12.1225,11.8106666666667,6.285,11.7,10.6433333333333,11.81,10.4875
"AT3G04110",3.94428571428571,5.97,1.95714285714286,2.02333333333333,3.7675,4.29511111111111,2.72,4.74333333333333,5.91666666666667,5.80857142857143,4.5725
"AT1G79460",5.26285714285714,5.165,3.07857142857143,3.71666666666667,8.88916666666667,8.95466666666667,3.13,4.69,7.98888888888889,8.33,8.5925
"AT4G17020",7.06857142857143,6.415,6.15428571428571,6.32333333333333,8.97875,8.86111111111111,6.58,9.49666666666667,8.50888888888889,8.62142857142857,9.5125
"AT1G61240",11.6357142857143,9.905,9.06857142857143,9.25666666666667,14.52875,13.5888888888889,9.76,14.6833333333333,12.7033333333333,13.09,14.58
"AT5G08710",5.59,4.75,4.68571428571429,4.77,8.74916666666667,9.33355555555556,5.005,8.75333333333333,8.30555555555556,8.81571428571429,8.475
"AT1G64350",13.1214285714286,12.175,11.71,12.9066666666667,19.3979166666667,19.7655555555556,11.8,19.6066666666667,17.8966666666667,18.6142857142857,18.765
"AT4G18520",4.68428571428571,6.43,3.24571428571429,3.55666666666667,6.3925,7.79266666666667,3.55,3.54333333333333,7.47,7.80714285714286,8.0425
"AT3G46790",5.75428571428571,4.72,4.68714285714286,5.18333333333333,8.02833333333333,7.92533333333333,5.585,6.49333333333333,6.86333333333333,7.60571428571429,7.5625
"AT1G77765",1.25714285714286,0.965,0.508571428571429,0.68,2.74208333333333,3.24755555555556,0.635,2.25333333333333,2.40666666666667,3.05857142857143,3.045
"AT2G34490",10.6685714285714,9.145,7.35571428571429,10.1066666666667,9.54291666666667,8.46288888888889,8.6,8.37333333333333,9.00222222222222,11.1028571428571,11.0825
"AT1G16020",8.23714285714286,7.375,6.09571428571429,6.80666666666667,11.7583333333333,11.4191111111111,6.59,8.80333333333333,10.47,11.3314285714286,11.2425
"AT5G43160",3.30428571428571,2.805,2.52571428571429,2.59,4.8875,4.96577777777778,3.31,3.41666666666667,4.68777777777778,5.15857142857143,5.3075
"AT3G09010",3.43142857142857,2.985,1.54428571428571,1.64333333333333,4.55291666666667,4.91288888888889,1.84,2.61,4.51,4.70285714285714,2.8925
"AT3G47700",4.29428571428571,3.54,3.27,3.31,6.35791666666667,6.182,3.805,5.34333333333333,5.39222222222222,5.67142857142857,5.85
"AT4G27620",9.29,10.135,7.42428571428571,7.46333333333333,10.1658333333333,11.5508888888889,9.205,8.41666666666667,11.0433333333333,11.1757142857143,10.4175
"AT4G35270",6.49857142857143,4.75,3.13285714285714,3.65333333333333,5.54208333333333,5.22355555555556,4.225,3.52666666666667,5.33888888888889,6.13714285714286,6.06
"AT1G12550",3.37,2.52,2.13571428571429,2.30333333333333,5.59791666666667,5.86622222222222,3.28,3.08666666666667,5.34777777777778,5.53,4.6875
"AT2G38680",6.69285714285714,6.885,4.52285714285714,5.31666666666667,10.2204166666667,10.5891111111111,4.585,7.23666666666667,9.81666666666667,9.79714285714286,9.8575
"AT2G29680",2.27142857142857,3.265,1.17285714285714,1.57,3.88625,3.11666666666667,1.2,1.57666666666667,3.35222222222222,4.02428571428571,4.265
"AT4G25434",3.28,1.545,0.902857142857143,0.953333333333333,3.65083333333333,3.26533333333333,1.095,2.12666666666667,2.96888888888889,3.52428571428571,4.075
"AT1G51890",6.02428571428571,3.97,1.53571428571429,1.68666666666667,4.81416666666667,3.42466666666667,2.145,4.71666666666667,5.34333333333333,6.55857142857143,6.325
"AT5G10910",10.5128571428571,10.805,9.66571428571429,10.35,15.34,15.2126666666667,11.5,11.7166666666667,14.8744444444444,15.98,15.6875
"AT1G59970",8.19285714285714,6.365,5.04714285714286,5.60666666666667,9.29583333333333,8.28488888888889,5.2,8.15666666666667,8.06333333333333,8.58571428571429,7.7675
"AT2G37400",13.5228571428571,12.815,10.3,11.4033333333333,19.0391666666667,18.9271111111111,12.27,10.4566666666667,15.7611111111111,17.9157142857143,18.9525
"AT3G08620",7.57571428571429,6.855,6.39857142857143,7.01,8.41875,8.24533333333333,7.23,7.64333333333333,7.08333333333333,7.16285714285714,8.295
"AT4G37630",3.21714285714286,3.23,2.13571428571429,2.29333333333333,4.89208333333333,4.74,2.645,2.96666666666667,3.67222222222222,4.07571428571429,4.4975
"AT1G01220",7.01142857142857,6.975,5.45857142857143,5.75666666666667,10.4945833333333,10.9817777777778,6.38,8.13333333333333,9.18333333333333,9.97571428571429,10.6925
"AT4G11980",8.60285714285714,9.68,8.14571428571429,8.25333333333333,12.34625,13.7813333333333,8.49,9.46333333333333,14.74,14.4685714285714,14.525
"AT2G21880",5.21,3.98,2.25571428571429,2.30666666666667,7.63416666666667,5.62777777777778,3.18,3.64,8.37666666666667,8.30285714285714,8.6175
"AT1G78590",6.64428571428571,7.015,5.76571428571429,5.92,9.27625,9.32844444444444,7.01,10.03,8.76444444444444,8.93285714285714,8.5325
"AT2G37560",1.30142857142857,0.915,0.884285714285714,1.01666666666667,2.73458333333333,2.46688888888889,1.415,1.15666666666667,2.16888888888889,2.66571428571429,2.6475
"AT3G23210",5.18285714285714,3.67,3.57,4.39666666666667,8.10833333333333,6.878,4.025,4.58666666666667,6.83888888888889,7.65285714285714,8.2425
"AT3G08000",3.22428571428571,4.14,2.68285714285714,2.71666666666667,4.52833333333333,4.914,2.745,4.06,4.42222222222222,4.31,3.62
"AT1G10280",2.45857142857143,2.155,1.82428571428571,1.90666666666667,3.97166666666667,4.09911111111111,1.95,3.26666666666667,3.27555555555556,3.63714285714286,3.235
"AT5G27830",12.52,11.95,10.92,11.7066666666667,16.9954166666667,17.4011111111111,11.935,15.8,17.7933333333333,17.2228571428571,12.18
"AT5G37680",6.75285714285714,6.905,5.27285714285714,5.43666666666667,12.89,13.4062222222222,5.86,8.24333333333333,11.8777777777778,12.9242857142857,12.22
"AT1G56670",2.58142857142857,1.715,1.44285714285714,1.51666666666667,3.74541666666667,3.64422222222222,1.985,2.11666666666667,3.36777777777778,3.77428571428571,4.28
"AT1G20030",4.78428571428571,4.045,3.73285714285714,4.5,7.8875,8.02,4.045,6.82666666666667,6.68222222222222,7.50714285714286,8.575
