"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT1G74088",3.07714285714286,3.725,2.64714285714286,1.80666666666667,3.69625,4.08511111111111,4.11,4.08333333333333,3.81222222222222,3.96714285714286,3.7675
"AT3G17920",5.27,5.97,4.04,2.76,6.83041666666667,6.45444444444444,5.66,6.95666666666667,7.08222222222222,6.42428571428571,6.845
"AT1G76170",4.35428571428571,6.785,3.30142857142857,1.84666666666667,6.78375,6.88222222222222,4.69,6.46,5.99,5.56285714285714,6.7225
"AT1G61430",3.04285714285714,3.985,2.63285714285714,1.76333333333333,3.67291666666667,4.13177777777778,3.93,3.84666666666667,4.12111111111111,3.67714285714286,3.465
"AT4G01550",6.23571428571429,7.355,3.78857142857143,2.94,7.08166666666667,8.41222222222222,5.12,8.54666666666667,8.09444444444444,8.58714285714286,8.5725
"AT3G54120",4.15142857142857,3.945,3.40285714285714,2.40333333333333,5.28041666666667,5.34133333333333,5.015,5.54333333333333,5.27111111111111,5.02571428571429,5.0125
"AT5G26720",3.08142857142857,4.05,1.96142857142857,1.03333333333333,4.94375,4.784,2.795,4.27333333333333,5.07666666666667,5.06285714285714,5.2075
"AT1G55170",8.14142857142857,7.2,7.22285714285714,5.32666666666667,10.7754166666667,10.6046666666667,10.96,10.5266666666667,9.92666666666667,10.1871428571429,10.4025
"AT1G53390",8.72,9.38,7.74571428571429,6.01333333333333,10.8870833333333,11.0366666666667,11.22,11.4266666666667,11.16,10.4757142857143,9.845
"AT1G08610",3.33,4.39,3.21571428571429,2.19666666666667,4.96208333333333,5.09933333333333,4.5,5.06,4.4,4.22285714285714,4.575
"AT3G47390",6.54142857142857,6.335,7.27857142857143,5.61,10.7629166666667,11.1388888888889,9.56,10.8933333333333,10.71,10.6071428571429,11.025
"AT1G74700",2.00285714285714,2.195,1.56285714285714,0.87,3.6625,3.33044444444444,2.565,3.69,3.21444444444444,3.57571428571429,3.5175
"AT1G58210",4.71142857142857,5.22,5.06571428571429,4.23,7.40416666666667,7.31866666666667,6.53,7.45333333333333,7.56888888888889,6.96571428571429,7.3875
"AT5G08010",4.99,5.91,4.24285714285714,3.84333333333333,7.81708333333333,7.62333333333333,5.235,6.96,7.53666666666667,7.69857142857143,7.8125
"AT3G53440",3.28285714285714,2.91,3.11142857142857,2.01333333333333,5.06041666666667,4.85511111111111,4.795,5.10333333333333,4.30777777777778,4.19571428571429,4.8475
"AT3G01990",1.87857142857143,1.8,0.764285714285714,0.276666666666667,1.64791666666667,2.16933333333333,1.76,1.94666666666667,2.11444444444444,2.32428571428571,2.345
"AT5G14480",3.83428571428571,4.23,3.50714285714286,2.77,5.09,5.09511111111111,4.88,4.36,4.99666666666667,4.74428571428571,4.4
"AT5G25480",3.10571428571429,2.315,3.34714285714286,1.94666666666667,5.555,5.31688888888889,5.7,5.59666666666667,4.57888888888889,4.78285714285714,5.3
"AT2G39480",8.10285714285714,8.115,7.50285714285714,4.48666666666667,11.9820833333333,12.0802222222222,12.095,12.61,12.3666666666667,11.1014285714286,12.19
"AT3G46930",8.43142857142857,8.64,3.46,2.83333333333333,8.395,8.20888888888889,4.47,6.68,7.39555555555556,7.34857142857143,8.77
"AT1G67210",2.69714285714286,2.72,2.07285714285714,0.963333333333333,3.70208333333333,3.68955555555556,3.58,3.53,3.19777777777778,3.28285714285714,4.0275
"AT1G29710",2.31142857142857,2.805,2.25714285714286,1.49666666666667,4.3,4.34177777777778,3.1,4.05333333333333,3.80333333333333,3.88142857142857,4.285
"AT4G16960",3.25714285714286,3.725,1.89428571428571,1.12666666666667,4.54875,3.87866666666667,2.935,4.38333333333333,4.33555555555556,3.93857142857143,3.425
"AT1G74330",6.61,7.57,5.38857142857143,3.46333333333333,7.73625,8.55577777777778,8.265,8.40666666666667,8.59333333333333,5.89,5.205
"AT2G31530",7.38,7.92,7.47857142857143,5.99333333333333,10.235,10.8215555555556,11,10.04,10.4511111111111,10.1171428571429,10.725
"AT1G11755",6.73285714285714,6.835,6.33857142857143,4.55333333333333,9.25375,9.94111111111111,9.175,10.31,9.85222222222222,10.0157142857143,9.7475
"AT3G11850",4.81,6.16,2.89,2.32333333333333,5.35666666666667,5.28644444444444,3.5,5.76,5.70666666666667,5.61428571428571,5.6225
"AT4G30000",3.06,2.94,3.17428571428571,2.26333333333333,4.86041666666667,4.79488888888889,4.535,4.93666666666667,4.47,4.36714285714286,5.0525
"AT3G21290",5.05428571428571,4.98,4.71142857142857,3.08666666666667,7.48375,7.87533333333333,7.135,8.04666666666667,6.87222222222222,6.91428571428571,8.0875
"AT1G73710",4.41142857142857,5.36,3.91142857142857,3.22666666666667,5.26458333333333,5.80755555555556,5.73,4.91,5.14,5.22714285714286,5.3225
"AT5G04110",4.19285714285714,4.81,3.73285714285714,2.25333333333333,7.12166666666667,7.40933333333333,5.61,7.80333333333333,7.06111111111111,7.35428571428571,7.6575
"AT4G12010",2.83142857142857,2.75,2.35,1.58666666666667,4.27541666666667,4.31266666666667,3.135,4.72,4.51888888888889,4.37428571428571,4.4525
"AT3G20280",3.22,2.695,2.78714285714286,2.14333333333333,4.34583333333333,4.50088888888889,4.46,4.20333333333333,3.70111111111111,3.91,4.5375
"AT5G26910",7.21142857142857,9.28,6.24857142857143,5.12,8.96875,8.66377777777778,8.59,8.22666666666667,8.74555555555555,7.77857142857143,8.18
"AT1G49520",4.43285714285714,6.11,3.52571428571429,1.55333333333333,5.95916666666667,6.23088888888889,6.145,6.49333333333333,4.80666666666667,4.11571428571429,4.435
"AT5G23320",2.95571428571429,2.55,2.43428571428571,1.55333333333333,4.37833333333333,4.246,3.705,4.71333333333333,5.13555555555556,5.07857142857143,5.025
"AT3G44400",3.70857142857143,4.805,1.59571428571429,1.27,4.5525,4.47822222222222,2.525,2.84666666666667,4.87222222222222,4.48285714285714,3.43
"AT4G28350",4.98285714285714,4.425,3.44142857142857,0.766666666666667,5.01791666666667,5.96444444444444,6.13,6.58666666666667,5.64222222222222,4.82428571428571,6.235
"AT1G74680",6.16857142857143,8.655,5.67714285714286,3.64666666666667,8.26041666666667,9.26555555555556,7.84,9.96,9.79,9.46714285714286,9.3175
"AT3G57740",1.58285714285714,1.3,0.538571428571429,0.11,1.63291666666667,1.33711111111111,1.215,1.37333333333333,1.35555555555556,1.48714285714286,1.5125
"AT1G11630",4.69,5.465,4.28714285714286,3.39333333333333,7.13208333333333,6.87066666666667,5.555,6.81666666666667,6.60555555555556,6.30714285714286,6.5425
"AT1G68910",10.4771428571429,9.555,7.85285714285714,7.33333333333333,14.9270833333333,14.4328888888889,9.645,14.11,14.9866666666667,15.0014285714286,14.1975
"AT5G07070",3.25428571428571,3.725,1.51142857142857,0.656666666666667,3.07333333333333,3.10288888888889,2.715,3.13,3.18333333333333,2.51857142857143,2.5675
"AT3G58160",2.12714285714286,2.925,2.31,1.33,3.32458333333333,3.66311111111111,3.34,3.77333333333333,3.08333333333333,2.84285714285714,3.4625
"AT5G10370",2.61714285714286,2.995,2.37714285714286,1.52666666666667,3.30166666666667,3.97755555555556,3.7,3.80333333333333,3.34888888888889,3.27714285714286,3.5475
"AT1G05670",2.02142857142857,3.145,1.56285714285714,1.06333333333333,3.10166666666667,3.04488888888889,2.21,2.75,2.75333333333333,2.85571428571429,3.315
"AT2G17525",2.70857142857143,3.18,2.61142857142857,1.48,4.55625,4.80777777777778,4.245,4.47666666666667,3.87444444444444,3.68857142857143,4.1775
"AT2G32390",2.82428571428571,3.52,1.17428571428571,0.893333333333333,4.07375,3.54066666666667,2.07,2.48,3.55444444444444,4.07,4.215
"AT2G41980",8.71142857142857,10.375,8.74714285714286,8.06666666666667,12.34,11.9591111111111,10.775,12.4633333333333,11.8144444444444,11.1342857142857,12.2025
"AT4G16650",13.3214285714286,10.78,12.88,10.24,18.28875,18.8673333333333,18.62,18.9733333333333,16.2711111111111,16.9814285714286,18.915
"AT1G77280",4.78142857142857,2.235,2.27,2.07333333333333,6.51708333333333,6.25133333333333,2.755,6.60666666666667,5.28222222222222,6.00571428571429,6.4475
"AT5G23490",4.53285714285714,4.035,4.27428571428571,3.35333333333333,6.7875,7.26666666666667,5.615,7.4,7.03333333333333,6.90142857142857,6.6675
"AT2G33110",3.54285714285714,4.215,2.59571428571429,2.19,4.37083333333333,4.72688888888889,3.225,4.05666666666667,4.54888888888889,4.06142857142857,4.32
"AT1G23465",1.23857142857143,1.65,1.25428571428571,0.63,2.31666666666667,2.22311111111111,2.08,2.33,2.53,2.47428571428571,2.6225
"AT5G18360",2.18714285714286,2.645,1.04857142857143,0.606666666666667,2.2425,2.34644444444444,1.72,2.36333333333333,2.23888888888889,2.03857142857143,2.1625
"AT4G32350",6.34571428571429,7.43,4.39428571428571,3.36333333333333,8.22625,8.05111111111111,6.515,6.95333333333333,7.95555555555556,6.12428571428571,6.9975
"AT5G11430",6.58142857142857,5.39,6.30428571428571,5.17333333333333,9.225,8.93222222222222,8.91,8.87666666666667,7.83555555555556,7.83285714285714,8.7775
"AT5G06770",7.88857142857143,8.22,8.00142857142857,7.07,10.5941666666667,10.2973333333333,9.83,10.1866666666667,11.0066666666667,10.6728571428571,10.615
"AT3G50240",7.91714285714286,11.03,7.59428571428571,5.41333333333333,11.35875,11.7371111111111,11.14,9.51666666666667,11.8511111111111,11.07,12.185
"AT2G26260",7.48285714285714,5.75,7.23857142857143,5.69666666666667,13.1075,12.2682222222222,9.455,12.8566666666667,12.2988888888889,12.5714285714286,12.9825
"AT2G28880",3.11428571428571,3.28,2.62571428571429,1.82333333333333,4.52958333333333,4.75066666666667,3.515,4.42333333333333,4.55,4.56571428571429,5.0325
"AT1G69380",4.33714285714286,4.89,3.09,2.66,7.15041666666667,7.20711111111111,4,5.28,6.70888888888889,7.02571428571429,7.3025
"AT2G31290",1.60428571428571,1.61,1.57285714285714,1.13666666666667,3.14375,3.37511111111111,2.115,3.29,3.16888888888889,3.37714285714286,3.4525
