"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT3G04000",4.07714285714286,3.735,5.03428571428571,6,3.23,6.23933333333333,3.515,5.82333333333333,4.45666666666667,3.30428571428571,3.2675
"AT1G24577",3.84,3.895,4.37285714285714,3.78,1.64875,1.80111111111111,4.885,1.87666666666667,2.49111111111111,2.16428571428571,2.3725
"AT3G50570",1.90571428571429,2.21,2.52714285714286,2.15333333333333,1.61208333333333,1.95288888888889,2.565,2.33,2.09333333333333,1.82142857142857,1.925
"AT2G20875",1.33285714285714,1.69,1.67142857142857,1.64666666666667,1.10166666666667,1.62955555555556,1.365,1.22666666666667,1.93111111111111,1.89428571428571,2.375
"AT3G13980",10.2014285714286,8.225,8.81571428571429,8.53333333333333,7.57291666666667,10.8613333333333,12.07,8.21333333333333,8.13111111111111,8.38857142857143,10.745
"AT3G53720",4.4,5.435,4.54142857142857,3.3,3.22333333333333,7.75288888888889,7.33,3.38666666666667,4.12111111111111,3.85714285714286,3.925
"AT3G53280",10.6985714285714,13.54,13.3114285714286,11.6766666666667,8.8125,9.26777777777778,16.535,13.7733333333333,14.49,12.9771428571429,12.13
"AT4G27990",27.0671428571429,29.595,26.7614285714286,28.08,23.5179166666667,37.6806666666667,31.455,24.93,35.79,35.12,35.385
"AT3G49620",3.69857142857143,5.68,2.96428571428571,3.63666666666667,2.24791666666667,7.82133333333333,2.965,2.78,3.36111111111111,3.54428571428571,5.5925
"AT1G62400",1.37142857142857,1.745,1.28285714285714,1.48666666666667,1.26625,1.48177777777778,1.4,1.30666666666667,1.86444444444444,1.69428571428571,1.725
"AT1G11340",0.892857142857143,1.12,1.03142857142857,0.75,0.67375,0.723333333333333,1.625,1.08333333333333,1,0.927142857142857,0.7975
"AT1G35420",32.4657142857143,40.46,36.7257142857143,42.57,28.93,37.9364444444444,31.01,35.6833333333333,46.8788888888889,42.9214285714286,40.065
"AT4G28025",63.14,81.375,62.3657142857143,61.2033333333333,58.0425,76.6537777777778,67.845,60.39,90.3666666666667,86.3,77.12
"AT3G21790",17.05,23.5,18.4985714285714,12.83,11.3591666666667,20.7651111111111,29.78,18.7366666666667,16.8333333333333,14.3214285714286,15.0975
"AT1G67870",291.86,253.53,220.267142857143,188.71,174.054166666667,366.990222222222,360.355,224.893333333333,280.447777777778,272.02,287.195
"AT4G38225",36.8057142857143,35.34,40.2271428571429,39.0433333333333,31.88375,40.0466666666667,53.525,37.4533333333333,43.6633333333333,39.4985714285714,40.7375
"AT2G20920",42.45,37.34,41.6728571428571,35.7433333333333,33.4141666666667,57.1231111111111,67.03,34.19,41.5844444444444,38.5328571428571,37.1275
"AT2G47910",33.7014285714286,24.83,38.2185714285714,35.4366666666667,24.5608333333333,35.7568888888889,55.265,27.6166666666667,31.1833333333333,28.0242857142857,26.0425
"AT2G15050",19.36,14.285,21.3957142857143,15.0966666666667,11.9329166666667,14.6633333333333,40.325,12.9133333333333,14.9933333333333,14.9585714285714,14.6675
"AT1G64720",522.055714285714,757.03,579.144285714286,595.33,437.415416666667,554.631777777778,624.845,672.063333333333,699.7,560.555714285714,448.5
"AT3G14415",255.655714285714,272.035,281.364285714286,226.696666666667,223.4225,262.975555555556,449.18,242.606666666667,330.928888888889,291.21,230.62
"AT3G47295",60.65,44.055,72.8842857142857,45.4133333333333,37.71375,48.5446666666667,129.9,41.5566666666667,46.38,46.0285714285714,55.97
"AT1G01100",502.824285714286,412.22,422.077142857143,577.363333333333,1006.0025,896.523111111111,294.39,692.743333333333,556.781111111111,613.495714285714,547.56
"AT1G04270",303.515714285714,216.725,296.921428571429,373.11,626.1375,562.064,247.405,379.696666666667,406.453333333333,449.378571428571,456.3625
"AT1G07400",2.95,5.705,3.19285714285714,1.23666666666667,144.511666666667,82.6406666666667,6.025,6.74333333333333,7.73555555555556,9.01571428571429,12.5975
"AT1G09590",237.085714285714,117.76,194.765714285714,274.293333333333,446.462916666667,382.869777777778,194.82,276.39,271.454444444444,320.49,311.5175
"AT1G09690",315.6,222.17,270.928571428571,393.226666666667,641.070416666667,578.521111111111,191.78,426.3,412.148888888889,468.534285714286,453.61
"AT1G17170",28.2342857142857,6.025,16.4071428571429,19.12,391.05375,210.815777777778,16.03,60.97,40.8411111111111,49.3342857142857,48.0625
"AT1G17180",24.4057142857143,1.83,14.1757142857143,16.3,545.882916666667,291.004222222222,21.255,62.1733333333333,37.77,47.8657142857143,39.1625
"AT1G18080",265.287142857143,156.91,244.127142857143,336.936666666667,594.768333333333,490.914222222222,204.625,397.49,372.221111111111,429.79,426.5825
"AT1G22780",222.327142857143,127.95,206.411428571429,219.27,410.611666666667,355.453111111111,274.715,250.25,241.676666666667,273.248571428571,271.405
"AT1G23290",235.535714285714,185.085,212.988571428571,295.33,563.909583333333,478.630444444444,140.18,331.946666666667,296.312222222222,330.702857142857,303.5875
"AT1G52300",436.857142857143,269.67,374.865714285714,515.85,721.446666666667,667.982444444444,331.84,509.29,533.141111111111,607.578571428571,619.67
"AT1G53540",0.754285714285714,1.655,1.12142857142857,0.0866666666666667,113.747083333333,61.2877777777778,2.305,2.91666666666667,2.23333333333333,2.44571428571429,3.745
"AT1G66580",180.482857142857,145.86,155.025714285714,159.033333333333,777.3825,569.932,147.225,340.213333333333,262.434444444444,290.695714285714,287.1075
"AT1G67430",528.03,304.51,459.901428571429,557.576666666667,813.484166666667,740.628444444444,540.575,599.573333333333,634.595555555556,727.807142857143,728.175
"AT1G72370",375.468571428571,207.225,351.328571428571,458.34,647.337083333333,576.371111111111,332.97,414.07,401.526666666667,446.444285714286,419.13
"AT1G75270",39.34,16.02,34.6785714285714,53.47,144.060833333333,90.5062222222222,19.205,57.9866666666667,40.2,44.9214285714286,34.7425
"AT1G76680",121.022857142857,54.105,69.9628571428571,122.34,299.161666666667,221.648444444444,35.11,154.563333333333,161.27,163.007142857143,127.52
"AT1G78380",516.667142857143,353.995,344.461428571429,504.063333333333,797.487083333333,688.978666666667,162.6,654.053333333333,601.835555555556,688.072857142857,563.385
