"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT1G15080",3.11571428571429,1.855,2.64428571428571,4.21333333333333,4.02458333333333,3.99066666666667,1.85,2.83666666666667,3.65444444444444,4.14,4.2325
"AT1G53650",6.83714285714286,6.125,5.84857142857143,5.96666666666667,10.2358333333333,10.0946666666667,5.83,9.39333333333333,9.86888888888889,10.3614285714286,10.29
"AT5G02080",2.64142857142857,3.25,1.73285714285714,2.04333333333333,3.6775,3.72088888888889,1.635,3.43666666666667,3.22444444444444,3.56142857142857,3.5475
"AT1G16510",5.12428571428571,2.97,2.75285714285714,3.51666666666667,5.26458333333333,4.93733333333333,2.33,5.40666666666667,5.28888888888889,5.57,3.6925
"AT1G22540",5.75285714285714,5.59,4.78285714285714,5.72666666666667,7.77333333333333,7.25,4.42,7.55,8.12222222222222,7.96714285714286,7.91
"AT1G29960",3.74285714285714,3.94,3.07714285714286,3.95333333333333,6.09208333333333,6.05488888888889,2.11,4.65333333333333,5.86888888888889,6.26142857142857,5.6475
"AT4G18530",7.53285714285714,8.665,3.61142857142857,4.04333333333333,7.54041666666667,9.17422222222222,3.46,6.26666666666667,8.99222222222222,8.69142857142857,8.48
"AT2G39560",1.51285714285714,1.425,1.06714285714286,1.92,2.56291666666667,2.56822222222222,0.38,0.616666666666667,2.19111111111111,2.66428571428571,2.695
"AT1G05055",6.43571428571429,5.455,5.57428571428571,6.74333333333333,10.36125,10.1964444444444,4.625,10.2033333333333,8.83444444444445,9.69571428571428,9.8575
"AT4G15765",4.87857142857143,5.7,3.88857142857143,3.76666666666667,5.29083333333333,8.70733333333333,3.535,8.75333333333333,8.48777777777778,8.22142857142857,8.4975
"AT1G70260",4.40571428571429,3.08,2.33714285714286,4.05333333333333,4.91666666666667,3.074,1.22,5.77,4.79555555555556,5.87428571428571,5.665
"AT1G16445",4.00571428571429,4.59,3.47714285714286,4.76,3.70875,3.92511111111111,2.65,2.91,4.56888888888889,4.85285714285714,4.9625
"AT4G25300",5.20142857142857,6.25,3.74142857142857,4.59333333333333,4.73375,4.68311111111111,3.19,5.64,6.16666666666667,6.10714285714286,4.7775
"AT2G19690",3.82285714285714,3.165,2.59142857142857,4.70666666666667,7.75458333333333,7.57777777777778,0.73,1.71666666666667,6.63666666666667,7.61571428571429,7.5275
