"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT5G26080",2.37571428571429,0.725,1.99285714285714,2.46666666666667,1.52291666666667,0.915555555555556,2.495,0.57,0.497777777777778,0.624285714285714,0.6925
"AT4G14860",2.56428571428571,2.765,1.91142857142857,1.95,1.71291666666667,1.45977777777778,2.6,1.50333333333333,1.21666666666667,1.31142857142857,1.375
"AT3G50340",10.2357142857143,9.355,7.75857142857143,7.15666666666667,9.23583333333333,11.0431111111111,11.475,7.15666666666667,7.03222222222222,7.07428571428571,7.975
"AT5G38320",1.37142857142857,0.995,1.27142857142857,0.956666666666667,2.19541666666667,1.65488888888889,2.51,0.57,0.474444444444444,0.49,0.6
"AT3G61250",1.64428571428571,1.085,1.78428571428571,2.58666666666667,4.1725,4.28555555555556,1.495,1.15,1.06555555555556,1.16285714285714,1.6475
"AT3G21530",6.79428571428571,4.925,4.41142857142857,4.02333333333333,4.83875,8.15733333333333,5.78,6.83333333333333,3.96444444444444,4.09285714285714,4.4625
"AT1G20065",1.71428571428571,1.385,1.22857142857143,2.04333333333333,2.83916666666667,1.858,0.975,1.28333333333333,0.881111111111111,1.05857142857143,1.1225
"AT1G70270",0.758571428571429,1.21,0.848571428571429,0.836666666666667,4.15,4.73688888888889,1.465,1.07333333333333,0.7,0.9,1.3025
"AT4G26830",1.42285714285714,0.66,1.25,1.16,0.983333333333333,0.642666666666667,2.275,0.52,0.487777777777778,0.541428571428571,0.5625
"AT4G35430",4.29142857142857,9.465,3.86571428571429,3.70333333333333,2.3125,1.82044444444444,7.975,5.31666666666667,0.784444444444444,1.00857142857143,1.765
"AT3G25240",1.88285714285714,0.585,1.85142857142857,3.63333333333333,0.495,0.150222222222222,0.515,0.02,0.0155555555555556,0.02,0.035
"AT5G16960",0.528571428571429,0.485,0.395714285714286,0.633333333333333,0.857083333333333,1.506,0.28,0.236666666666667,0.192222222222222,0.225714285714286,0.395
"AT3G01730",1.48428571428571,0.75,1.06571428571429,1.41333333333333,4.58541666666667,2.556,0.86,0.79,0.611111111111111,0.785714285714286,0.825
"AT3G57130",0.908571428571429,0.6,0.837142857142857,1.13,0.638333333333333,0.713555555555555,0.755,0.826666666666667,0.505555555555556,0.55,0.57
"AT1G63470",12.7414285714286,8.64,11.5171428571429,12.0766666666667,18.0583333333333,20.3044444444444,15.25,8.74,8.59666666666667,9.56571428571429,10.7375
"AT1G23110",3.79285714285714,1.57,3.80428571428571,7.13,1.4225,0.621111111111111,0.955,0.483333333333333,0.4,0.464285714285714,0.465
"AT3G10000",0.535714285714286,0.59,0.537142857142857,0.593333333333333,0.435833333333333,0.944888888888889,0.715,0.353333333333333,0.328888888888889,0.362857142857143,0.5175
"AT5G16980",3.09571428571429,3.28,3.12142857142857,3.88,9.53333333333333,6.52666666666667,3.22,4.22333333333333,3.04,3.28857142857143,3.295
"AT1G18350",0.572857142857143,0.605,0.611428571428571,0.54,0.2925,0.27,0.9,0.35,0.257777777777778,0.29,0.285
"AT1G71520",1.39714285714286,1.035,0.685714285714286,0.413333333333333,9.94666666666667,6.43133333333333,1.52,0.58,0.412222222222222,0.412857142857143,0.4125
"AT3G22660",35.9571428571429,25.345,28.2157142857143,30.87,49.0504166666667,42.3822222222222,37.625,29.7533333333333,25.1111111111111,27.0342857142857,27.08
"AT1G10990",17.19,6.735,12.3414285714286,8.61,10.2545833333333,6.33511111111111,27.015,6.89666666666667,4.74444444444444,4.84857142857143,5.2175
"AT4G24890",0.461428571428571,0.16,0.402857142857143,0.763333333333333,0.299583333333333,0.192222222222222,0.15,0.143333333333333,0.103333333333333,0.12,0.125
"AT3G28170",0.338571428571429,0.51,0.232857142857143,0.326666666666667,0.19125,0.254666666666667,0.28,0.0933333333333333,0.0844444444444444,0.0957142857142857,0.0925
"AT1G48195",0.195714285714286,0.165,0.215714285714286,0.12,0.267083333333333,0.233111111111111,0.575,0.383333333333333,0.0866666666666667,0.111428571428571,0.195
"AT4G28815",0.162857142857143,0.125,0.134285714285714,0.243333333333333,0.109166666666667,0.07,0.105,0.07,0.00555555555555556,0.00714285714285714,0.0125
"AT4G13480",0.267142857142857,0.055,0.147142857142857,0.273333333333333,0.100833333333333,0.0433333333333333,0.07,0.05,0.0411111111111111,0.0428571428571429,0.075
"AT2G21010",0.151428571428571,0.075,0.09,0.176666666666667,0.0570833333333333,0.0575555555555556,0.05,0.0333333333333333,0.02,0.0257142857142857,0.045
"AT2G43220",0.13,0.025,0.03,0.0166666666666667,0.166666666666667,0.103333333333333,0.055,0.02,0.0133333333333333,0.0171428571428571,0.03
"AT3G03260",0.0985714285714286,0.05,0.0928571428571429,0.17,0.0479166666666667,0.0953333333333333,0.03,0.03,0.0266666666666667,0.0342857142857143,0.0375
"AT5G43090",0.08,0.06,0.0928571428571429,0.126666666666667,0.0508333333333333,0.0353333333333333,0.075,0.04,0.0288888888888889,0.0371428571428571,0.065
"AT5G20370",0.0371428571428571,0.04,0.0428571428571429,0.06,0.0579166666666667,0.0426666666666667,0.06,0.04,0.0266666666666667,0.0342857142857143,0.06
"AT1G23130",310.212857142857,461.59,203.721428571429,360.616666666667,312.082083333333,339.436666666667,88.76,7.35666666666667,663.947777777778,592.714285714286,427.045
"AT1G65490",36.34,56.76,23.1328571428571,46.41,69.2841666666667,66.8435555555556,0.25,1.02333333333333,168.373333333333,99.4014285714286,32.315
"AT2G20260",663.871428571429,697.005,634.332857142857,804.213333333333,589.2125,668.016,638.17,360.616666666667,1014.4,958.495714285714,802.49
"AT3G14420",481.772857142857,504.17,398.178571428571,515.69,377.595833333333,535.598222222222,480.735,109.066666666667,625.363333333333,566.7,395.2625
