"","aerial","carpel","dark","flower","leaf","light","pollen","RAM","receptacle","root","SAM"
"AT1G14687",2.98428571428571,2.59,3.67285714285714,3.39333333333333,2.83083333333333,4.25422222222222,4.545,4.35666666666667,2.63,2.17142857142857,2.43
"AT4G15953",3.80142857142857,4.405,2.90714285714286,3.10666666666667,2.80666666666667,3.318,4.3,2.12333333333333,1.80555555555556,1.77857142857143,1.915
"AT5G05810",1.42142857142857,1.325,2.05857142857143,1.81333333333333,2.46541666666667,1.75888888888889,2.49,2.62666666666667,1.20555555555556,0.965714285714286,1.38
"AT3G05630",2.23857142857143,1.78,2.14,2.88333333333333,1.68208333333333,2.84933333333333,1.92,1.70666666666667,1.05666666666667,1.05571428571429,1.1625
"AT5G27220",0.375714285714286,0.325,1.21571428571429,0.493333333333333,2.58,2.094,1.825,2.21333333333333,0.621111111111111,0.298571428571429,0.355
"AT2G41990",4.36571428571429,3.37,4.61285714285714,5.71,7.61625,7.39244444444444,5.56,2.42333333333333,2.69777777777778,2.35285714285714,3.025
"AT2G41340",2.92571428571429,3.155,4.58428571428571,4.02,2.36583333333333,2.28688888888889,4.72,5.37333333333333,2.74666666666667,2.20285714285714,2.8325
"AT1G67400",4.90714285714286,5.765,4.88142857142857,3.96333333333333,3.75083333333333,7.31155555555556,7.46,4.7,3.52555555555556,3.26571428571429,3.72
"AT4G19380",3.02857142857143,3.535,3.32857142857143,2.57333333333333,2.33416666666667,1.82577777777778,4.64,2.50666666666667,1.35222222222222,1.06285714285714,1.215
"AT5G01880",3.43428571428571,4.015,3.25428571428571,3.46333333333333,3.35166666666667,4.75422222222222,2.825,3.63333333333333,2.58,2.43714285714286,2.775
"AT2G22760",1.42571428571429,0.87,0.254285714285714,0.09,1.30416666666667,1.25822222222222,0.22,0.523333333333333,0.44,0.0685714285714286,0.08
"AT1G49530",3.06857142857143,2.91,3.08571428571429,2.27,3.24541666666667,3.75555555555556,3.685,4.98666666666667,2.80444444444444,1.86714285714286,2.285
"AT4G35810",1.48714285714286,1.515,1.82571428571429,1.50666666666667,0.780833333333333,0.883555555555556,2.58,1.69333333333333,0.791111111111111,0.62,0.815
"AT1G29270",3.77428571428571,2.805,5.14714285714286,3.51,5.98583333333333,3.928,7.545,8.05666666666667,2.56111111111111,1.80571428571429,2.1775
"AT4G23750",11.2085714285714,7.875,10.5242857142857,13.3266666666667,12.3220833333333,10.5495555555556,10.665,7.97,8.31888888888889,7.67571428571429,8.3
"AT4G09160",15.1128571428571,13.415,19.1185714285714,15.57,21.44625,16.7355555555556,25.58,25.6,14.9366666666667,13.1685714285714,15.1
"AT1G68480",1.06571428571429,0.255,1.17857142857143,0.803333333333333,2.07,1.23511111111111,2.62,0.433333333333333,0.225555555555556,0.204285714285714,0.2675
"AT1G19620",0.44,0.23,1.10714285714286,0.873333333333333,0.352916666666667,0.432,1.21,1.55666666666667,0.364444444444444,0.147142857142857,0.2575
"AT1G07901",5.29,4.905,6.07571428571429,5,4.67375,5.05711111111111,7.285,8.33333333333333,4.72666666666667,3.7,4.5025
"AT3G02280",6.82571428571429,5.73,6.78714285714286,5.84333333333333,8.33125,8.68911111111111,9.09,10.36,6.22777777777778,5.70571428571429,5.8
"AT4G26460",0.82,0.1,1.19,1.84666666666667,0.521666666666667,0.306666666666667,0.885,0.93,0.16,0.06,0.105
"AT4G23060",7.60142857142857,6.94,13.24,6.33333333333333,8.89375,15.0131111111111,22.14,22.29,8.9,5.79857142857143,5.8275
"AT4G18596",2.11571428571429,1.085,2.12857142857143,3.24,7.32708333333333,7.03555555555556,1.34,1.77333333333333,0.826666666666667,0.705714285714286,0.89
"AT5G09970",0.457142857142857,0.46,1.67285714285714,0.666666666666667,0.905,0.706666666666667,2.425,3.07,0.721111111111111,0.264285714285714,0.455
"AT3G60940",0.508571428571429,0.235,1.01142857142857,0.796666666666667,0.565416666666667,0.412,1.105,1.46,0.421111111111111,0.187142857142857,0.195
"AT2G10930",1.23571428571429,0.985,1.68857142857143,1.27666666666667,1.71375,1.29333333333333,2.245,2.77666666666667,1.09111111111111,0.931428571428571,1.245
"AT2G36400",16.4628571428571,14.3,17.3614285714286,15.65,22.23875,17.7344444444444,22.825,19.7266666666667,10.07,9.04,10.2925
"AT5G41280",2.74428571428571,0.265,0.605714285714286,0.3,1.97958333333333,1.06911111111111,0.99,1.07666666666667,0.221111111111111,0.125714285714286,0.13
"AT1G77200",2.11142857142857,1.705,3.14571428571429,1.39333333333333,2.97958333333333,2.22933333333333,5.545,4.04666666666667,1.08666666666667,0.527142857142857,0.6275
"AT1G68945",50.4685714285714,55.645,54.0814285714286,59.2333333333333,45.8508333333333,62.4391111111111,42.185,61.88,38.3488888888889,37.7414285714286,45.2375
"AT1G34210",11.3585714285714,10.7,15.3657142857143,11.3866666666667,14.5758333333333,14.6682222222222,21.77,21.3933333333333,12.81,10.5842857142857,11.83
"AT1G20690",2.11857142857143,2.54,2.84857142857143,1.67666666666667,2.66375,2.57577777777778,3.615,4.90333333333333,2.14111111111111,1.53428571428571,1.6725
"AT1G79060",3.44,2.66,4.05571428571429,3.71,7.03583333333333,4.95444444444444,4.865,5.4,2.77333333333333,2.61571428571429,3.0275
"AT1G13480",4.79857142857143,1.945,1.94285714285714,1.25333333333333,2.01875,1.21577777777778,3.3,3.33,1.09444444444444,0.954285714285714,1.3
"AT2G03010",2,2.07,1.33428571428571,1.33333333333333,1.45958333333333,1.62022222222222,1.555,1.6,1.22111111111111,1.16285714285714,1.2625
"AT1G67600",1.24,1.22,2.70714285714286,1.11333333333333,2.30708333333333,2.33133333333333,3.935,5.02666666666667,1.60111111111111,0.985714285714286,1.31
"AT1G75120",4.1,3.875,6.46571428571429,5.29,4.50333333333333,4.82711111111111,7.72,8.94666666666667,4.46555555555556,3.53285714285714,4.6175
"AT1G14760",1.13714285714286,0.975,3.24714285714286,1.69333333333333,1.23916666666667,1.19288888888889,4.425,5.46666666666667,1.47444444444444,0.684285714285714,0.77
"AT5G19170",1.69571428571429,1.47,2.12,1.72,1.51458333333333,1.66311111111111,3.17,2.01333333333333,1.28,1.16,1.2875
"AT3G24225",0.17,0.16,0.495714285714286,0.2,1.45375,0.823555555555556,0.645,0.866666666666667,0.191111111111111,0.0385714285714286,0.0675
"AT3G49970",0.534285714285714,1.085,1.89714285714286,0.483333333333333,0.642916666666667,0.473111111111111,2.845,3.84333333333333,0.91,0.302857142857143,0.4125
"AT5G15360",0.172857142857143,0.075,0.537142857142857,0.353333333333333,0.512916666666667,0.268,0.715,0.85,0.133333333333333,0.0114285714285714,0.02
"AT1G07300",9.21857142857143,6.85,8.76571428571429,7.12666666666667,7.93375,8.828,11.525,12.6466666666667,7.45111111111111,6.6,7.39
"AT2G30660",1.85285714285714,1.47,0.447142857142857,0.73,0.37875,0.214,0.21,0.236666666666667,0.0988888888888889,0.0528571428571429,0.0925
"AT4G25750",0.985714285714286,0.34,1.12285714285714,0.91,0.762083333333333,0.626,2.06,0.403333333333333,0.226666666666667,0.208571428571429,0.2525
"AT2G46310",6.00428571428571,6.01,5.52142857142857,6.53333333333333,5.26583333333333,8.80622222222222,5.685,5.52666666666667,4.50666666666667,4.18142857142857,5.3475
"AT1G73890",6.56142857142857,8.255,7.08142857142857,5.09666666666667,5.05541666666667,5.27533333333333,10.455,8.40666666666667,4.74888888888889,3.99714285714286,5.135
"AT3G60390",9.45428571428572,11.5,13.0342857142857,9.78333333333333,11.2966666666667,9.828,17.455,16.58,10.0311111111111,8.92714285714286,11.01
"AT2G17845",0.122857142857143,0.085,0.385714285714286,0.19,0.91125,0.489555555555556,0.925,0.69,0.09,0.0757142857142857,0.1325
"AT2G46610",10.8314285714286,9.985,11.5057142857143,12.8233333333333,12.1204166666667,11.6422222222222,12.72,15.4,10.33,8.80714285714286,9.57
"AT4G28850",3.30714285714286,0.965,3.35571428571429,3.94666666666667,6.73875,3.53288888888889,4.3,1.20333333333333,0.407777777777778,0.364285714285714,0.395
"AT3G62210",2.63428571428571,0.32,0.687142857142857,0.69,1.64291666666667,0.856,1.045,0.576666666666667,0.271111111111111,0.265714285714286,0.3725
"AT2G37630",26.1028571428571,23.86,34.3557142857143,28.4766666666667,25.5416666666667,25.644,42.265,43.1433333333333,20.4377777777778,17.2557142857143,17.7525
"AT3G18010",2.27142857142857,0.945,6.63,3.43,3.35458333333333,2.50866666666667,9.455,10.6333333333333,2.36333333333333,0.651428571428571,0.7075
"AT1G10000",1.20571428571429,1.215,0.845714285714286,0.953333333333333,0.954166666666667,0.902222222222222,1.035,0.75,0.822222222222222,0.677142857142857,0.86
"AT1G30135",4.41,9.125,0.788571428571429,0.343333333333333,6.16916666666667,7.21777777777778,0.95,1.49666666666667,4.39666666666667,0.307142857142857,0.4375
"AT2G27250",0.234285714285714,0.12,0.705714285714286,0.423333333333333,0.22875,0.148,0.72,1.18,0.294444444444444,0.06,0.105
"AT3G28958",0.191428571428571,0.19,0.85,0.273333333333333,0.337916666666667,0.243111111111111,1.21,1.66333333333333,0.503333333333333,0.17,0.2975
"AT5G11160",6.05428571428571,7.825,13.0214285714286,5.41,9.50708333333333,6.53955555555556,22.04,23.1966666666667,7.46444444444444,4.63285714285714,5.99
"AT3G13960",3.26857142857143,2.375,4.23428571428571,2.95,5.38041666666667,3.91244444444444,7.54,3.70333333333333,2.08888888888889,1.94285714285714,2.575
"AT3G28770",0.244285714285714,0.28,0.395714285714286,0.126666666666667,2.15416666666667,1.23355555555556,0.63,0.72,0.222222222222222,0.0971428571428571,0.15
"AT3G58220",12.4228571428571,12.165,11.44,11.0866666666667,18.4125,16.7844444444444,13.61,14.47,11.2822222222222,11.0342857142857,12.43
"AT1G76640",2.75,1.81,0.75,0.29,5.84416666666667,4.01511111111111,0.945,1.47,0.461111111111111,0.267142857142857,0.3525
"AT4G13540",3.16142857142857,3.215,11.6014285714286,3.47333333333333,13.1091666666667,23.4624444444444,17.44,22.14,5.99777777777778,2.60857142857143,3.21
"AT3G49950",1.66285714285714,0.655,3.05285714285714,1.44,1.12625,0.933555555555556,5.65,3.59,1.11777777777778,0.608571428571429,0.755
"AT5G19810",1.59857142857143,0.75,1.39285714285714,0.606666666666667,0.599166666666667,0.559333333333333,3.2,0.64,0.382222222222222,0.318571428571429,0.365
"AT2G04040",5.41,8.95,3.56714285714286,5.49,6.15541666666667,3.46177777777778,2.59,3.07666666666667,1.50777777777778,1.46428571428571,2.1475
"AT2G25169",0.141428571428571,0.24,0.338571428571429,0.17,0.635416666666667,0.559777777777778,0.33,0.62,0.208888888888889,0.0971428571428572,0.17
"AT3G27660",2.26142857142857,2.96,2.66,1.42666666666667,1.73916666666667,7.46177777777778,4.71,4.42,1.15333333333333,0.788571428571429,1.0075
"AT1G49830",0.728571428571429,0.755,0.771428571428571,0.883333333333333,0.457083333333333,1.60355555555556,0.86,0.603333333333333,0.443333333333333,0.422857142857143,0.5475
"AT1G08230",8.97285714285714,6.965,15.6757142857143,10.4533333333333,9.27625,15.6177777777778,21.58,23.2066666666667,9.07444444444444,6.30142857142857,7.195
"AT1G04930",5.50857142857143,3.46,4.85,3.75,4.94541666666667,4.756,8.565,4.74333333333333,3.44111111111111,3.14571428571429,3.395
"AT3G27650",7.13285714285714,4.56,3.61857142857143,3.42666666666667,5.65708333333333,9.74177777777778,3.615,5.68333333333333,3.20888888888889,3.05285714285714,3.44
"AT3G56600",0.0728571428571429,0.09,0.05,0.0433333333333333,1.2025,1.27688888888889,0.035,0.0633333333333333,0.0455555555555556,0.0157142857142857,0.0275
"AT4G02690",0.182857142857143,0.085,0.382857142857143,0.283333333333333,0.187916666666667,0.145333333333333,0.705,0.58,0.06,0.03,0.0525
"AT1G60450",0.08,0.085,0.44,0.103333333333333,0.111666666666667,0.0704444444444444,0.65,0.853333333333333,0.148888888888889,0.00571428571428571,0.01
"AT1G22600",0.752857142857143,0.365,0.857142857142857,0.543333333333333,0.44875,0.336666666666667,1.72,0.41,0.292222222222222,0.285714285714286,0.3825
"AT5G24510",1.06285714285714,0.8,0.761428571428571,0.77,0.83875,0.861111111111111,0.69,1.12333333333333,0.674444444444444,0.632857142857143,0.8425
"AT1G18030",10.12,10.42,12.25,8.63,10.00125,9.99266666666667,16.63,19.5033333333333,10.7611111111111,8.61142857142857,9.1975
"AT4G22190",26.75,31.15,33.1457142857143,30.0233333333333,30.2354166666667,28.8951111111111,36.46,39.5233333333333,28.4811111111111,26.0957142857143,28.17
"AT2G43520",8.22142857142857,13.265,8.02857142857143,7.01666666666667,5.43583333333333,16.392,8.115,6.11333333333333,3.86888888888889,3.31857142857143,4.2025
"AT5G17860",5.05428571428571,7.29,6.33285714285714,5.70333333333333,4.02458333333333,12.8826666666667,6.815,7.83,3.43666666666667,2.36428571428571,3.3
"AT1G01990",17.54,15.915,17.9171428571429,15.9766666666667,15.32125,18.1106666666667,24.625,20.4333333333333,16.1433333333333,14.1242857142857,14.175
"AT2G16630",8.85857142857143,7.715,11.8942857142857,8.17333333333333,9.66041666666667,19.9715555555556,16.27,11.72,8.54888888888889,7.62285714285714,8.42
"AT1G75240",19.35,19.73,44.2428571428571,22.36,28.9729166666667,22.7866666666667,65.05,68.8466666666667,18.3733333333333,8.52571428571429,12.48
"AT1G69910",8.29428571428571,6.57,9.12428571428571,6.14333333333333,8.33416666666667,9.372,15.465,9.64666666666667,6.58,5.16,5.175
"AT3G42850",0.214285714285714,0.085,0.201428571428571,0.226666666666667,0.692916666666667,0.676222222222222,0.205,0.233333333333333,0.103333333333333,0.0757142857142857,0.1175
"AT5G05490",0.33,0.185,0.354285714285714,0.283333333333333,0.420416666666667,0.328888888888889,0.51,0.533333333333333,0.201111111111111,0.155714285714286,0.1975
"AT5G38930",5.28571428571429,2.17,5.61,3.86,1.77833333333333,1.53088888888889,11.44,1.44333333333333,0.736666666666667,0.585714285714286,0.59
"AT1G32690",7.84714285714286,4.565,9.03714285714286,4.74333333333333,7.675,5.29066666666667,16.955,11.48,4.75,3.83142857142857,4.5975
"AT3G45060",2.22428571428571,1.32,0.978571428571429,0.66,1.8325,8.50622222222222,1.505,1.37,0.89,0.52,0.685
"AT5G25970",0.904285714285714,0.74,0.817142857142857,0.993333333333333,0.413333333333333,6.93888888888889,1.035,0.31,0.225555555555556,0.221428571428571,0.295
"AT1G70830",199.92,213.325,419.805714285714,233.446666666667,260.88625,282.784222222222,593.495,599.243333333333,263.564444444444,189.475714285714,255.8025
"AT4G20070",18.0271428571429,12.19,18,15.81,17.1245833333333,15.6911111111111,21.42,27.59,13.2711111111111,11.0428571428571,11.695
"AT4G22490",86.6485714285714,35.425,101.414285714286,120.896666666667,36.2804166666667,36.4737777777778,126.91,51.9766666666667,24.13,20.1928571428571,25.3375
"AT4G10270",6.43285714285714,9.095,9.17285714285714,2.72,8.26583333333333,5.79866666666667,21.15,15.05,2.06,1.55285714285714,2.7175
