GeneID,gene.rank.h,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,31.7447975309348,LBD2,1,-1,protein_coding,na
AT2G07280,7.60497073220554,AT2G07280,2,1,protein_coding,na
AT4G20220,7.41914169045455,AT4G20220,4,1,protein_coding,na
AT5G22170,4.74695138648499,AT5G22170,5,1,protein_coding,na
AT5G37560,3.3781307753521,AT5G37560,5,1,protein_coding,na
AT3G16970,3.37686249549259,AT3G16970,3,-1,protein_coding,na
AT4G38990,2.76355024221251,AtGH9B16,4,-1,protein_coding,na
AT3G31950,2.72718097849845,AT3G31950,3,1,protein_coding,na
AT2G14500,2.5968670073186,AT2G14500,2,1,protein_coding,na
AT4G23090,2.58474588019135,AT4G23090,4,-1,protein_coding,na
AT1G59680,2.52148021067503,EDA1,1,1,protein_coding,na
AT2G25120,2.37187894596765,AT2G25120,2,1,protein_coding,na
AT5G39910,2.23944715571501,AT5G39910,5,-1,protein_coding,na
AT5G11830,2.207657752312,AT5G11830,5,-1,protein_coding,na
AT5G05050,2.19531730967762,AT5G05050,5,1,protein_coding,na
AT1G37020,2.17210152558482,AT1G37020,1,1,protein_coding,na
AT5G25850,2.11776869542451,AT5G25850,5,1,protein_coding,na
AT2G17310,2.09699634996131,SON1,2,1,protein_coding,na
AT2G29800,2.07941839259817,AT2G29800,2,-1,protein_coding,na
AT4G14260,2.07491458677032,AT4G14260,4,-1,protein_coding,na
AT4G05270,1.99977919094237,AT4G05270,4,1,protein_coding,na
AT3G22940,1.97716877051527,AT3G22940,3,1,protein_coding,na
AT4G08485,1.95215239593767,AT4G08485,4,-1,protein_coding,na
AT4G16295,1.87774422318336,SPH1,4,-1,protein_coding,na
AT4G09860,1.78312984713094,AT4G09860,4,-1,protein_coding,na
AT3G29800,1.75624577949292,AT3G29800,3,1,protein_coding,na
AT1G57690,1.75390852013889,AT1G57690,1,-1,protein_coding,na
AT1G27250,1.72513531770709,AT1G27250,1,1,protein_coding,na
AT2G01500,1.69964265185401,PFS2,2,-1,transcription_factor,Homeobox
AT2G02550,1.6640559500046,AT2G02550,2,1,protein_coding,na
AT2G12875,1.65471018437657,AT2G12875,2,-1,protein_coding,na
AT2G36700,1.61136642702409,AT2G36700,2,-1,protein_coding,na
AT1G12190,1.56139300111216,AT1G12190,1,-1,protein_coding,na
AT4G16045,1.56085417801037,AT4G16045,4,1,protein_coding,na
AT1G65342,1.50957378867779,AT1G65342,1,1,protein_coding,na
AT2G03160,1.50603184968804,ASK19,2,1,protein_coding,na
AT3G17265,1.47505332454864,AT3G17265,3,-1,protein_coding,na
AT1G47730,1.46445533956187,AT1G47730,1,-1,protein_coding,na
AT3G46860,1.45955356089771,AT3G46860,3,1,protein_coding,na
AT4G30050,1.44240713110392,AT4G30050,4,-1,protein_coding,na
AT5G10420,1.42921177969473,AT5G10420,5,-1,protein_coding,na
AT5G41500,1.42820915147405,AT5G41500,5,1,protein_coding,na
AT5G41510,1.3998523269444,AT5G41510,5,1,protein_coding,na
AT2G06570,1.33811884645989,AT2G06570,2,-1,protein_coding,na
AT5G37220,1.31310193984342,AT5G37220,5,1,protein_coding,na
