	Tissues	Description
SRR847503	aerial	Aerial_part_3_week_old
SRR847504	aerial	Aerial_part_3_week_old
SRR847505	aerial	Aerial_part_3_week_old
SRR847506	aerial	Aerial_part_3_week_old
SRR547531	aerial	Aerial_part_4_week_old
SRR548277	aerial	Aerial_part_4_week_old
ERR274310	aerial	Aerial_part_long_day
SRR1207194	carpel	Carpels_stage_8_13
SRR1207195	carpel	Carpels_stage_8_13
SRR493237	dark	etiolated_seedling_3_day_old
SRR493238	dark	etiolated_seedling_3_day_old
SRR477075	dark	etiolated_seedling_5_day_old
SRR477076	dark	etiolated_seedling_5_day_old
SRR1019436	dark	etiolated_seedling_5_day_old
SRR1019437	dark	etiolated_seedling_5_day_old
SRR1049784	dark	etiolated_seedling_7_day_old
SRR800753	flower	floral_bud_stage_12
SRR800754	flower	floral_bud_stage_12
SRR314815	flower	floral_bud_stage_12_long_day
SRR446485	leaf	meristem_young_leaves_4_week_old
SRR446487	leaf	meristem_young_leaves_4_week_old
SRR314813	leaf	Leaf_11_day_old
SRR934391	leaf	Leaf_2_week_old_long_day
SRR493036	leaf	Leaf_2_week_old
SRR1159821	leaf	Leaf_20_day_old
SRR1159827	leaf	Leaf_20_day_old
SRR1159837	leaf	Leaf_20_day_old
SRR1105822	leaf	Leaf_3_week_old_long_day
SRR1105823	leaf	Leaf_3_week_old_long_day
SRR942022	leaf	Leaf_3_week_old_long_day
SRR924656	leaf	Leaf_3_week_old
SRR764885	leaf	Leaf_4_week_old_long_day
SRR493097	leaf	Leaf_5_week_old
SRR493098	leaf	Leaf_5_week_old
SRR493101	leaf	Leaf_5_week_old
SRR446039	leaf	Leaf_6_week_old
SRR446040	leaf	Leaf_6_week_old
SRR446027	leaf	Leaf_6_week_old
SRR446028	leaf	Leaf_6_week_old
SRR446033	leaf	Leaf_6_week_old
SRR446034	leaf	Leaf_6_week_old
SRR446484	leaf	Leaf_4_week_old_non-dividing
SRR446486	leaf	Leaf_4_week_old_non-dividing
SRR1001909	light	seedling_10_day_old_long_day
SRR1001910	light	seedling_10_day_old_long_day
SRR394082	light	seedling_10_day_old_long_day
SRR797194	light	seedling_10_day_old_long_day
SRR797230	light	seedling_10_day_old_long_day
SRR833246	light	seedling_10_day_old_long_day
SRR584115	light	seedling_11_day_old_long_day
SRR584121	light	seedling_11_day_old_long_day
SRR584129	light	seedling_11_day_old_long_day
SRR584134	light	seedling_11_day_old_long_day
SRR1019221	light	seedling_15_day_old_long_day
SRR504179	light	seedling_15_day_old_long_day
SRR504180	light	seedling_15_day_old_long_day
SRR504181	light	seedling_15_day_old_long_day
SRR070570	light	seedling_4_day_old_24h_light
SRR070571	light	seedling_4_day_old_24h_light
SRR345561	light	seedling_7_day_old_long_day
SRR345562	light	seedling_7_day_old_long_day
SRR346552	light	seedling_7_day_old_long_day
SRR346553	light	seedling_7_day_old_long_day
SRR515073	light	seedling_7_day_old_long_day
SRR515074	light	seedling_7_day_old_long_day
SRR527164	light	seedling_7_day_old_long_day
SRR527165	light	seedling_7_day_old_long_day
SRR653555	light	seedling_9_day_old_24h_light
SRR653556	light	seedling_9_day_old_24h_light
SRR653557	light	seedling_9_day_old_24h_light
SRR653567	light	seedling_9_day_old_long-day_10h_after_light
SRR653568	light	seedling_9_day_old_long-day_10h_after_light
SRR653569	light	seedling_9_day_old_long-day_10h_after_light
SRR653570	light	seedling_9_day_old_long-day_14h_after_light
SRR653571	light	seedling_9_day_old_long-day_14h_after_light
SRR653572	light	seedling_9_day_old_long-day_14h_after_light
SRR653573	light	seedling_9_day_old_long-day_18h_after_light
SRR653574	light	seedling_9_day_old_long-day_18h_after_light
SRR653575	light	seedling_9_day_old_long-day_18h_after_light
SRR653576	light	seedling_9_day_old_long-day_22h_after_light
SRR653577	light	seedling_9_day_old_long-day_22h_after_light
SRR653578	light	seedling_9_day_old_long-day_22h_after_light
SRR653561	light	seedling_9_day_old_long-day_2h_after_light
SRR653562	light	seedling_9_day_old_long-day_2h_after_light
SRR653563	light	seedling_9_day_old_long-day_2h_after_light
SRR653564	light	seedling_9_day_old_long-day_6h_after_light
SRR653565	light	seedling_9_day_old_long-day_6h_after_light
SRR653566	light	seedling_9_day_old_long-day_6h_after_light
SRR847501	pollen	Mature_pollen
SRR847502	pollen	Mature_pollen
SRR1261509	RAM	Root_tip_3-day-old
SRR1260032	RAM	Root_tip_3-day-old
SRR1260033	RAM	Root_tip_3-day-old
SRR401413	receptacle	Receptacle_stage_15_long_day
SRR401414	receptacle	Receptacle_stage_15_long_day
SRR401415	receptacle	Receptacle_stage_15_long_day
SRR401416	receptacle	Receptacle_stage_15_long_day
SRR401417	receptacle	Receptacle_stage_15_long_day
SRR401418	receptacle	Receptacle_stage_15_long_day
SRR401419	receptacle	Receptacle_stage_15_long_day
SRR401420	receptacle	Receptacle_stage_15_long_day
SRR401421	receptacle	Receptacle_stage_15_long_day
SRR1524935	root	Root_10_day_old_24h_light
SRR1524938	root	Root_10_day_old_24h_light
SRR1524940	root	Root_10_day_old_24h_light
SRR1046909	root	Root_10_day_old
SRR1046910	root	Root_10_day_old
SRR314814	root	Root_11_day_old
ERR274309	root	Root_4_leaf_stage
SRR949956	SAM	meristem_young_leaves_2_week_old
SRR949965	SAM	meristem_young_leaves_2_week_old
SRR949988	SAM	meristem_young_leaves_2_week_old
SRR949989	SAM	meristem_young_leaves_2_week_old
