GenBank	wol_1.CEL	wol_2.CEL	wol_3.CEL	scr5_1.CEL	scr5_2.CEL	scr5_3.CEL	CORTEX_1.CEL	CORTEX_2.CEL	CORTEX_3.CEL	WER_1.CEL	WER_2.CEL	WER_3.CEL	pet111_1.CEL	pet111_2.CEL	pet111_3.CEL	AGL42_1.CEL	AGL42_2.CEL
ATMG00640	5.177	4.857	5.003	5.141	4.469	4.653	5.001	4.821	5.168	5.027	4.834	5.132	4.596	4.985	4.557	4.339	5.242
ATMG00650	6.743	5.94	6.246	5.855	4.998	4.854	5.239	5.155	5.253	5.467	5.419	5.616	4.905	4.761	4.711	4.844	5.47
ATMG00660	9.255	8.277	8.382	8.511	8.18	6.417	6.871	7.087	7.064	7.564	7.805	8.162	6.556	6.338	6.245	8.002	9.21
ATMG00670	7.14	6.678	6.699	6.581	5.74	5.101	5.211	5.521	5.414	5.545	5.903	5.576	5.169	5.67	5.286	6.123	5.32
ATMG00680	5.355	5.472	5.332	5.438	5.222	4.913	4.879	4.657	4.937	5.068	4.636	4.73	4.387	4.885	4.726	5.016	4.63
ATMG00690	8.264	8.39	8.305	8.063	6.647	6.506	7.656	7.627	7.981	7.221	7.37	7.465	5.938	6.245	6.56	7.489	8.191
ATMG00710	4.394	4.202	4.458	4.828	4.526	3.952	4.145	4.137	4.177	4.018	3.983	4.088	3.976	4.207	3.917	4.152	3.896
ATMG00720	4.81	4.715	4.696	5.711	4.463	4.358	4.257	4.153	4.313	4.141	3.997	4.216	4.143	4.455	4.197	4.297	4.043
ATMG00740	6.1	6.197	5.75	6.69	4.694	4.678	4.301	4.138	4.251	4.299	4.306	4.941	4.02	4.69	4.08	4.506	4.121
ATMG00750	5.73	5.022	5.066	5.545	3.954	3.829	3.654	3.705	3.787	3.988	4.094	3.888	3.679	3.868	3.637	4.008	3.721
ATMG00820	4.322	3.538	3.754	4.021	3.343	3.194	3.222	3.188	3.078	3.435	3.247	3.382	2.98	3.077	3.152	3.299	3.136
ATMG00830	9.935	9.665	9.658	9.825	8.013	7.558	8.206	8.557	8.625	7.838	8.391	8.856	7.808	7.184	7.445	8.79	8.902
ATMG00840	7.533	7.376	6.762	8.143	6.445	5.887	5.764	5.928	5.828	5.893	5.878	6.025	5.547	5.376	5.638	5.953	5.057
ATMG00850	3.838	4.192	4.318	4.242	3.507	3.469	3.57	3.371	3.417	3.414	3.508	3.46	3.531	3.54	3.48	3.544	3.312
ATMG00860	7.407	6.543	6.683	7.266	5.016	4.788	4.923	4.861	4.906	4.994	5.107	4.896	4.965	4.867	4.894	5.123	4.526
ATMG00880	4.15	4.292	4.486	4.485	4.447	4.137	4.167	4.09	4.177	4.429	4.089	4.286	4.165	4.192	3.886	4.036	3.796
ATMG00870	5.184	4.432	4.38	5.374	3.629	3.914	3.673	3.708	3.638	4.077	3.867	4.111	3.504	3.937	3.537	3.789	3.836
ATMG00890	4.51	4.057	4.038	4.626	3.447	3.469	3.425	3.44	3.358	3.592	3.529	3.495	3.415	3.206	3.365	3.445	3.278
ATMG01000	7.815	8.29	8.595	7.99	6.095	7.141	7.787	8.44	8.443	7.197	7.522	7.841	7.044	6.568	6.248	6.541	7.079
ATMG01020	7.409	7.07	6.959	6.818	5.948	5.946	5.6	5.585	5.772	6.159	5.884	5.707	5.498	5.841	5.602	6.219	5.215
ATMG01040	9.003	8.101	8.208	8.929	5.707	5.959	5.224	5.006	5.285	5.342	5.835	5.718	5.202	5.486	5.133	5.998	5.668
ATMG00510	4.13	4.652	3.841	4.308	3.74	3.542	3.672	3.925	3.904	3.265	3.75	3.608	3.695	4.241	4.247	4.095	3.804
ATMG00520	6.687	6.638	6.375	6.945	4.724	5.477	5.089	5.225	5.14	6.399	6.723	7.175	4.373	4.574	4.531	4.552	5.027
ATMG00570	8.78	8.095	8.18	8.632	6.743	6.224	7.208	7.065	7.268	6.493	6.414	6.339	5.684	6.023	5.691	6.981	7.477
ATMG00580	9.578	8.574	9.64	9.443	8.219	6.407	8.746	8.007	8.475	7.032	7.082	7.512	7.065	7.679	7.272	7.97	9.364
ATMG00600	4.077	4.236	4.342	4.412	3.908	3.766	3.756	3.471	3.646	3.859	3.706	4.047	3.586	3.803	3.619	3.719	3.867
ATMG00630	7.32	6.364	6.669	6.943	5.082	5.041	4.646	4.808	5.026	5.207	5.23	5.236	4.574	4.958	4.519	5.984	6.14
ATCG01060	8.174	7.817	8.352	8.364	5.974	5.835	5.789	6.027	5.063	5.342	5.443	5.503	5.162	4.825	5.38	5.334	5.505
ATCG01070	9.146	7.841	8.625	8.622	5.348	5.982	5.689	5.311	4.132	5.255	4.656	5.71	5.01	4.694	4.608	5.05	5.833
ATCG01080	9.556	8.643	9.275	9.4	6.014	7.05	5.521	5.368	5.064	5.392	4.816	5.829	5.684	5.583	5.614	7.064	5.247
ATCG01090	9.887	8.394	9.562	9.303	6.988	7.079	7.718	8.119	8.001	8.424	7.942	8.553	8.244	7.331	7.819	9.305	9.092
ATCG01100	7.561	6.298	7.201	7.534	4.764	5.752	5.518	5.531	5.5	5.717	5.357	5.62	6	4.948	5.478	6.205	5.99
ATCG01110	5.385	4.456	5.437	5.131	3.547	3.553	3.449	3.556	3.477	3.571	3.402	3.769	3.217	3.279	3.323	3.545	3.491
ATCG01120	8.588	7.241	7.522	8.117	5.705	5.124	6.761	6.173	6.443	4.816	4.916	5.711	5.103	5.836	5.437	6.187	6.382
ATCG00065	7.695	6.384	7.475	8.158	4.489	4.135	4.208	4.63	4.433	4.537	4.464	4.616	4.323	4.485	4.667	5.625	5.152
ATMG00010	7.788	7.431	7.203	7.857	6.126	5.831	5.536	5.377	5.384	6.084	5.798	6.087	5.514	5.94	5.608	5.97	5.57
ATMG00050	7.32	6.626	6.135	5.544	5.225	4.531	4.922	4.477	4.641	5.253	5.229	5.277	4.833	4.855	4.706	6.051	4.512
ATMG00070	7.247	6.635	7.079	6.857	5.483	5.392	6.399	6.105	6.477	5.793	5.895	6.116	4.856	5.318	4.834	5.869	7.671
ATMG00110	7.303	7.335	7.216	7.102	5.819	5.999	7.077	6.395	6.737	7.236	7.119	7.434	5.409	5.482	5.459	5.871	6.07
ATMG00130	5.993	5.433	5.306	6.313	4.097	4.076	4.188	4.126	4.221	4.261	4.142	4.288	3.919	4.171	3.943	4.323	3.943
ATMG00140	5.274	5.286	5.008	5.786	4.458	4.273	4.068	4.086	4.232	4.376	3.986	4.293	4.054	4.343	4.138	4.198	3.919
ATMG00150	5.193	4.781	4.91	4.893	4.136	4.293	4.163	4.259	4.246	4.321	4.112	4.366	3.984	4.088	4.066	3.972	4.106
ATMG00160	7.09	6.291	6.927	6.748	5.282	6.508	6.798	7.079	7.553	7.935	8.094	8.214	5.672	6.157	5.881	5.011	7.601
ATMG00180	8.816	8.251	7.936	8.389	6.876	6.208	7.152	6.979	7.201	6.519	6.504	6.843	6.395	6.442	6.107	6.739	6.973
ATMG00260	6.018	5.289	6.207	6.203	4.106	4.391	3.884	3.956	3.789	4.184	4.168	3.943	3.79	4.065	3.925	4.268	3.563
ATMG00270	8.174	7.576	7.973	7.874	7.162	6.537	6.797	6.701	6.659	6.691	6.687	6.969	5.621	5.5	5.627	6.064	5.678
ATMG00320	5.736	5.158	4.894	5.343	4.331	4.281	4.299	4.171	4.31	4.57	4.325	4.415	4.106	4.653	4.179	4.474	3.993
