GeneID	S1	S2	S3	S4	S5	S6	S7	S8	S9
Gene1	4.3	2.37	6.8	8.78	3.91	4.06	8.28	3.09	9.89
Gene2	8.31	5.54	4.66	5.98	9.7	3.77	2.08	9.74	3.1
Gene3	5.27	8.39	5.91	5.1	6.81	6.74	8.23	6.12	9.24
Gene4	9.06	2.98	9.64	3.97	6.12	4.14	7.84	3.3	6.61
Gene5	9.52	6.49	5.86	2.89	5.22	6.25	7.04	6.98	5.16
Gene6	2.36	3.65	9.12	5.12	9.04	8.28	5.85	9.89	5.6
Gene7	6.22	3.02	9.32	6.58	4.91	3.34	3.25	7.35	7.65
Gene8	9.14	8.03	6.87	3.74	4.31	5.24	2.07	5.35	2.66
Gene9	6.41	9.16	5.29	5.56	3.37	5.77	5.62	4.59	4.71
Gene10	5.65	5	3.18	3.74	3.38	8.94	5.94	8.68	7.45
Gene11	9.65	7.32	9.48	6.02	5.86	9.41	5.12	3.15	4.54
Gene12	5.63	2.76	4.41	4.83	4.02	9.06	5.72	3.54	8.65
Gene13	7.42	5.07	2.49	7.2	3.73	7.39	7.71	9.17	3.72
Gene14	6.58	4.2	9.58	5	7.4	9.6	2.44	4.46	5.98
Gene15	2.82	8.52	7.76	4.84	2.38	6.13	4.84	4.91	4.21
Gene16	9.2	5.59	3.14	6.27	7.61	6.61	8.42	8.27	3.54
Gene17	3.97	8.48	6.39	7.92	4.82	4.69	8.69	3.55	9.6
Gene18	2.34	8.5	9.63	3.77	5.27	4.78	3.9	2.14	4.57
Gene19	4.62	8.35	6.68	5.3	8.57	2.16	4.83	5.25	5.83
Gene20	9.64	5.52	5.24	4.13	9.35	6.02	8.86	5.87	2.22
Gene21	9.12	8.04	7.18	7.04	4.26	8.97	8.83	5.37	6.38
Gene22	7.54	7.03	4.56	3.47	9.69	2.05	4.37	4.74	7.15
Gene23	7.12	7.68	4.46	8.91	7.83	2.58	3.18	8.93	6.77
Gene24	9.95	2	3.76	7.97	7.49	3.31	7.63	5.64	4.58
Gene25	7.25	5.8	4.96	7.35	2.42	8.16	2.83	6.27	9.13
Gene26	7.67	3.76	9.87	6.94	5.16	7.88	2.27	9.71	7.01
Gene27	6.35	5.04	3.23	4.98	5.82	9.78	10	8.2	4.42
Gene28	6.75	6.9	2.73	6.24	6.48	5.73	2.28	3.67	5.11
Gene29	4.31	4.81	3.14	9	7.59	2.6	4.71	4.47	3.28
Gene30	3.18	2.89	7.52	6.65	9.33	7.19	9.32	9.77	8.9
Gene31	9.7	3.95	6.95	8.72	6.95	8.07	6.94	6.68	9.62
Gene32	9.22	7.34	9.13	4.5	5.43	3.1	4.29	8.09	6.51
Gene33	7.53	5.34	7.38	7.67	6.34	5.17	7.9	4.98	4.64
Gene34	8.36	8.31	7.9	4.12	2.47	3.8	8.67	8.15	9.97
Gene35	2.2	2.82	6.17	6.75	4.09	2.46	4.51	6.3	3.88
Gene36	5.82	5.48	7.28	5.85	5.18	5.17	5.94	9.31	6.9
Gene37	8.07	9.88	8.57	4.12	3.58	2.52	7.58	3.48	2.87
Gene38	3.73	9.14	8.29	6.52	8.66	3.81	7.13	4.26	5.9
Gene39	4.55	9.09	9.84	9.31	3.22	2.44	7.15	2.76	2.8
Gene40	3.85	3.4	5.52	9.21	8.43	7.36	9.82	3.68	3.29
Gene41	3.14	3.05	4.49	4.19	6.37	4.38	5.32	9.82	4.26
Gene42	5.32	7.22	5.28	4.57	7.3	2.81	2.96	4.37	6.67
Gene43	5.31	4.75	2.08	9.89	3.37	2.58	6.21	7.81	7.85
Gene44	4.95	7.25	3.47	6.96	7.06	9.04	3.8	8.29	3.32
Gene45	3.22	4.56	8.74	9.5	4.49	8.03	5.89	2.84	8.93
Gene46	3.11	3.5	3.85	5.73	7.8	8.53	4.96	3.92	7.67
Gene47	3.86	8.26	3.91	5.25	5.19	9.86	9.87	4.16	8.08
Gene48	5.73	2.75	2.61	7.27	9.75	2.83	5.11	2.81	3.18
Gene49	4.13	5.73	3.97	3.22	9.74	2.79	3.83	2.94	4.86
Gene50	8.86	6.09	7.86	6.58	7.81	8.39	6.99	9.93	7.39
