	Tissues	Description
f1	aerial	Aerial_part_3_week_old
f2	aerial	Aerial_part_3_week_old
f3	aerial	Aerial_part_3_week_old
f4	aerial	Aerial_part_3_week_old
f5	aerial	Aerial_part_4_week_old
f6	aerial	Aerial_part_4_week_old
f7	aerial	Aerial_part_long_day
f8	carpel	Carpels_stage_8_13
f9	carpel	Carpels_stage_8_13
f10	dark	etiolated_seedling_3_day_old
f11	dark	etiolated_seedling_3_day_old
f12	dark	etiolated_seedling_5_day_old
f13	dark	etiolated_seedling_5_day_old
f14	dark	etiolated_seedling_5_day_old
f15	dark	etiolated_seedling_5_day_old
f16	dark	etiolated_seedling_7_day_old
f17	flower	floral_bud_stage_12
f18	flower	floral_bud_stage_12
f19	leaf	meristem_young_leaves_4_week_old
f20	leaf	meristem_young_leaves_4_week_old
