GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT2G41231,0.999981975637113,AT2G41231,2,1,protein_coding,na
AT1G17700,0.999966986042205,PRA1.F1,1,1,protein_coding,na
AT3G22580,0.999900187526326,AT3G22580,3,-1,protein_coding,na
AT2G41200,0.999638091128051,AT2G41200,2,1,protein_coding,na
AT5G04470,0.999406542337761,SIM,5,-1,protein_coding,na
AT5G38940,0.999236103289993,AT5G38940,5,1,protein_coding,na
AT5G14920,0.99902373404501,AT5G14920,5,1,protein_coding,na
AT2G41750,0.998545181348927,AT2G41750,2,-1,protein_coding,na
AT2G44735,0.998428363703602,AT2G44735,2,1,protein_coding,na
AT1G36940,0.998392892291227,AT1G36940,1,1,protein_coding,na
AT3G33520,0.997054417668075,ATARP6,3,-1,protein_coding,na
AT4G28180,0.995406181295573,AT4G28180,4,-1,protein_coding,na
AT2G46970,0.992410192612686,PIL1,2,-1,transcription_factor,bHLH
AT1G51360,0.984261564154138,ATDABB1,1,1,protein_coding,na
AT1G15900,0.978702805020148,AT1G15900,1,1,protein_coding,na
AT1G08810,0.97013011477293,MYB60,1,-1,transcription_factor,MYB
AT5G04600,0.965765287976003,AT5G04600,5,1,protein_coding,na
AT4G38340,0.962841915793579,AT4G38340,4,1,transcription_factor,NLP
AT3G49950,0.961433686376217,AT3G49950,3,1,transcription_factor,GRAS
AT4G12470,0.958329505430888,AZI1,4,-1,protein_coding,na
AT4G17695,0.954882754355849,KAN3,4,-1,transcription_factor,G2-like
AT3G06200,0.951946335853085,AT3G06200,3,1,protein_coding,na
AT3G24506,0.950219828685205,AT3G24506,3,-1,protein_coding,na
AT3G10040,0.935997920950574,AT3G10040,3,-1,protein_coding,na
AT1G12980,0.932863745026876,ESR1,1,1,transcription_factor,AP2-EREBP
AT1G76930,0.930884892754479,ATEXT4,1,-1,protein_coding,na
AT3G21215,0.930192336147452,AT3G21215,3,-1,protein_coding,na
AT3G02550,0.926593090482918,LBD41,3,-1,protein_coding,na
