GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT1G64850,0.999981974450105,AT1G64850,1,-1,protein_coding,na
AT1G22750,0.999864280889717,AT1G22750,1,1,protein_coding,na
AT3G56080,0.996295525858278,AT3G56080,3,-1,protein_coding,na
AT4G29120,0.995624061437897,AT4G29120,4,1,protein_coding,na
AT4G28730,0.994893726501659,AT4G28730,4,1,protein_coding,na
AT1G58520,0.9933496885626,RXW8,1,1,protein_coding,na
AT3G27820,0.991979936325214,ATMDAR4,3,1,protein_coding,na
AT2G13810,0.979639079433042,ALD1,2,1,protein_coding,na
AT2G16510,0.971838897701267,AT2G16510,2,-1,protein_coding,na
AT5G20790,0.958855341339228,AT5G20790,5,-1,protein_coding,na
AT3G02040,0.955169246396832,SRG3,3,-1,protein_coding,na
AT5G25140,0.955117447382792,CYP71B13,5,1,protein_coding,na
AT3G07800,0.867582667944787,AT3G07800,3,-1,protein_coding,na
AT5G24530,0.813300679828613,DMR6,5,1,protein_coding,na
AT1G33340,0.812327030047013,AT1G33340,1,1,protein_coding,na
AT2G38690,0.791620310656325,AT2G38690,2,-1,protein_coding,na
AT4G30110,0.790432407507444,HMA2,4,-1,protein_coding,na
AT5G38940,0.783507933793854,AT5G38940,5,1,protein_coding,na
AT5G15950,0.757946355945209,AT5G15950,5,1,protein_coding,na
AT4G30993,0.752246003447703,AT4G30993,4,1,protein_coding,na
AT4G34760,0.696032631913152,AT4G34760,4,-1,protein_coding,na
AT5G19850,0.638491915555373,AT5G19850,5,-1,protein_coding,na
AT3G55646,0.584043458128444,AT3G55646,3,1,protein_coding,na
AT4G00872,0.530892798078172,AT4G00872,4,-1,protein_coding,na
AT3G16990,0.48439789912407,AT3G16990,3,-1,protein_coding,na
AT4G14230,0.478589984032953,AT4G14230,4,-1,protein_coding,na
AT5G16940,0.453078449370198,AT5G16940,5,-1,protein_coding,na
AT4G30230,0.442246743898418,AT4G30230,4,1,protein_coding,na
AT5G15050,0.434023573964041,AT5G15050,5,-1,protein_coding,na
AT1G09180,0.413593160876032,ATSAR1,1,1,protein_coding,na
AT1G71910,0.371462472338327,AT1G71910,1,1,protein_coding,na
AT5G43240,0.363174605930957,AT5G43240,5,-1,protein_coding,na
AT1G52340,0.362721191730245,ABA2,1,-1,protein_coding,na
AT4G27710,0.320807410023409,CYP709B3,4,1,protein_coding,na
AT2G28720,0.306320091183057,AT2G28720,2,1,protein_coding,na
AT1G78620,0.297144605283462,AT1G78620,1,-1,protein_coding,na
AT1G64400,0.29290131980178,LACS3,1,-1,protein_coding,na
AT1G65420,0.289992568930251,NPQ7,1,-1,protein_coding,na
AT1G19960,0.281122501075814,AT1G19960,1,1,protein_coding,na
AT1G29460,0.270906115392879,AT1G29460,1,-1,protein_coding,na
AT1G70030,0.236173130197437,AT1G70030,1,1,protein_coding,na
AT5G25120,0.195653672299715,CYP71B11,5,1,protein_coding,na
AT5G10930,0.17497113979311,CIPK5,5,-1,protein_coding,na
AT1G12140,0.162869708444985,FMOGS-OX5,1,1,protein_coding,na
AT3G21460,0.144334514158648,AT3G21460,3,-1,protein_coding,na
AT1G10360,0.141213140582058,ATGSTU18,1,-1,protein_coding,na
AT1G72890,0.133371015844697,AT1G72890,1,1,protein_coding,na
AT3G59300,0.129816975571511,AT3G59300,3,1,protein_coding,na
AT4G37470,0.129624408095088,AT4G37470,4,-1,protein_coding,na
AT3G18060,0.12753240972446,AT3G18060,3,1,protein_coding,na
AT2G34580,0.127093718978702,AT2G34580,2,-1,protein_coding,na
AT4G00955,0.118048391849006,AT4G00955,4,1,protein_coding,na
AT5G06790,0.115179264393818,AT5G06790,5,-1,protein_coding,na
AT1G74300,0.108856282909105,AT1G74300,1,1,protein_coding,na
AT4G04750,0.106463101707955,AT4G04750,4,1,protein_coding,na
AT1G10470,0.104162735889325,ARR4,1,-1,protein_coding,na
AT5G24980,0.103174931935756,AT5G24980,5,1,protein_coding,na
AT2G33255,0.100133599949003,AT2G33255,2,1,protein_coding,na
AT5G14920,0.0997487956589497,AT5G14920,5,1,protein_coding,na
AT2G28190,0.0991136762591068,CSD2,2,1,protein_coding,na
AT4G04210,0.0975133912105728,PUX4,4,1,protein_coding,na
AT4G29020,0.0824611085298289,AT4G29020,4,1,protein_coding,na
AT3G20420,0.0780889268463142,RTL2,3,-1,protein_coding,na
AT4G16880,0.0779425108162035,AT4G16880,4,-1,protein_coding,na
AT1G17610,0.0776206273178579,AT1G17610,1,1,protein_coding,na
AT2G42975,0.0761211131496786,AT2G42975,2,1,protein_coding,na
AT1G55910,0.0746158457764958,ZIP11,1,1,protein_coding,na
AT3G44310,0.0709794346280298,NIT1,3,1,protein_coding,na
AT2G29110,0.0685684354089579,ATGLR2.8,2,-1,protein_coding,na
AT3G01550,0.0678657503740426,ATPPT2,3,-1,protein_coding,na
AT2G24420,0.0657977921736302,AT2G24420,2,1,protein_coding,na
AT2G16430,0.0653129038811465,PAP10,2,-1,protein_coding,na
AT4G36105,0.064282277709486,AT4G36105,4,1,protein_coding,na
AT3G22231,0.0603617033322852,PCC1,3,-1,protein_coding,na
AT2G33600,0.0599275275331301,AT2G33600,2,1,protein_coding,na
AT1G34570,0.05612348687945,AT1G34570,1,-1,protein_coding,na
AT1G73650,0.0528171797914767,AT1G73650,1,-1,protein_coding,na
AT2G21320,0.0507358094015534,AT2G21320,2,1,transcription_factor,C2C2-CO-like
AT1G17050,0.0493775884740686,SPS2,1,1,protein_coding,na
AT1G12900,0.0490623802875688,GAPA-2,1,-1,protein_coding,na
AT2G04032,0.0489753951728265,ZIP7,2,1,protein_coding,na
AT1G34380,0.0456685412895802,AT1G34380,1,-1,protein_coding,na
AT1G67790,0.0454683952973818,AT1G67790,1,-1,protein_coding,na
AT1G75460,0.044197797673208,AT1G75460,1,1,protein_coding,na
AT2G46880,0.0436897647432572,ATPAP14,2,-1,protein_coding,na
AT4G09650,0.0434965471907917,ATPD,4,1,protein_coding,na
AT1G11790,0.0428933238551952,ADT1,1,1,protein_coding,na
AT1G78680,0.0422625993188585,GGH2,1,1,protein_coding,na
AT2G24940,0.0416230104199775,AtMAPR2,2,1,protein_coding,na
AT3G19400,0.0415015536661094,AT3G19400,3,1,protein_coding,na
AT4G04850,0.0411767968754447,KEA3,4,1,protein_coding,na
AT1G52780,0.040696201726132,AT1G52780,1,1,protein_coding,na
AT3G26230,0.0406180014384702,CYP71B24,3,-1,protein_coding,na
AT1G19250,0.0398365263122834,FMO1,1,-1,protein_coding,na
AT2G17695,0.0396500394613428,AT2G17695,2,-1,protein_coding,na
AT4G09731,0.0392819042992836,AT4G09731,4,1,protein_coding,na
AT1G75030,0.0391649709953777,ATLP-3,1,1,protein_coding,na
AT2G43570,0.0388685298974281,CHI,2,-1,protein_coding,na
AT1G21590,0.0387270276644872,AT1G21590,1,-1,protein_coding,na
AT4G21105,0.0367235926775373,AT4G21105,4,1,protein_coding,na
AT2G28430,0.0364809878921152,AT2G28430,2,-1,protein_coding,na
AT3G13410,0.0359476379095526,AT3G13410,3,-1,protein_coding,na
AT5G10250,0.0348331324457504,DOT3,5,-1,protein_coding,na
AT1G20260,0.0345679841683491,AT1G20260,1,1,protein_coding,na
AT2G15970,0.0337541049634826,COR413-PM1,2,1,protein_coding,na
AT1G45201,0.0323891899515381,ATTLL1,1,1,protein_coding,na
AT1G27060,0.0319824760070817,AT1G27060,1,1,protein_coding,na
AT5G25990,0.0315654228713128,AT5G25990,5,-1,protein_coding,na
AT3G09922,0.0310328019100018,IPS1,3,1,protein_coding,na
AT2G46430,0.0303772897300587,ATCNGC3,2,1,protein_coding,na
AT3G42570,0.0303184177405454,AT3G42570,3,1,protein_coding,na
AT1G15790,0.0300409599946474,AT1G15790,1,-1,protein_coding,na
AT2G42690,0.029392785312432,AT2G42690,2,-1,protein_coding,na
AT4G14910,0.0280241934315625,HISN5B,4,-1,protein_coding,na
AT1G66230,0.0279120099692467,MYB20,1,1,transcription_factor,MYB
AT2G14750,0.0275178140129836,APK,2,1,protein_coding,na
AT3G60440,0.0274824590198721,AT3G60440,3,1,protein_coding,na
AT2G03750,0.0263886639860073,AT2G03750,2,-1,protein_coding,na
AT2G46100,0.0261866377121138,AT2G46100,2,1,protein_coding,na
AT5G18080,0.0260720546111189,AT5G18080,5,1,protein_coding,na
AT2G34620,0.0255079336756167,AT2G34620,2,1,protein_coding,na
AT3G59970,0.0254349416325561,MTHFR1,3,1,protein_coding,na
AT5G11610,0.0252791964869847,AT5G11610,5,-1,protein_coding,na
AT1G53690,0.0251406267728901,AT1G53690,1,-1,protein_coding,na
AT3G24160,0.0250247038555327,PMP,3,1,protein_coding,na
AT3G44100,0.0250041300352407,AT3G44100,3,-1,protein_coding,na
AT3G50450,0.0246868392139888,HR1,3,1,protein_coding,na
AT2G41040,0.0239605186335518,AT2G41040,2,1,protein_coding,na
AT4G01915,0.0239190567776209,AT4G01915,4,1,protein_coding,na
AT3G62930,0.0237441834709868,AT3G62930,3,-1,protein_coding,na
AT3G26960,0.0234142317944877,AT3G26960,3,-1,protein_coding,na
AT4G10430,0.0234034337991834,AT4G10430,4,-1,protein_coding,na
AT3G03840,0.0232085492121298,AT3G03840,3,1,protein_coding,na
AT2G42940,0.0224906753696263,AT2G42940,2,-1,protein_coding,na
AT2G41090,0.0216988895593383,AT2G41090,2,1,protein_coding,na
AT3G46290,0.0209777174055694,HERK1,3,1,protein_coding,na
AT2G01680,0.0206502838361955,AT2G01680,2,1,protein_coding,na
AT2G17340,0.0205933777127676,AT2G17340,2,-1,protein_coding,na
AT2G33530,0.0200973751521694,scpl46,2,-1,protein_coding,na
AT3G23805,0.0200735957812181,RALFL24,3,1,protein_coding,na
AT3G26290,0.0191341277885922,CYP71B26,3,-1,protein_coding,na
AT2G32500,0.018736428194562,AT2G32500,2,-1,protein_coding,na
AT3G19340,0.0185855068133623,AT3G19340,3,-1,protein_coding,na
AT1G69460,0.0176310916793526,AT1G69460,1,-1,protein_coding,na
AT2G19940,0.0167375071980128,AT2G19940,2,1,protein_coding,na
