Ensembl.Gene.ID,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G12430,ARK3,1,-1,protein_coding,na
AT1G23860,RSZP21,1,-1,protein_coding,na
AT1G28330,DRM1,1,-1,protein_coding,na
AT1G30610,EMB88,1,1,protein_coding,na
AT1G31140,AGL63,1,1,transcription_factor,MADS
AT1G32490,ESP3,1,-1,protein_coding,na
AT1G35160,GF14PHI,1,1,protein_coding,na
AT1G43170,RP1,1,1,protein_coding,na
AT1G43620,TT15,1,-1,protein_coding,na
AT1G47870,E2FC,1,1,transcription_factor,E2F-DP
AT1G49190,ARR19,1,1,transcription_factor,ARR-B
AT1G50260,NTMC2T5.1,1,-1,protein_coding,na
AT1G52400,BGLU18,1,1,protein_coding,na
AT1G52500,FPG-1,1,1,protein_coding,na
AT1G54210,APG12,1,1,protein_coding,na
AT1G54360,TAF6B,1,1,protein_coding,na
AT1G55350,DEK1,1,-1,protein_coding,na
AT1G70700,JAZ9,1,1,protein_coding,na
AT1G76710,SDG26,1,-1,protein_coding,na
AT1G77000,SKP2B,1,1,protein_coding,na
AT1G79650,RAD23,1,-1,protein_coding,na
AT1G80660,HA9,1,-1,protein_coding,na
AT2G19480,NAP1;2,2,1,protein_coding,na
AT2G24430,ANAC038,2,-1,transcription_factor,NAC
AT2G29190,PUM2,2,-1,protein_coding,na
AT2G29390,SMO2-2,2,-1,protein_coding,na
AT2G29630,THIC,2,1,protein_coding,na
AT2G34150,WAVE1,2,-1,protein_coding,na
AT2G34780,MEE22,2,1,protein_coding,na
AT2G34900,GTE01,2,-1,protein_coding,na
AT2G38960,ERO2,2,1,protein_coding,na
AT2G40670,ARR16,2,1,protein_coding,na
AT2G42810,PP5,2,-1,protein_coding,na
AT2G47240,CER8,2,1,protein_coding,na
AT3G02540,RAD23C,3,-1,protein_coding,na
AT3G09910,RAB18C,3,-1,protein_coding,na
AT3G10490,ANAC052,3,1,transcription_factor,NAC
AT3G13790,BFRUCT1,3,-1,protein_coding,na
AT3G14590,NTMC2T6.2,3,-1,protein_coding,na
AT3G44735,PSK3,3,-1,protein_coding,na
AT3G44750,HDA3,3,1,transcription_factor,C2H2
AT3G46130,MYB48,3,1,transcription_factor,MYB
AT3G48870,CLPC,3,-1,protein_coding,na
AT3G50500,SNRK2.2,3,-1,protein_coding,na
AT3G51830,SAC8,3,1,protein_coding,na
AT3G52090,RPB13.6,3,-1,protein_coding,na
AT3G54280,RGD3,3,1,protein_coding,na
AT3G60330,HA7,3,1,protein_coding,na
AT3G61710,G6,3,-1,protein_coding,na
AT4G05000,VPS28-1,4,1,protein_coding,na
AT4G14140,DMT2,4,1,protein_coding,na
AT4G15200,FH3,4,-1,protein_coding,na
AT4G22970,RSW4,4,-1,protein_coding,na
AT4G23100,GSH1,4,-1,protein_coding,na
AT4G24470,ZIM,4,1,transcription_factor,C2C2-Gata
AT4G29210,GGT4,4,1,protein_coding,na
AT4G30190,AHA2,4,-1,protein_coding,na
AT4G31120,SKB1,4,-1,protein_coding,na
AT4G33650,DRP3A,4,1,protein_coding,na
AT4G35020,RAC3,4,1,protein_coding,na
AT4G39390,NST-KT1,4,1,protein_coding,na
AT5G02320,MYB3R5,5,-1,transcription_factor,MYB
AT5G08640,FLS1,5,1,protein_coding,na
AT5G09330,anac082,5,-1,transcription_factor,NAC
AT5G10470,KAC1,5,-1,protein_coding,na
AT5G24314,PTAC7,5,1,protein_coding,na
AT5G27450,MVK,5,1,protein_coding,na
AT5G39740,RPL5B,5,1,protein_coding,na
AT5G42080,DL1,5,-1,protein_coding,na
AT5G43370,PHT1;2,5,1,protein_coding,na
AT5G48820,ICK6,5,-1,protein_coding,na
AT5G48880,PKT2,5,-1,protein_coding,na
AT5G52040,RSP41,5,1,protein_coding,na
