GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT2G30660,0.999981976826571,AT2G30660,2,-1,protein_coding,na
AT3G60270,0.986238699660683,AT3G60270,3,-1,protein_coding,na
AT4G13420,0.963536585307425,HAK5,4,-1,protein_coding,na
AT1G08100,0.963367483019723,ATNRT2.2,1,-1,protein_coding,na
AT1G26250,0.954065292251617,AT1G26250,1,1,protein_coding,na
AT4G33710,0.932008030248839,AT4G33710,4,1,protein_coding,na
AT1G15540,0.91825634355239,AT1G15540,1,1,protein_coding,na
AT5G37450,0.816419109505589,AT5G37450,5,-1,protein_coding,na
AT4G32950,0.737171522505873,AT4G32950,4,-1,protein_coding,na
AT1G36622,0.614376122988378,AT1G36622,1,-1,protein_coding,na
AT1G56660,0.465649622645044,AT1G56660,1,1,protein_coding,na
AT1G35240,0.23049524896135,ARF20,1,-1,transcription_factor,ARF
AT3G24310,0.197885246147394,MYB305,3,-1,transcription_factor,MYB
AT1G77530,0.183909705106877,AT1G77530,1,1,protein_coding,na
AT1G73510,0.166133625243097,AT1G73510,1,-1,protein_coding,na
AT3G02100,0.145459408661005,AT3G02100,3,-1,protein_coding,na
AT4G14630,0.114572362680664,GLP9,4,1,protein_coding,na
AT5G40190,0.0965934513761761,AT5G40190,5,-1,protein_coding,na
AT4G08039,0.0893067569347021,AT4G08039,4,-1,protein_coding,na
AT3G12900,0.0802858221495139,AT3G12900,3,1,protein_coding,na
AT5G38910,0.0780327272763865,AT5G38910,5,1,protein_coding,na
AT5G24540,0.0488757861632196,BGLU31,5,-1,protein_coding,na
AT1G12950,0.0451687100797237,RSH2,1,1,protein_coding,na
AT1G35242,0.0408907906738263,AT1G35242,1,1,protein_coding,na
AT5G24920,0.0390384612419733,AtGDU5,5,1,protein_coding,na
AT2G15220,0.0388503804688144,AT2G15220,2,1,protein_coding,na
AT2G17660,0.0351935078521982,AT2G17660,2,1,protein_coding,na
AT1G76650,0.0328722835634739,CML38,1,-1,protein_coding,na
AT4G04990,0.0316870838199244,AT4G04990,4,1,protein_coding,na
AT3G53770,0.0298040011112633,AT3G53770,3,1,protein_coding,na
AT1G60830,0.025857416704046,AT1G60830,1,-1,protein_coding,na
