GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G01250,1,ERF023,1,-1,transcription_factor,AP2-EREBP
AT1G02230,1,NAC004,1,-1,transcription_factor,NAC
AT1G02250,1,NAC005,1,-1,transcription_factor,NAC
AT1G03800,1,ERF10,1,-1,transcription_factor,AP2-EREBP
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT1G06850,1,AtbZIP52,1,1,transcription_factor,bZIP
AT1G08010,1,GATA11,1,-1,transcription_factor,C2C2-Gata
AT1G08320,1,TGA9,1,-1,transcription_factor,bZIP
AT1G12260,1,NAC007,1,-1,transcription_factor,NAC
AT1G12630,1,ERF027,1,1,transcription_factor,AP2-EREBP
AT1G14687,1,ZHD14,1,1,transcription_factor,ZF-HD
AT1G16490,1,MYB58,1,-1,transcription_factor,MYB
AT1G18330,1,RVE7,1,-1,transcription_factor,MYB-related
AT1G19040,1,AT1G19040,1,1,protein_coding,na
AT1G19210,1,ERF017,1,-1,transcription_factor,AP2-EREBP
AT1G19850,1,ARF5,1,1,transcription_factor,ARF
AT1G27730,1,ZAT10,1,-1,transcription_factor,C2H2
AT1G28370,1,ERF11,1,-1,transcription_factor,AP2-EREBP
AT1G28470,1,NAC010,1,1,transcription_factor,NAC
AT1G29160,1,DOF1.5,1,-1,transcription_factor,C2C2-Dof
AT1G29280,1,WRKY65,1,1,transcription_factor,WRKY
AT1G29860,1,WRKY71,1,1,transcription_factor,WRKY
AT1G30490,1,ATHB-9,1,-1,transcription_factor,Homeobox
AT1G32150,1,BZIP68,1,1,transcription_factor,bZIP
AT1G32870,1,ANAC13,1,1,transcription_factor,NAC
AT1G33240,1,AT-GTL1,1,-1,transcription_factor,Trihelix
AT1G34180,1,anac016,1,1,transcription_factor,NAC
AT1G35460,1,BHLH80,1,1,transcription_factor,bHLH
AT1G36060,1,ERF055,1,-1,transcription_factor,AP2-EREBP
AT1G43700,1,VIP1,1,1,transcription_factor,bZIP
AT1G47655,1,DOF1.6,1,1,transcription_factor,C2C2-Dof
AT1G49010,1,AT1G49010,1,1,transcription_factor,MYB-related
AT1G49480,1,REM19,1,-1,transcription_factor,REM
AT1G51220,1,WIP5,1,-1,transcription_factor,C2H2
AT1G51700,1,DOF1.7,1,1,transcription_factor,C2C2-Dof
AT1G52150,1,ATHB-15,1,-1,transcription_factor,Homeobox
AT1G52880,1,NAC018,1,-1,transcription_factor,NAC
AT1G53170,1,ERF8,1,-1,transcription_factor,AP2-EREBP
AT1G53230,1,TCP3,1,-1,transcription_factor,TCP
AT1G53910,1,RAP2-12,1,1,transcription_factor,AP2-EREBP
AT1G54330,1,ANAC020,1,-1,transcription_factor,NAC
AT1G55110,1,IDD7,1,-1,transcription_factor,C2H2
AT1G59640,1,BPE,1,-1,transcription_factor,bHLH
AT1G63030,1,DREB1E,1,-1,transcription_factor,AP2-EREBP
AT1G64620,1,DOF1.8,1,1,transcription_factor,C2C2-Dof
AT1G65910,1,anac028,1,-1,transcription_factor,NAC
AT1G68550,1,ERF118,1,-1,transcription_factor,AP2-EREBP
AT1G69180,1,CRC,1,-1,transcription_factor,C2C2-YABBY
AT1G69690,1,TCP15,1,1,transcription_factor,TCP
AT1G70920,1,ATHB-X,1,1,transcription_factor,Homeobox
AT1G74480,1,RKD2,1,-1,transcription_factor,AtRKD
AT1G74650,1,ATY13,1,1,transcription_factor,MYB
AT1G74840,1,AT1G74840,1,-1,transcription_factor,MYB-related
AT1G75080,1,BZR1,1,1,transcription_factor,BZR
AT1G76420,1,NAC031,1,-1,transcription_factor,NAC
AT1G76880,1,AT1G76880,1,1,transcription_factor,Trihelix
AT1G76890,1,GT-2,1,-1,transcription_factor,Trihelix
AT1G77200,1,ERF037,1,-1,transcription_factor,AP2-EREBP
AT1G78700,1,BEH4,1,1,transcription_factor,BZR
AT1G80840,1,WRKY40,1,1,transcription_factor,WRKY
AT2G01930,1,BPC1,2,-1,transcription_factor,BBR/BPC
AT2G02450,1,NAC035,2,1,transcription_factor,NAC
AT2G03340,1,WRKY3,2,-1,transcription_factor,WRKY
AT2G04038,1,AtbZIP48,2,1,transcription_factor,bZIP
AT2G08986,1,AT2G08986,2,1,protein_coding,na
AT2G15740,1,AT2G15740,2,-1,transcription_factor,C2H2
AT2G18060,1,NAC037,2,-1,transcription_factor,NAC
AT2G18350,1,ZHD6,2,-1,transcription_factor,ZF-HD
AT2G18550,1,ATHB-21,2,-1,transcription_factor,Homeobox
AT2G20110,1,AT2G20110,2,1,transcription_factor,CPP
AT2G22430,1,ATHB-6,2,-1,transcription_factor,Homeobox
AT2G23290,1,AtMYB70,2,-1,transcription_factor,MYB
AT2G23320,1,WRKY15,2,1,transcription_factor,WRKY
AT2G24430,1,ANAC038,2,-1,transcription_factor,NAC
AT2G27300,1,NTL8,2,-1,transcription_factor,NAC
AT2G30250,1,WRKY25,2,-1,transcription_factor,WRKY
AT2G30590,1,WRKY21,2,1,transcription_factor,WRKY
AT2G31220,1,BHLH10,2,1,transcription_factor,bHLH
AT2G32460,1,MYB101,2,-1,transcription_factor,MYB
AT2G33710,1,AT2G33710,2,-1,transcription_factor,AP2-EREBP
AT2G35530,1,BZIP16,2,-1,transcription_factor,bZIP
AT2G35700,1,ERF038,2,1,transcription_factor,AP2-EREBP
AT2G36270,1,ABI5,2,-1,transcription_factor,bZIP
AT2G37590,1,DOF2.4,2,1,transcription_factor,C2C2-Dof
AT2G38340,1,DREB2E,2,-1,transcription_factor,AP2-EREBP
AT2G40260,1,AT2G40260,2,-1,transcription_factor,G2-like
AT2G40620,1,BZIP18,2,-1,transcription_factor,bZIP
AT2G40740,1,WRKY55,2,1,transcription_factor,WRKY
AT2G42200,1,SPL9,2,1,transcription_factor,SBP
AT2G42430,1,LBD16,2,1,protein_coding,na
AT2G43000,1,JUB1,2,-1,transcription_factor,NAC
AT2G45420,1,LBD18,2,1,protein_coding,na
AT2G46270,1,GBF3,2,1,transcription_factor,bZIP
AT2G46590,1,DOF2.5,2,1,transcription_factor,C2C2-Dof
AT2G47070,1,SPL1,2,1,transcription_factor,SBP
AT3G01970,1,WRKY45,3,-1,transcription_factor,WRKY
AT3G02940,1,MYB107,3,1,transcription_factor,MYB
AT3G04060,1,anac046,3,-1,transcription_factor,NAC
AT3G04070,1,NAC047,3,-1,transcription_factor,NAC
AT3G06490,1,MYB108,3,1,transcription_factor,MYB
AT3G09600,1,RVE8,3,1,transcription_factor,MYB-related
AT3G10030,1,AT3G10030,3,-1,protein_coding,na
AT3G10500,1,NAC053,3,1,transcription_factor,NAC
AT3G10800,1,BZIP28,3,1,transcription_factor,bZIP
AT3G12720,1,ATY53,3,-1,transcription_factor,MYB
AT3G14180,1,ASIL2,3,-1,transcription_factor,Trihelix
AT3G15210,1,ERF4,3,1,transcription_factor,AP2-EREBP
AT3G15270,1,SPL5,3,-1,transcription_factor,SBP
AT3G15500,1,NAC055,3,1,transcription_factor,NAC
AT3G20310,1,ERF7,3,-1,transcription_factor,AP2-EREBP
AT3G20770,1,EIN3,3,-1,transcription_factor,EIL
AT3G21890,1,MIP1B,3,-1,transcription_factor,C2C2-CO-like
AT3G22830,1,HSFA6B,3,1,transcription_factor,HSF
AT3G24050,1,GATA1,3,1,transcription_factor,C2C2-Gata
AT3G24120,1,AT3G24120,3,-1,transcription_factor,G2-like
AT3G24520,1,HSFC1,3,1,transcription_factor,HSF
AT3G27010,1,TCP20,3,-1,transcription_factor,TCP
AT3G46590,1,TRP2,3,1,transcription_factor,MYB-related
AT3G47500,1,CDF3,3,-1,transcription_factor,C2C2-Dof
AT3G49530,1,NAC062,3,-1,transcription_factor,NAC
AT3G50060,1,MYB77,3,-1,transcription_factor,MYB
AT3G50260,1,ERF011,3,1,transcription_factor,AP2-EREBP
AT3G52440,1,AT3G52440,3,1,transcription_factor,C2C2-Dof
AT3G55370,1,OBP3,3,1,transcription_factor,C2C2-Dof
AT3G56400,1,WRKY70,3,-1,transcription_factor,WRKY
AT3G61150,1,HDG1,3,1,transcription_factor,Homeobox
AT3G62420,1,BZIP53,3,-1,transcription_factor,bZIP
AT4G01250,1,WRKY22,4,-1,transcription_factor,WRKY
AT4G01550,1,NAC69,4,-1,protein_coding,na
AT4G10350,1,BRN2,4,-1,transcription_factor,NAC
AT4G11660,1,HSFB2B,4,1,transcription_factor,HSF
AT4G15090,1,FAR1,4,1,protein_coding,na
AT4G16150,1,AT4G16150,4,1,transcription_factor,CAMTA
AT4G16750,1,ERF039,4,-1,transcription_factor,AP2-EREBP
AT4G18170,1,WRKY28,4,1,transcription_factor,WRKY
AT4G18450,1,ERF091,4,-1,transcription_factor,AP2-EREBP
AT4G18770,1,MYB98,4,1,transcription_factor,MYB
AT4G18880,1,HSFA4A,4,-1,transcription_factor,HSF
AT4G18890,1,BEH3,4,1,transcription_factor,BZR
AT4G20220,1,AT4G20220,4,1,protein_coding,na
AT4G21030,1,DOF4.2,4,1,transcription_factor,C2C2-Dof
AT4G24020,1,NLP7,4,1,transcription_factor,NLP
AT4G25480,1,DREB1A,4,-1,transcription_factor,AP2-EREBP
AT4G25490,1,DREB1B,4,-1,transcription_factor,AP2-EREBP
AT4G28500,1,NAC073,4,1,transcription_factor,NAC
AT4G29230,1,anac075,4,1,protein_coding,na
AT4G31800,1,WRKY18,4,1,transcription_factor,WRKY
AT4G32730,1,PC-MYB1,4,1,transcription_factor,MYB
AT4G34410,1,ERF109,4,1,transcription_factor,AP2-EREBP
AT4G34590,1,BZIP11,4,1,transcription_factor,bZIP
AT4G36780,1,BEH2,4,-1,transcription_factor,BZR
AT4G37260,1,MYB73,4,1,transcription_factor,MYB
AT4G38170,1,FRS9,4,1,protein_coding,na
AT5G01380,1,GT-3A,5,-1,transcription_factor,Trihelix
AT5G03150,1,JKD,5,1,transcription_factor,C2H2
AT5G03790,1,ATHB-51,5,1,transcription_factor,Homeobox
AT5G05790,1,AT5G05790,5,-1,transcription_factor,MYB-related
AT5G06100,1,MYB33,5,1,transcription_factor,MYB
AT5G06839,1,TGA10,5,1,protein_coding,na
AT5G08130,1,BIM1,5,-1,transcription_factor,bHLH
AT5G08520,1,SRM1,5,-1,transcription_factor,MYB-related
AT5G08750,1,AT5G08750,5,1,transcription_factor,C3H
AT5G10030,1,TGA4,5,-1,transcription_factor,bZIP
AT5G10510,1,AIL6,5,1,transcription_factor,AP2-EREBP
AT5G11510,1,MYB3R4,5,1,transcription_factor,MYB
AT5G13910,1,LEP,5,-1,transcription_factor,AP2-EREBP
AT5G14960,1,E2FD,5,1,transcription_factor,E2F-DP
AT5G15830,1,AtbZIP3,5,1,transcription_factor,bZIP
AT5G17800,1,MYB56,5,1,transcription_factor,MYB
AT5G22740,1,CSLA2,5,-1,protein_coding,na
AT5G22990,1,AT5G22990,5,-1,transcription_factor,C2H2
