GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT4G29200,0.999981976032652,AT4G29200,4,-1,protein_coding,na
AT2G26370,0.999939885465423,AT2G26370,2,1,protein_coding,na
AT3G62090,0.999821005347612,PIL2,3,-1,transcription_factor,bHLH
AT4G12545,0.999807626273043,AT4G12545,4,1,protein_coding,na
AT3G50000,0.999788647855494,CKA2,3,1,protein_coding,na
AT1G52110,0.999719454608347,AT1G52110,1,-1,protein_coding,na
AT1G45015,0.998914029628812,AT1G45015,1,1,protein_coding,na
AT5G15230,0.998877979093491,GASA4,5,1,protein_coding,na
AT2G28860,0.998645867836818,CYP710A4,2,-1,protein_coding,na
AT1G21050,0.997913010157904,AT1G21050,1,1,protein_coding,na
AT3G16190,0.997810312618619,AT3G16190,3,-1,protein_coding,na
AT2G42010,0.997802479995804,PLDBETA1,2,-1,protein_coding,na
AT5G19860,0.997777438330217,AT5G19860,5,-1,protein_coding,na
AT1G31812,0.997713766239655,ACBP6,1,-1,protein_coding,na
AT5G28050,0.99754514145455,AT5G28050,5,-1,protein_coding,na
AT5G06370,0.997392748777105,AT5G06370,5,-1,protein_coding,na
AT1G60960,0.997272865718218,IRT3,1,-1,protein_coding,na
AT2G46800,0.997040088534,ZAT,2,1,protein_coding,na
AT5G05710,0.9963851261475,AT5G05710,5,1,protein_coding,na
AT3G60070,0.99544997735073,AT3G60070,3,-1,protein_coding,na
AT5G26740,0.994623648594035,AT5G26740,5,1,protein_coding,na
AT1G28580,0.994410873591057,AT1G28580,1,-1,protein_coding,na
AT5G03890,0.994350069882282,AT5G03890,5,1,protein_coding,na
AT1G49660,0.993646510955922,AtCXE5,1,-1,protein_coding,na
AT5G22500,0.993433976696143,FAR1,5,1,protein_coding,na
AT1G34630,0.993431792419006,AT1G34630,1,1,protein_coding,na
AT3G23860,0.993205519469306,AT3G23860,3,-1,protein_coding,na
AT1G15350,0.992983122675868,AT1G15350,1,-1,protein_coding,na
AT3G50660,0.99255713402002,DWF4,3,-1,protein_coding,na
AT2G28840,0.992552785578241,XBAT31,2,1,protein_coding,na
AT4G33120,0.992382025262771,AT4G33120,4,-1,protein_coding,na
AT5G23840,0.992375391953296,AT5G23840,5,1,protein_coding,na
AT4G16330,0.991986445817349,AT4G16330,4,-1,protein_coding,na
AT4G11610,0.991469889474311,AT4G11610,4,-1,protein_coding,na
AT4G11393,0.991325123200705,AT4G11393,4,1,protein_coding,na
AT4G24340,0.99113103262714,AT4G24340,4,1,protein_coding,na
AT1G19396,0.991117062990811,AT1G19396,1,1,protein_coding,na
AT1G69526,0.991091422242533,AT1G69526,1,1,protein_coding,na
AT3G62860,0.990983370833569,AT3G62860,3,-1,protein_coding,na
AT4G23510,0.990468753009651,AT4G23510,4,-1,protein_coding,na
AT1G01450,0.99017035265138,AT1G01450,1,-1,protein_coding,na
AT5G04520,0.990134787464836,AT5G04520,5,-1,protein_coding,na
AT3G62290,0.99007980205833,ARFA1E,3,1,protein_coding,na
