GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT5G20790,0.999981978414687,AT5G20790,5,-1,protein_coding,na
AT3G09922,0.892678916113627,IPS1,3,1,protein_coding,na
AT4G14230,0.76148531876046,AT4G14230,4,-1,protein_coding,na
AT5G26720,0.712786573305591,AT5G26720,5,1,protein_coding,na
AT3G27820,0.662406432294318,ATMDAR4,3,1,protein_coding,na
AT2G46880,0.619633038866988,ATPAP14,2,-1,protein_coding,na
AT1G64850,0.531058431032142,AT1G64850,1,-1,protein_coding,na
AT1G22750,0.328868530627298,AT1G22750,1,1,protein_coding,na
AT4G03600,0.272541529518711,AT4G03600,4,-1,protein_coding,na
AT3G02040,0.109447713297459,SRG3,3,-1,protein_coding,na
AT2G16510,0.0937827515016897,AT2G16510,2,-1,protein_coding,na
AT3G46290,0.0871241374269642,HERK1,3,1,protein_coding,na
AT4G29120,0.0772368667245187,AT4G29120,4,1,protein_coding,na
AT3G19340,0.0675077703563596,AT3G19340,3,-1,protein_coding,na
AT1G68238,0.0665244807814303,AT1G68238,1,1,protein_coding,na
AT3G25240,0.0641340582580715,AT3G25240,3,1,protein_coding,na
AT2G31360,0.0516244810526394,ADS2,2,-1,protein_coding,na
AT2G28720,0.0492075920301503,AT2G28720,2,1,protein_coding,na
AT5G16940,0.0461116254932522,AT5G16940,5,-1,protein_coding,na
AT1G22070,0.0332923968409523,TGA3,1,1,transcription_factor,bZIP
AT1G66900,0.0308516947911136,AT1G66900,1,1,protein_coding,na
AT2G24420,0.0281146164330387,AT2G24420,2,1,protein_coding,na
AT5G07910,0.0272986722066763,AT5G07910,5,-1,protein_coding,na
AT2G48000,0.0257348027048385,AT2G48000,2,-1,protein_coding,na
AT3G19400,0.0250770480096151,AT3G19400,3,1,protein_coding,na
AT2G32390,0.0228079636696461,GLR3.5,2,-1,protein_coding,na
AT1G78680,0.0208233174037565,GGH2,1,1,protein_coding,na
AT4G01550,0.0202582961497653,anac069,4,-1,protein_coding,na
AT5G39450,0.0180133847951911,AT5G39450,5,1,protein_coding,na
AT3G07800,0.0172814860911205,AT3G07800,3,-1,protein_coding,na
AT2G25610,0.0157134258189424,AT2G25610,2,-1,protein_coding,na
AT4G18530,0.0149165308548434,AT4G18530,4,1,protein_coding,na
AT5G25140,0.0147491820438262,CYP71B13,5,1,protein_coding,na
AT1G33970,0.0131789474176784,AT1G33970,1,-1,protein_coding,na
AT1G20260,0.0130017795306489,AT1G20260,1,1,protein_coding,na
AT2G14750,0.0122294093257475,APK,2,1,protein_coding,na
AT1G23110,0.0118306609717293,AT1G23110,1,-1,protein_coding,na
AT3G01990,0.0113033446961163,ACR6,3,1,protein_coding,na
AT3G18060,0.0106472088170418,AT3G18060,3,1,protein_coding,na
AT3G16990,0.0105731675528306,AT3G16990,3,-1,protein_coding,na
AT2G21880,0.0102952050084232,ATRAB7A,2,-1,protein_coding,na
AT5G35460,0.0100943081647038,AT5G35460,5,1,protein_coding,na
AT1G64890,0.0100275059148194,AT1G64890,1,1,protein_coding,na
AT5G02620,0.0100215658835671,ANK1,5,1,protein_coding,na
AT1G21590,0.00953256852629115,AT1G21590,1,-1,protein_coding,na
AT2G38610,0.00929300251605492,AT2G38610,2,-1,protein_coding,na
AT2G07280,0.00916140031488952,AT2G07280,2,1,protein_coding,na
AT3G22425,0.00903473835813072,IGPD,3,1,protein_coding,na
AT3G57730,0.00900234201973164,AT3G57730,3,-1,protein_coding,na
AT1G74750,0.00888235123417844,AT1G74750,1,1,protein_coding,na
AT1G73670,0.00872844505741038,ATMPK15,1,1,protein_coding,na
AT3G13410,0.00872533621524512,AT3G13410,3,-1,protein_coding,na
AT2G04350,0.00851653897818647,LACS8,2,1,protein_coding,na
AT5G15050,0.00849514288417324,AT5G15050,5,-1,protein_coding,na
AT4G08455,0.00841569481224238,AT4G08455,4,1,protein_coding,na
AT3G59520,0.00831543270698234,ATRBL13,3,1,protein_coding,na
AT1G52780,0.00811026917476848,AT1G52780,1,1,protein_coding,na
AT3G11900,0.00754924464181776,ANT1,3,1,protein_coding,na
AT5G10930,0.00751387128362229,CIPK5,5,-1,protein_coding,na
AT1G58520,0.00746757373378268,RXW8,1,1,protein_coding,na
AT4G20220,0.00740411207943048,AT4G20220,4,1,protein_coding,na
AT4G13550,0.00734424380567665,AT4G13550,4,-1,protein_coding,na
AT2G31870,0.00731910022894963,TEJ,2,-1,protein_coding,na
AT2G43445,0.00730777589486617,AT2G43445,2,1,protein_coding,na
AT1G12240,0.00718410281471196,ATBETAFRUCT4,1,1,protein_coding,na
AT3G26290,0.00711584242898694,CYP71B26,3,-1,protein_coding,na
AT4G21192,0.00709400826951217,AT4G21192,4,1,protein_coding,na
AT5G10605,0.00708397586840463,AT5G10605,5,-1,protein_coding,na
AT1G48540,0.0069643583549213,AT1G48540,1,1,protein_coding,na
AT5G08320,0.00683253447345572,AT5G08320,5,1,protein_coding,na
AT5G03545,0.00663899376455832,AT4,5,1,protein_coding,na
AT2G17820,0.00652206479661926,ATHK1,2,-1,protein_coding,na
AT1G71710,0.00650932493845239,AT1G71710,1,-1,protein_coding,na
AT1G74700,0.00623887470891457,NUZ,1,1,protein_coding,na
AT3G56080,0.0060152305731833,AT3G56080,3,-1,protein_coding,na
AT4G15920,0.00574670421596303,SWEET17,4,-1,protein_coding,na
AT3G11850,0.00572683823083887,AT3G11850,3,-1,protein_coding,na
AT5G04220,0.00560129088072008,SYTC,5,-1,protein_coding,na
AT5G43140,0.00557707430362459,AT5G43140,5,1,protein_coding,na
AT4G37470,0.00555206410195665,AT4G37470,4,-1,protein_coding,na
AT1G62430,0.00554224210618204,ATCDS1,1,-1,protein_coding,na
AT3G46010,0.00549748038427189,ADF1,3,-1,protein_coding,na
AT3G57062,0.00530571727277396,AT3G57062,3,1,protein_coding,na
AT1G65540,0.00524158879189921,AT1G65540,1,-1,protein_coding,na
AT2G16870,0.00520744049589488,AT2G16870,2,-1,protein_coding,na
AT5G24980,0.00516732468195025,AT5G24980,5,1,protein_coding,na
AT2G25290,0.00511407545727979,Phox1,2,-1,protein_coding,na
AT4G29020,0.00506012810600821,AT4G29020,4,1,protein_coding,na
AT1G75370,0.00505724957641593,AT1G75370,1,-1,protein_coding,na
AT4G21215,0.00504894198568819,AT4G21215,4,-1,protein_coding,na
AT2G41040,0.00489002553099069,AT2G41040,2,1,protein_coding,na
AT2G42390,0.0048645304100937,AT2G42390,2,-1,protein_coding,na
AT4G17570,0.00483436910554333,GATA26,4,-1,transcription_factor,C2C2-Gata
AT1G01500,0.00483398146806128,AT1G01500,1,1,protein_coding,na
AT5G07120,0.00480206874035732,SNX2b,5,-1,protein_coding,na
AT1G78600,0.00467477000788339,LZF1,1,1,transcription_factor,C2C2-CO-like
AT1G42540,0.00460982539065985,ATGLR3.3,1,1,protein_coding,na
AT2G30575,0.00460208241206501,GAUT5,2,-1,protein_coding,na
AT1G73440,0.00455789949580428,AT1G73440,1,1,protein_coding,na
AT2G46340,0.00450555113942458,SPA1,2,-1,protein_coding,na
AT5G12430,0.00447072938588059,TPR16,5,-1,protein_coding,na
AT1G75410,0.0044048445679292,BLH3,1,-1,transcription_factor,Homeobox
AT1G13930,0.00435027943578398,AT1G13930,1,1,protein_coding,na
AT1G02270,0.00431168768937151,AT1G02270,1,-1,protein_coding,na
AT5G09450,0.00430473196510704,AT5G09450,5,1,protein_coding,na
AT1G66050,0.00426117132419629,VIM2,1,1,protein_coding,na
AT3G16660,0.00425664474772286,AT3G16660,3,1,protein_coding,na
AT5G10610,0.00421702247253396,CYP81K1,5,1,protein_coding,na
AT1G26690,0.00416483960441567,AT1G26690,1,-1,protein_coding,na
AT2G45060,0.00416480598296315,AT2G45060,2,-1,protein_coding,na
AT3G16010,0.00407916656986052,AT3G16010,3,1,protein_coding,na
AT5G03080,0.00404981673716049,AT5G03080,5,1,protein_coding,na
AT5G11610,0.00404489887529695,AT5G11610,5,-1,protein_coding,na
AT2G01680,0.00403576057689201,AT2G01680,2,1,protein_coding,na
AT1G10470,0.00402038900966125,ARR4,1,-1,protein_coding,na
AT1G52340,0.00393209823161521,ABA2,1,-1,protein_coding,na
AT4G32600,0.00391819162887057,AT4G32600,4,1,protein_coding,na
AT2G30460,0.00378199751968449,AT2G30460,2,-1,protein_coding,na
AT1G24577,0.00373022026053374,AT1G24577,1,-1,protein_coding,na
AT1G68910,0.00371140065712765,WIT2,1,-1,protein_coding,na
AT2G33600,0.00369796207370784,AT2G33600,2,1,protein_coding,na
AT2G24940,0.00366103102407224,AtMAPR2,2,1,protein_coding,na
AT3G09085,0.00364855916389202,AT3G09085,3,1,protein_coding,na
AT1G69460,0.0035954907728647,AT1G69460,1,-1,protein_coding,na
AT2G35650,0.0035852621639397,ATCSLA07,2,1,protein_coding,na
AT2G01350,0.00356001624213616,QPT,2,-1,protein_coding,na
AT3G14270,0.00355828384978504,FAB1B,3,1,protein_coding,na
AT1G27060,0.00354271190834068,AT1G27060,1,1,protein_coding,na
AT1G80510,0.00350162251058524,AT1G80510,1,1,protein_coding,na
AT3G27540,0.00349643951647164,AT3G27540,3,1,protein_coding,na
AT1G30810,0.00346090493779805,AT1G30810,1,-1,transcription_factor,JUMONJI
AT4G27840,0.00344118615315505,AT4G27840,4,-1,protein_coding,na
AT3G15750,0.00339417598201836,AT3G15750,3,1,protein_coding,na
AT5G22400,0.00334175380404981,AT5G22400,5,-1,protein_coding,na
AT4G01040,0.00331709169839232,AT4G01040,4,1,protein_coding,na
AT3G49950,0.00330765811408241,AT3G49950,3,1,transcription_factor,GRAS
AT3G54460,0.00328951759845338,AT3G54460,3,-1,protein_coding,na
AT1G67890,0.00326958071096951,AT1G67890,1,1,protein_coding,na
AT2G25450,0.00326645130506092,AT2G25450,2,-1,protein_coding,na
AT1G79540,0.00326375922805772,AT1G79540,1,-1,protein_coding,na
AT1G26130,0.0032429951429361,AT1G26130,1,1,protein_coding,na
AT3G29350,0.00322917956427212,AHP2,3,-1,protein_coding,na
AT3G24160,0.00322727441058041,PMP,3,1,protein_coding,na
AT1G21190,0.00322602250251195,AT1G21190,1,-1,protein_coding,na
AT4G26240,0.00322025626091806,AT4G26240,4,-1,protein_coding,na
AT3G20600,0.00318054779101842,NDR1,3,1,protein_coding,na
AT3G53830,0.00316815562307867,AT3G53830,3,1,protein_coding,na
AT1G30190,0.00316644498321405,AT1G30190,1,1,protein_coding,na
AT1G74410,0.00312451160225525,AT1G74410,1,1,transcription_factor,C3H
AT3G20790,0.00310493140111114,AT3G20790,3,1,protein_coding,na
AT4G20410,0.003104867086667,GSNAP,4,-1,protein_coding,na
AT5G27720,0.0030934531775653,emb1644,5,1,protein_coding,na
AT4G33530,0.00308573178864316,KUP5,4,-1,protein_coding,na
AT5G38940,0.00305727396896073,AT5G38940,5,1,protein_coding,na
AT1G28690,0.00303560342045034,AT1G28690,1,-1,protein_coding,na
AT1G70810,0.00301725288600853,AT1G70810,1,1,protein_coding,na
AT3G20362,0.00300426561250617,AT3G20362,3,1,protein_coding,na
AT2G38630,0.00300419615885735,AT2G38630,2,-1,protein_coding,na
AT5G40370,0.00297341950737919,AT5G40370,5,-1,protein_coding,na
AT5G10870,0.00295018446158659,ATCM2,5,-1,protein_coding,na
AT5G23750,0.00293120156729142,AT5G23750,5,-1,protein_coding,na
AT3G55320,0.00293028062921455,PGP20,3,-1,protein_coding,na
AT4G34470,0.00292886839965952,ASK12,4,-1,protein_coding,na
AT2G42940,0.00292358616436651,AT2G42940,2,-1,protein_coding,na
AT4G27710,0.00288671492836235,CYP709B3,4,1,protein_coding,na
AT3G52950,0.00287563822831063,AT3G52950,3,1,protein_coding,na
AT2G27770,0.00285685788758665,AT2G27770,2,-1,protein_coding,na
AT2G45660,0.00285513229713137,AGL20,2,-1,transcription_factor,MADS
AT1G13810,0.00284613391991202,AT1G13810,1,1,protein_coding,na
AT1G64580,0.00284489903982589,AT1G64580,1,-1,protein_coding,na
AT2G40840,0.00278153576917166,DPE2,2,1,protein_coding,na
AT4G18880,0.00276511873222983,AT-HSFA4A,4,-1,transcription_factor,HSF
AT5G37680,0.00273932168351055,ATARLA1A,5,-1,protein_coding,na
AT1G12140,0.00273251144783559,FMOGS-OX5,1,1,protein_coding,na
AT1G53330,0.0027002634350424,AT1G53330,1,1,protein_coding,na
AT4G00290,0.0026793487178557,AT4G00290,4,-1,protein_coding,na
AT1G17240,0.00267888608777185,AtRLP2,1,-1,protein_coding,na
AT1G13460,0.0026517508074158,AT1G13460,1,1,protein_coding,na
AT1G01670,0.00264810151417649,AT1G01670,1,-1,protein_coding,na
AT4G12010,0.00264574223468505,AT4G12010,4,-1,protein_coding,na
AT4G39820,0.00260756498163294,AT4G39820,4,-1,protein_coding,na
AT2G11520,0.00260181523295156,CRCK3,2,1,protein_coding,na
AT5G42040,0.0025938323211872,RPN12b,5,-1,protein_coding,na
AT2G23080,0.00256656057699766,AT2G23080,2,1,protein_coding,na
AT1G78590,0.00256024928788166,NADK3,1,1,protein_coding,na
AT5G13810,0.00254967756806876,AT5G13810,5,1,protein_coding,na
AT3G56800,0.00254214741440092,CAM3,3,-1,protein_coding,na
AT4G31450,0.00253371184508338,AT4G31450,4,-1,protein_coding,na
AT1G72500,0.00253244194167967,AT1G72500,1,-1,protein_coding,na
AT4G02370,0.00252583916108635,AT4G02370,4,1,protein_coding,na
AT5G35680,0.00250588698575798,AT5G35680,5,-1,protein_coding,na
AT3G44100,0.00249754452767934,AT3G44100,3,-1,protein_coding,na
AT3G10630,0.00249642706335472,AT3G10630,3,-1,protein_coding,na
AT1G75020,0.00248580785515964,LPAT4,1,1,protein_coding,na
AT3G28670,0.00247903223438639,AT3G28670,3,1,protein_coding,na
AT5G11810,0.002476511399477,AT5G11810,5,1,protein_coding,na
AT1G71910,0.00244102349176936,AT1G71910,1,1,protein_coding,na
AT2G28430,0.00243961450968635,AT2G28430,2,-1,protein_coding,na
AT5G32470,0.00243809820200087,AT5G32470,5,-1,protein_coding,na
AT3G01390,0.00242795823246235,VMA10,3,-1,protein_coding,na
AT4G04210,0.00239815617266921,PUX4,4,1,protein_coding,na
AT3G05270,0.00239530616226467,AT3G05270,3,-1,protein_coding,na
AT2G17220,0.00238504373075072,AT2G17220,2,-1,protein_coding,na
AT2G45130,0.00237288821173892,ATSPX3,2,1,protein_coding,na
AT4G10430,0.00236461830957472,AT4G10430,4,-1,protein_coding,na
AT3G53990,0.00235006458912082,AT3G53990,3,-1,protein_coding,na
AT2G21190,0.00234650637445345,AT2G21190,2,1,protein_coding,na
AT3G55140,0.00234432419669891,AT3G55140,3,1,protein_coding,na
AT1G70580,0.00231593602068989,AOAT2,1,1,protein_coding,na
AT4G36940,0.00230791296290424,NAPRT1,4,1,protein_coding,na
AT3G07080,0.00230013334074338,AT3G07080,3,1,protein_coding,na
AT1G30860,0.00229406527194414,AT1G30860,1,-1,protein_coding,na
AT1G53710,0.00228681339791303,AT1G53710,1,-1,protein_coding,na
AT3G49880,0.00227682058295024,AT3G49880,3,1,protein_coding,na
AT5G14920,0.00226045143979953,AT5G14920,5,1,protein_coding,na
AT3G12260,0.00224655745338882,AT3G12260,3,-1,protein_coding,na
AT2G38680,0.00224412104899795,AT2G38680,2,-1,protein_coding,na
AT1G08040,0.00223611574893505,AT1G08040,1,-1,protein_coding,na
AT4G01370,0.0022196054254285,ATMPK4,4,1,protein_coding,na
AT1G10900,0.00221310923708213,AT1G10900,1,-1,protein_coding,na
AT4G02120,0.00221182905520065,AT4G02120,4,1,protein_coding,na
AT1G67520,0.0022081003648601,AT1G67520,1,-1,protein_coding,na
AT1G12550,0.00220371913072518,AT1G12550,1,1,protein_coding,na
AT3G26430,0.0021989178210669,AT3G26430,3,1,protein_coding,na
AT1G01220,0.00219726208292486,FKGP,1,1,protein_coding,na
AT2G32950,0.00219553776139949,COP1,2,1,protein_coding,na
AT1G10280,0.00219247667495573,AT1G10280,1,-1,protein_coding,na
AT4G30480,0.00218397126635002,TPR1,4,1,protein_coding,na
AT1G64350,0.00218064650625024,SEH1H,1,1,protein_coding,na
AT1G13900,0.00215542997642594,AT1G13900,1,-1,protein_coding,na
AT4G29210,0.00214901037519056,GGT4,4,1,protein_coding,na
AT3G07525,0.00214563149827538,ATG10,3,-1,protein_coding,na
AT3G11840,0.00214464491086533,PUB24,3,-1,protein_coding,na
AT2G19130,0.00213751277114606,AT2G19130,2,1,protein_coding,na
AT5G43290,0.00212804263046184,WRKY49,5,-1,transcription_factor,WRKY
AT5G10810,0.00211813214368689,ATER,5,-1,protein_coding,na
AT2G20540,0.00209084174272782,MEF21,2,1,protein_coding,na
AT1G04690,0.00208909273225196,KAB1,1,1,protein_coding,na
AT4G21800,0.00207226604882704,QQT2,4,1,protein_coding,na
AT1G73030,0.00206745582097737,VPS46.2,1,1,protein_coding,na
AT4G36550,0.00203691339096505,AT4G36550,4,-1,protein_coding,na
AT4G30662,0.00203403791785142,AT4G30662,4,-1,protein_coding,na
AT1G64400,0.00203331388531642,LACS3,1,-1,protein_coding,na
AT5G43440,0.00203305793414765,AT5G43440,5,-1,protein_coding,na
AT1G49720,0.00202701019149801,ABF1,1,1,transcription_factor,bZIP
AT3G20480,0.00201444979027194,AT3G20480,3,-1,protein_coding,na
AT4G04850,0.00200950002216832,KEA3,4,1,protein_coding,na
AT4G00960,0.00200344737663168,AT4G00960,4,1,protein_coding,na
AT1G45160,0.00197564608810652,AT1G45160,1,-1,protein_coding,na
AT1G09220,0.0019577067847931,AT1G09220,1,-1,protein_coding,na
AT3G52880,0.0019518794058275,ATMDAR1,3,-1,protein_coding,na
AT4G39990,0.00195043478082289,ATRABA4B,4,1,protein_coding,na
AT2G29970,0.00194454024835889,AT2G29970,2,1,protein_coding,na
AT1G10920,0.0019426553508426,LOV1,1,-1,protein_coding,na
AT4G28630,0.00193958606147559,ATM1,4,-1,protein_coding,na
AT1G67970,0.0019195750398972,AT-HSFA8,1,-1,transcription_factor,HSF
AT3G26600,0.00191819994520188,ARO4,3,1,protein_coding,na
AT1G52530,0.00190682245540876,AT1G52530,1,1,protein_coding,na
AT4G02730,0.00189814553994298,AT4G02730,4,1,protein_coding,na
AT4G30993,0.00189407462315835,AT4G30993,4,1,protein_coding,na
AT5G24460,0.00189275410133335,AT5G24460,5,1,protein_coding,na
AT5G23320,0.00187808940618302,ATSTE14,5,1,protein_coding,na
AT1G43620,0.00187466958533525,TT15,1,-1,protein_coding,na
AT1G21010,0.001872710586602,AT1G21010,1,1,protein_coding,na
AT4G04200,0.00186670073409366,AT4G04200,4,1,protein_coding,na
AT3G23570,0.00186404804020458,AT3G23570,3,-1,protein_coding,na
AT1G04840,0.00186385357090181,AT1G04840,1,-1,protein_coding,na
AT3G13480,0.00186184086753036,AT3G13480,3,-1,protein_coding,na
AT3G17920,0.00185689536864175,AT3G17920,3,1,protein_coding,na
AT1G22050,0.00185055043184584,MUB6,1,1,protein_coding,na
AT1G65420,0.00185020510782339,NPQ7,1,-1,protein_coding,na
AT3G29760,0.00184646609228874,AT3G29760,3,-1,protein_coding,na
AT1G72170,0.00184508202148234,AT1G72170,1,1,protein_coding,na
AT4G11330,0.00184314646507958,ATMPK5,4,1,protein_coding,na
AT4G30110,0.00184251633860647,HMA2,4,-1,protein_coding,na
AT1G43860,0.00183879385142923,AT1G43860,1,-1,transcription_factor,C2H2
AT1G12990,0.00183503341106889,AT1G12990,1,1,protein_coding,na
AT5G16870,0.00183447253729741,AT5G16870,5,-1,protein_coding,na
AT3G51960,0.00183209433411877,ATBZIP24,3,-1,transcription_factor,bZIP
AT4G21180,0.00182901117280733,ATERDJ2B,4,1,protein_coding,na
AT1G73650,0.00182554683753653,AT1G73650,1,-1,protein_coding,na
AT4G39080,0.0018249687028375,VHA-A3,4,1,protein_coding,na
AT4G39940,0.00182186251002166,AKN2,4,1,protein_coding,na
AT5G40890,0.00181830188676063,ATCLC-A,5,-1,protein_coding,na
AT4G14790,0.00181679390280105,ATSUV3,4,-1,protein_coding,na
AT3G22120,0.00181443969612523,CWLP,3,-1,protein_coding,na
AT1G28510,0.00181385309751338,AT1G28510,1,1,protein_coding,na
AT3G48100,0.00181195808994286,ARR5,3,-1,transcription_factor,ARR-B
AT2G02360,0.00181072308029854,AtPP2-B10,2,-1,protein_coding,na
AT1G69380,0.00180189688282634,AT1G69380,1,-1,protein_coding,na
AT3G56440,0.0017954802574785,ATATG18D,3,1,protein_coding,na
AT1G74640,0.00178907515026317,AT1G74640,1,1,protein_coding,na
AT1G14290,0.00178107901745082,SBH2,1,-1,protein_coding,na
AT3G06310,0.00177976343663325,AT3G06310,3,-1,protein_coding,na
AT5G18370,0.00177398111616888,AT5G18370,5,-1,protein_coding,na
AT2G43850,0.00177364255898308,AT2G43850,2,-1,protein_coding,na
AT4G33625,0.0017733103914261,AT4G33625,4,-1,protein_coding,na
AT1G77740,0.00177255731401088,PIP5K2,1,1,protein_coding,na
AT2G10950,0.00176414746789393,AT2G10950,2,-1,protein_coding,na
AT1G03930,0.00176379649142875,ADK1,1,1,protein_coding,na
AT4G16950,0.00176373914861859,RPP5,4,-1,protein_coding,na
AT3G57030,0.00175581672224246,AT3G57030,3,-1,protein_coding,na
AT1G11790,0.00175365152806608,ADT1,1,1,protein_coding,na
