GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT3G57520,0.999982028920221,AtSIP2,3,-1,protein_coding,na
AT1G77680,0.999930600220484,AT1G77680,1,-1,protein_coding,na
AT2G34810,0.999893371845183,AT2G34810,2,1,protein_coding,na
AT2G33380,0.999734089457349,RD20,2,-1,protein_coding,na
AT4G35550,0.999241315431591,HB-4,4,-1,transcription_factor,Homeobox
AT1G69870,0.999047730513159,NRT1.7,1,1,protein_coding,na
AT1G21550,0.998917710005761,AT1G21550,1,-1,protein_coding,na
AT1G28050,0.997780096704953,AT1G28050,1,-1,transcription_factor,C2C2-CO-like
AT3G11410,0.995931756274549,ATPP2CA,3,-1,protein_coding,na
AT5G20900,0.995510510811736,JAZ12,5,1,protein_coding,na
AT3G10410,0.994863674376813,SCPL49,3,-1,protein_coding,na
AT3G42800,0.994837719750224,AT3G42800,3,1,protein_coding,na
AT1G80120,0.994066469315788,AT1G80120,1,1,protein_coding,na
AT5G27930,0.991042526141283,AT5G27930,5,-1,protein_coding,na
AT2G25610,0.99018895875033,AT2G25610,2,-1,protein_coding,na
AT3G58570,0.9889083618233,AT3G58570,3,1,protein_coding,na
AT4G15450,0.988158979038464,AT4G15450,4,1,protein_coding,na
AT5G01850,0.987928010008946,AT5G01850,5,1,protein_coding,na
AT1G72120,0.986640254599675,AT1G72120,1,1,protein_coding,na
AT5G20790,0.98608894378494,AT5G20790,5,-1,protein_coding,na
AT3G53960,0.983575903292882,AT3G53960,3,-1,protein_coding,na
AT2G39770,0.970828758194392,CYT1,2,1,protein_coding,na
AT3G05640,0.964635919057313,AT3G05640,3,-1,protein_coding,na
AT5G24080,0.962782602662256,AT5G24080,5,-1,protein_coding,na
AT3G47060,0.960894196055203,ftsh7,3,1,protein_coding,na
AT5G20950,0.958108069531393,AT5G20950,5,-1,protein_coding,na
AT3G55970,0.956927294906865,ATJRG21,3,-1,protein_coding,na
AT4G05050,0.95615024458606,UBQ11,4,-1,protein_coding,na
AT3G02150,0.955889592901646,PTF1,3,1,transcription_factor,TCP
AT4G00430,0.953071403164787,TMP-C,4,-1,protein_coding,na
AT5G20280,0.935029698663191,ATSPS1F,5,-1,protein_coding,na
AT5G06870,0.931432584098668,PGIP2,5,1,protein_coding,na
AT2G30720,0.929549457227662,AT2G30720,2,-1,protein_coding,na
AT2G43020,0.909144302946271,ATPAO2,2,1,protein_coding,na
AT1G54270,0.906065861000204,EIF4A-2,1,1,protein_coding,na
AT3G26600,0.901714547423221,ARO4,3,1,protein_coding,na
AT2G39270,0.898893512284999,AT2G39270,2,1,protein_coding,na
AT4G37990,0.835767500216669,ELI3-2,4,1,protein_coding,na
AT3G09390,0.821651966009983,MT2A,3,-1,protein_coding,na
AT4G33905,0.813056092750746,AT4G33905,4,-1,protein_coding,na
AT3G59050,0.777916638560722,ATPAO3,3,-1,protein_coding,na
AT1G32740,0.777373738162888,AT1G32740,1,1,protein_coding,na
AT4G29570,0.771761973868513,AT4G29570,4,1,protein_coding,na
AT4G21930,0.736180221605121,AT4G21930,4,1,protein_coding,na
AT3G53232,0.735913222150579,RTFL1,3,-1,protein_coding,na
AT3G51430,0.732400605909413,YLS2,3,1,protein_coding,na
AT4G08240,0.728543252267851,AT4G08240,4,1,protein_coding,na
AT4G17830,0.719885566847879,AT4G17830,4,1,protein_coding,na
AT4G34920,0.694900676076989,AT4G34920,4,1,protein_coding,na
AT3G07730,0.688304360623468,AT3G07730,3,1,protein_coding,na
AT1G69610,0.684729756791877,AT1G69610,1,1,protein_coding,na
AT3G54826,0.677876496912637,AT3G54826,3,1,protein_coding,na
AT1G04690,0.6698226548109,KAB1,1,1,protein_coding,na
AT1G71840,0.665344290705687,AT1G71840,1,1,protein_coding,na
AT1G80110,0.616226598769665,ATPP2-B11,1,1,protein_coding,na
AT1G17550,0.596352625013113,HAB2,1,1,protein_coding,na
AT2G40200,0.56558667583176,AT2G40200,2,1,transcription_factor,bHLH
AT2G21185,0.565108486913151,AT2G21185,2,-1,protein_coding,na
AT2G37180,0.563700942680801,RD28,2,1,protein_coding,na
AT1G76390,0.524770471278044,AT1G76390,1,1,protein_coding,na
AT2G47800,0.518580461681509,ATMRP4,2,1,protein_coding,na
AT1G23220,0.516135912176761,AT1G23220,1,1,protein_coding,na
AT3G54440,0.507281999966243,AT3G54440,3,-1,protein_coding,na
AT4G37680,0.506357756133078,HHP4,4,1,protein_coding,na
AT3G63050,0.500297211496412,AT3G63050,3,-1,protein_coding,na
AT4G33700,0.499252031294851,AT4G33700,4,-1,protein_coding,na
AT4G03420,0.491836881602612,AT4G03420,4,1,protein_coding,na
AT3G07640,0.487073010891358,AT3G07640,3,1,protein_coding,na
AT3G06520,0.479027666736259,AT3G06520,3,1,protein_coding,na
AT1G52890,0.473485526107272,ANAC019,1,-1,transcription_factor,NAC
AT1G61610,0.466440997733875,AT1G61610,1,1,protein_coding,na
AT5G24770,0.463859096643968,VSP2,5,-1,protein_coding,na
AT1G68050,0.457481181322529,ADO3,1,1,protein_coding,na
AT2G45570,0.452631365136282,CYP76C2,2,-1,protein_coding,na
AT3G53370,0.446042051451405,AT3G53370,3,-1,protein_coding,na
AT4G30470,0.441425769432257,AT4G30470,4,1,protein_coding,na
AT3G04040,0.44000881968236,AT3G04040,3,1,protein_coding,na
AT4G37640,0.435790454103277,ACA2,4,-1,protein_coding,na
AT4G35360,0.430410300876673,AT4G35360,4,-1,protein_coding,na
AT1G24575,0.425102285478314,AT1G24575,1,-1,protein_coding,na
AT3G26840,0.417666746481461,AT3G26840,3,1,protein_coding,na
AT3G06510,0.417584766565164,SFR2,3,1,protein_coding,na
AT1G24470,0.41758082573503,KCR2,1,1,protein_coding,na
AT3G48240,0.398422941051977,AT3G48240,3,1,protein_coding,na
AT3G07700,0.385931398214726,AT3G07700,3,-1,protein_coding,na
AT3G23920,0.384393854771495,BAM1,3,1,protein_coding,na
AT1G68290,0.368225186181219,ENDO2,1,1,protein_coding,na
AT1G29800,0.365619063105646,AT1G29800,1,1,protein_coding,na
AT1G58360,0.352269257690902,AAP1,1,1,protein_coding,na
AT2G21660,0.344085750845385,ATGRP7,2,-1,protein_coding,na
AT3G26430,0.342040103116073,AT3G26430,3,1,protein_coding,na
AT4G33140,0.340746207095356,AT4G33140,4,1,protein_coding,na
AT5G20830,0.323128291662062,SUS1,5,-1,protein_coding,na
AT1G04680,0.321545827959301,AT1G04680,1,-1,protein_coding,na
AT4G15440,0.312570891993738,HPL1,4,1,protein_coding,na
AT1G49450,0.308922957213097,AT1G49450,1,1,protein_coding,na
AT4G03550,0.308034681248052,ATGSL05,4,1,protein_coding,na
AT3G28007,0.280845178888666,SWEET4,3,-1,protein_coding,na
AT5G43260,0.27507689515272,AT5G43260,5,-1,protein_coding,na
AT1G79610,0.259085825260823,ATNHX6,1,-1,protein_coding,na
AT3G21610,0.25841545218855,AT3G21610,3,-1,protein_coding,na
AT5G24810,0.255393828902256,AT5G24810,5,-1,protein_coding,na
AT1G68238,0.252854197670885,AT1G68238,1,1,protein_coding,na
AT1G30160,0.250205396685482,AT1G30160,1,1,protein_coding,na
AT1G12240,0.248899089466016,ATBETAFRUCT4,1,1,protein_coding,na
AT1G77740,0.242743576237873,PIP5K2,1,1,protein_coding,na
AT3G11480,0.238560553377124,BSMT1,3,1,protein_coding,na
AT1G70640,0.238514297232587,AT1G70640,1,1,protein_coding,na
AT2G37320,0.229107263232383,AT2G37320,2,1,protein_coding,na
AT4G12910,0.2253252976004,scpl20,4,-1,protein_coding,na
AT5G36890,0.218445556249431,BGLU42,5,-1,protein_coding,na
AT4G21440,0.218235899110871,ATMYB102,4,-1,transcription_factor,MYB
AT1G11905,0.217499047841091,AT1G11905,1,1,protein_coding,na
AT1G70490,0.209825596485812,ATARFA1D,1,-1,protein_coding,na
AT3G18440,0.204302318583801,AtALMT9,3,1,protein_coding,na
AT2G29350,0.198805778250284,SAG13,2,1,protein_coding,na
