Ensembl.Gene.ID,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
Gene stable ID,Gene name,Chromosome/scaffold name,Strand,Gene type,na
AT3G11415,AT3G11415,3,1,ncRNA,na
AT1G31258,AT1G31258,1,1,ncRNA,na
AT5G24735,AT5G24735,5,-1,ncRNA,na
AT2G45780,AT2G45780,2,-1,ncRNA,na
AT2G42425,AT2G42425,2,-1,ncRNA,na
AT4G01533,AT4G01533,4,-1,ncRNA,na
AT4G09195,AT4G09195,4,1,ncRNA,na
AT1G79075,AT1G79075,1,1,ncRNA,na
AT5G10278,AT5G10278,5,1,ncRNA,na
AT1G67238,AT1G67238,1,-1,ncRNA,na
AT4G36648,AT4G36648,4,-1,ncRNA,na
AT4G03605,AT4G03605,4,1,ncRNA,na
AT2G15128,AT2G15128,2,1,ncRNA,na
AT3G02832,AT3G02832,3,1,ncRNA,na
AT3G48115,AT3G48115,3,-1,ncRNA,na
AT1G07977,AT1G07977,1,1,ncRNA,na
AT1G18745,AT1G18745,1,-1,ncRNA,na
AT5G40275,AT5G40275,5,-1,ncRNA,na
AT4G09405,AT4G09405,4,-1,ncRNA,na
AT5G02975,AT5G02975,5,-1,ncRNA,na
AT5G24206,AT5G24206,5,-1,ncRNA,na
AT5G23155,AT5G23155,5,1,ncRNA,na
AT3G45638,AT3G45638,3,-1,ncRNA,na
AT5G24205,AT5G24205,5,-1,ncRNA,na
AT5G03285,AT5G03285,5,1,ncRNA,na
AT3G00980,AT3G00980,3,-1,ncRNA,na
AT3G25795,AT3G25795,3,-1,ncRNA,na
AT2G42485,AT2G42485,2,1,ncRNA,na
AT3G52748,AT3G52748,3,1,ncRNA,na
AT3G52742,AT3G52742,3,-1,ncRNA,na
AT3G60176,AT3G60176,3,-1,ncRNA,na
AT1G32172,AT1G32172,1,1,ncRNA,na
AT1G26558,AT1G26558,1,1,ncRNA,na
AT4G16892,AT4G16892,4,-1,ncRNA,na
AT2G10537,AT2G10537,2,-1,ncRNA,na
AT1G78865,AT1G78865,1,-1,ncRNA,na
AT2G09215,AT2G09215,2,-1,ncRNA,na
AT1G10682,AT1G10682,1,-1,ncRNA,na
AT2G19796,AT2G19796,2,-1,ncRNA,na
AT1G04425,AT1G04425,1,1,ncRNA,na
AT1G15405,AT1G15405,1,-1,ncRNA,na
AT2G45245,AT2G45245,2,-1,ncRNA,na
AT1G06677,AT1G06677,1,-1,ncRNA,na
AT2G45023,AT2G45023,2,-1,ncRNA,na
AT1G14518,AT1G14518,1,-1,ncRNA,na
