GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT4G25315,0.999981975178272,AT4G25315,4,-1,protein_coding,na
AT2G45060,0.999530044526928,AT2G45060,2,-1,protein_coding,na
AT2G20140,0.998999999940763,AT2G20140,2,1,protein_coding,na
AT3G53890,0.998922914913932,AT3G53890,3,-1,protein_coding,na
AT5G02050,0.998388903969437,AT5G02050,5,-1,protein_coding,na
AT1G03360,0.997554692393586,ATRRP4,1,1,protein_coding,na
AT5G40770,0.996609198413262,ATPHB3,5,-1,protein_coding,na
AT1G07830,0.995723214230583,AT1G07830,1,1,protein_coding,na
AT2G36170,0.994848746581936,AT2G36170,2,1,protein_coding,na
AT1G14020,0.994084742767217,AT1G14020,1,1,protein_coding,na
AT4G30930,0.994056858271747,NFD1,4,-1,transcription_factor,WRKY
AT4G28470,0.993990150392161,RPN1B,4,-1,protein_coding,na
AT3G07590,0.991747413748476,AT3G07590,3,1,protein_coding,na
AT3G43810,0.988952070076667,CAM7,3,-1,protein_coding,na
AT1G05210,0.984276363214245,AT1G05210,1,1,protein_coding,na
AT1G04270,0.982463213205897,RPS15,1,-1,protein_coding,na
AT5G22400,0.981647113945423,AT5G22400,5,-1,protein_coding,na
AT5G08565,0.980575573978863,AT5G08565,5,1,protein_coding,na
AT4G10450,0.98042984581911,AT4G10450,4,-1,protein_coding,na
AT1G26880,0.97795452106897,AT1G26880,1,-1,protein_coding,na
AT1G48630,0.977226906417314,RACK1B_AT,1,-1,protein_coding,na
AT3G02520,0.97342055293864,GRF7,3,-1,protein_coding,na
AT2G21090,0.973268533142201,AT2G21090,2,-1,protein_coding,na
AT3G58700,0.97110911058682,AT3G58700,3,1,protein_coding,na
AT4G15000,0.969913546449504,AT4G15000,4,1,protein_coding,na
AT3G11510,0.965975981080731,AT3G11510,3,-1,protein_coding,na
AT1G22780,0.965019637262847,PFL,1,1,protein_coding,na
AT4G27090,0.963387063861087,AT4G27090,4,-1,protein_coding,na
AT1G71440,0.961075307174143,PFI,1,-1,protein_coding,na
