GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT2G04870,0.999981268373868,AT2G04870,2,-1,protein_coding,na
AT1G19040,0.999922970515614,AT1G19040,1,1,protein_coding,na
AT1G08985,0.999757830953772,AT1G08985,1,1,protein_coding,na
AT1G79770,0.997409066488696,AT1G79770,1,1,protein_coding,na
AT4G25470,0.991390828193751,CBF2,4,-1,transcription_factor,AP2-EREBP
AT5G41109,0.986147792213687,AT5G41109,5,-1,protein_coding,na
AT1G73510,0.980333183324947,AT1G73510,1,-1,protein_coding,na
AT2G27270,0.91784593842426,AT2G27270,2,1,protein_coding,na
AT1G59675,0.850492529696367,AT1G59675,1,-1,protein_coding,na
AT1G59950,0.788061429545634,AT1G59950,1,-1,protein_coding,na
AT4G26701,0.663986329140951,AT4G26701,4,1,protein_coding,na
AT1G12940,0.656861102659664,ATNRT2.5,1,1,protein_coding,na
AT2G07981,0.368525187766865,AT2G07981,2,1,protein_coding,na
AT3G04640,0.291222377549609,AT3G04640,3,-1,protein_coding,na
AT1G79680,0.276192283963817,WAKL10,1,-1,protein_coding,na
AT4G25490,0.240862159655053,CBF1,4,-1,transcription_factor,AP2-EREBP
AT5G36001,0.202445844491217,AT5G36001,5,1,protein_coding,na
AT1G29680,0.176606019145662,AT1G29680,1,-1,protein_coding,na
AT4G08485,0.118656550527495,AT4G08485,4,-1,protein_coding,na
AT4G27300,0.0765850830600126,AT4G27300,4,-1,protein_coding,na
AT1G36240,0.0683532818837631,AT1G36240,1,1,protein_coding,na
AT1G61470,0.0503761718388073,AT1G61470,1,1,protein_coding,na
AT1G66060,0.047763970585338,AT1G66060,1,-1,protein_coding,na
AT5G03944,0.0395533206199251,AT5G03944,5,-1,protein_coding,na
AT1G28370,0.0375495480212994,ERF11,1,-1,transcription_factor,AP2-EREBP
AT4G24570,0.0236792808014871,DIC2,4,1,protein_coding,na
AT5G22680,0.020652927552119,AT5G22680,5,-1,protein_coding,na
AT1G22690,0.0176690042620704,AT1G22690,1,1,protein_coding,na
AT4G27657,0.0154165169697295,AT4G27657,4,1,protein_coding,na
AT1G40104,0.0149719267088423,AT1G40104,1,1,protein_coding,na
AT4G34470,0.0146859529211227,ASK12,4,-1,protein_coding,na
AT4G20220,0.0123850438987583,AT4G20220,4,1,protein_coding,na
AT1G07135,0.00985209627694066,AT1G07135,1,-1,protein_coding,na
AT2G07280,0.00926779101471534,AT2G07280,2,1,protein_coding,na
AT5G16430,0.00788086259428345,AT5G16430,5,1,protein_coding,na
AT1G76954,0.00701922952487221,AT1G76954,1,-1,protein_coding,na
AT2G08986,0.0065447612990743,AT2G08986,2,1,protein_coding,na
AT1G80840,0.00503148534907855,WRKY40,1,1,transcription_factor,WRKY
AT1G51000,0.00494878274342275,AT1G51000,1,1,protein_coding,na
AT3G44260,0.00389146677996445,AT3G44260,3,-1,protein_coding,na
AT2G18190,0.00387506435167751,AT2G18190,2,-1,protein_coding,na
AT1G35210,0.00386393971254318,AT1G35210,1,-1,protein_coding,na
AT4G08270,0.00353873550915175,AT4G08270,4,1,protein_coding,na
AT5G22250,0.00352241300791849,AT5G22250,5,-1,protein_coding,na
AT1G74450,0.00327106678009578,AT1G74450,1,1,protein_coding,na
AT3G57640,0.00287368421109849,AT3G57640,3,-1,protein_coding,na
AT4G38870,0.00281509938566519,AT4G38870,4,-1,protein_coding,na
AT3G02840,0.00280856484904607,AT3G02840,3,1,protein_coding,na
AT4G18880,0.0026408666220538,AT-HSFA4A,4,-1,transcription_factor,HSF
AT4G30662,0.0025231988246985,AT4G30662,4,-1,protein_coding,na
