GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT3G57370,0.999981974756758,AT3G57370,3,-1,protein_coding,na
AT3G52130,0.9997130888015,AT3G52130,3,-1,protein_coding,na
AT3G56080,0.997870851930807,AT3G56080,3,-1,protein_coding,na
AT3G42570,0.997821891847997,AT3G42570,3,1,protein_coding,na
AT3G55570,0.980921007015105,AT3G55570,3,-1,protein_coding,na
AT3G10600,0.900213872961643,CAT7,3,1,protein_coding,na
AT1G29460,0.893055482981132,AT1G29460,1,-1,protein_coding,na
AT3G16680,0.891692656092455,AT3G16680,3,1,protein_coding,na
AT2G18010,0.884466846060864,AT2G18010,2,1,protein_coding,na
AT5G18020,0.855851023986421,AT5G18020,5,-1,protein_coding,na
AT1G13650,0.846298022430424,AT1G13650,1,-1,protein_coding,na
AT2G46790,0.832127243421268,APRR9,2,1,protein_coding,na
AT1G27710,0.827487561718465,AT1G27710,1,1,protein_coding,na
AT4G00872,0.762580131300338,AT4G00872,4,-1,protein_coding,na
AT5G40940,0.723447885217753,FLA20,5,-1,protein_coding,na
AT3G55646,0.642550084847867,AT3G55646,3,1,protein_coding,na
AT4G22370,0.583149852396487,AT4G22370,4,-1,protein_coding,na
AT1G66000,0.554299919530755,AT1G66000,1,1,protein_coding,na
AT5G18030,0.491461139995339,AT5G18030,5,1,protein_coding,na
AT4G09731,0.434664945346093,AT4G09731,4,1,protein_coding,na
AT4G13885,0.394317652116818,AT4G13885,4,-1,protein_coding,na
AT3G07450,0.390964181456376,AT3G07450,3,-1,protein_coding,na
AT4G29720,0.371871334030828,ATPAO5,4,-1,protein_coding,na
AT5G37940,0.367053256060681,AT5G37940,5,1,protein_coding,na
AT1G73050,0.342408757039899,AT1G73050,1,-1,protein_coding,na
AT1G48540,0.33743868088055,AT1G48540,1,1,protein_coding,na
AT3G13240,0.31715745756087,AT3G13240,3,1,protein_coding,na
AT4G34850,0.30728104686264,LAP5,4,1,protein_coding,na
AT1G27270,0.266671742439229,AT1G27270,1,1,protein_coding,na
AT1G31240,0.167163458054095,AT1G31240,1,-1,protein_coding,na
AT1G23810,0.166806279820285,AT1G23810,1,1,protein_coding,na
AT2G27770,0.164445298686371,AT2G27770,2,-1,protein_coding,na
AT4G27710,0.15846315456617,CYP709B3,4,1,protein_coding,na
AT3G57040,0.154732127121473,ARR9,3,1,protein_coding,na
AT2G16910,0.154447565712329,AMS,2,1,transcription_factor,bHLH
AT2G35075,0.152260573370146,AT2G35075,2,1,protein_coding,na
AT1G18960,0.151143506521613,AT1G18960,1,1,transcription_factor,MYB-related
AT5G18060,0.147141942077899,AT5G18060,5,1,protein_coding,na
AT5G35490,0.14104479911651,ATMRU1,5,1,protein_coding,na
AT3G62499,0.139974994803103,AT3G62499,3,1,protein_coding,na
AT1G22000,0.135631929914316,AT1G22000,1,1,protein_coding,na
AT5G25990,0.125738102571893,AT5G25990,5,-1,protein_coding,na
AT4G12030,0.118091655932801,BAT5,4,1,protein_coding,na
AT4G03600,0.117157633233779,AT4G03600,4,-1,protein_coding,na
AT2G24420,0.0924894162215459,AT2G24420,2,1,protein_coding,na
AT5G10930,0.0922888707525548,CIPK5,5,-1,protein_coding,na
