GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT5G25140,0.999981974566077,CYP71B13,5,1,protein_coding,na
AT1G64850,0.999656241811057,AT1G64850,1,-1,protein_coding,na
AT1G66230,0.99074195990501,MYB20,1,1,transcription_factor,MYB
AT5G15950,0.987812293232638,AT5G15950,5,1,protein_coding,na
AT1G10470,0.98439486709451,ARR4,1,-1,protein_coding,na
AT5G20790,0.979059720884989,AT5G20790,5,-1,protein_coding,na
AT4G15660,0.977656578539959,AT4G15660,4,1,protein_coding,na
AT1G22750,0.954937239062329,AT1G22750,1,1,protein_coding,na
AT5G40890,0.934462954493746,ATCLC-A,5,-1,protein_coding,na
AT1G05850,0.921333198793681,POM1,1,-1,protein_coding,na
AT1G74300,0.91068242203458,AT1G74300,1,1,protein_coding,na
AT4G28730,0.905348602927838,AT4G28730,4,1,protein_coding,na
AT1G78620,0.861958141294601,AT1G78620,1,-1,protein_coding,na
AT2G32870,0.846975373266469,AT2G32870,2,-1,protein_coding,na
AT1G65420,0.826426247700691,NPQ7,1,-1,protein_coding,na
AT1G76130,0.825757993226583,ATAMY2,1,1,protein_coding,na
AT4G05110,0.797561171002811,ATENT6,4,-1,protein_coding,na
AT1G63120,0.78362263223079,ATRBL2,1,-1,protein_coding,na
AT2G41040,0.768884700197395,AT2G41040,2,1,protein_coding,na
AT3G01550,0.757553019272806,ATPPT2,3,-1,protein_coding,na
AT4G29070,0.743205548958681,AT4G29070,4,1,protein_coding,na
AT3G27820,0.70984863323523,ATMDAR4,3,1,protein_coding,na
AT1G29430,0.686717243931745,AT1G29430,1,-1,protein_coding,na
AT1G29450,0.679909945733644,AT1G29450,1,-1,protein_coding,na
AT2G23200,0.656694879478519,AT2G23200,2,1,protein_coding,na
AT2G29110,0.612890511772989,ATGLR2.8,2,-1,protein_coding,na
AT1G02270,0.587906125160071,AT1G02270,1,-1,protein_coding,na
AT3G07800,0.58407007570388,AT3G07800,3,-1,protein_coding,na
AT3G02040,0.573992131603287,SRG3,3,-1,protein_coding,na
AT4G30993,0.56808889232417,AT4G30993,4,1,protein_coding,na
AT1G10360,0.563909521242363,ATGSTU18,1,-1,protein_coding,na
AT1G53690,0.556757339824972,AT1G53690,1,-1,protein_coding,na
AT1G58520,0.537889155614325,RXW8,1,1,protein_coding,na
AT1G70520,0.530689672398025,CRK2,1,-1,protein_coding,na
AT4G00780,0.524979562171673,AT4G00780,4,1,protein_coding,na
AT2G46880,0.483594065499002,ATPAP14,2,-1,protein_coding,na
AT2G16280,0.469245430449403,KCS9,2,1,protein_coding,na
AT3G13437,0.469026381124667,AT3G13437,3,1,protein_coding,na
AT2G37540,0.455833523638958,AT2G37540,2,-1,protein_coding,na
AT4G35320,0.42857599931151,AT4G35320,4,-1,protein_coding,na
AT3G09922,0.408467781344773,IPS1,3,1,protein_coding,na
AT1G33340,0.406870738825053,AT1G33340,1,1,protein_coding,na
AT3G19850,0.396117865057753,AT3G19850,3,-1,protein_coding,na
AT3G23110,0.381970948177803,AtRLP37,3,-1,protein_coding,na
