GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G06280,1,LBD2,1,-1,protein_coding,na
AT3G09922,0.999981894748674,IPS1,3,1,protein_coding,na
AT5G20790,0.987996438089091,AT5G20790,5,-1,protein_coding,na
AT3G25240,0.965689457652389,AT3G25240,3,1,protein_coding,na
AT1G23110,0.493536054058396,AT1G23110,1,-1,protein_coding,na
AT2G11810,0.274324776459048,MGDC,2,1,protein_coding,na
AT2G46880,0.149476955421639,ATPAP14,2,-1,protein_coding,na
AT1G17710,0.100615682447519,AT1G17710,1,-1,protein_coding,na
AT2G45130,0.0533020051267642,ATSPX3,2,1,protein_coding,na
AT1G68238,0.0260276506327881,AT1G68238,1,1,protein_coding,na
AT2G41240,0.0138766238994527,BHLH100,2,-1,transcription_factor,bHLH
AT2G07280,0.00904563204636148,AT2G07280,2,1,protein_coding,na
AT5G03545,0.00874635667852116,AT4,5,1,protein_coding,na
AT5G16940,0.00811805954346923,AT5G16940,5,-1,protein_coding,na
AT4G20220,0.00770541466611499,AT4G20220,4,1,protein_coding,na
AT2G45135,0.00734115104672876,AT2G45135,2,1,protein_coding,na
AT3G06870,0.00660786802206844,AT3G06870,3,-1,protein_coding,na
AT2G03130,0.00497307405176991,AT2G03130,2,1,protein_coding,na
AT1G62690,0.00469608249384628,AT1G62690,1,-1,protein_coding,na
AT5G19700,0.00432490288024492,AT5G19700,5,-1,protein_coding,na
AT4G08455,0.00418978148493473,AT4G08455,4,1,protein_coding,na
AT4G24890,0.00338443031303898,ATPAP24,4,-1,protein_coding,na
AT2G14580,0.00333071689434468,ATPRB1,2,-1,protein_coding,na
AT1G60530,0.00322460424985488,DRP4A,1,1,protein_coding,na
AT1G32400,0.00316680141450163,TOM2A,1,-1,protein_coding,na
AT1G13608,0.00304689199573373,AT1G13608,1,1,protein_coding,na
AT5G18390,0.0029356890262348,AT5G18390,5,1,protein_coding,na
AT5G26720,0.00241150512557838,AT5G26720,5,1,protein_coding,na
AT3G32400,0.00230923791946414,AT3G32400,3,-1,protein_coding,na
AT1G80960,0.00219518429488341,AT1G80960,1,1,protein_coding,na
AT5G24340,0.00197729631064828,AT5G24340,5,1,protein_coding,na
AT1G24580,0.00194915274872933,AT1G24580,1,1,protein_coding,na
AT1G73010,0.00191901521766285,ATPS2,1,-1,protein_coding,na
AT3G61571,0.00189679677950031,AT3G61571,3,-1,protein_coding,na
AT3G29690,0.00187496951762235,AT3G29690,3,-1,protein_coding,na
AT2G29640,0.00187227342245697,JOSL,2,1,protein_coding,na
AT1G51350,0.00184357453131068,AT1G51350,1,1,protein_coding,na
AT4G13270,0.00162950884617992,AT4G13270,4,1,protein_coding,na
AT5G40190,0.00161933601472875,AT5G40190,5,-1,protein_coding,na
AT1G34220,0.00152962051223925,AT1G34220,1,-1,protein_coding,na
AT4G03600,0.0015132126366756,AT4G03600,4,-1,protein_coding,na
AT5G20030,0.00146756472945293,AT5G20030,5,-1,protein_coding,na
AT2G36985,0.00143366925942442,ROT4,2,-1,protein_coding,na
AT4G02370,0.00141017166165392,AT4G02370,4,1,protein_coding,na
AT1G71800,0.00138174711466275,CSTF64,1,1,protein_coding,na
AT4G27100,0.00133097518594831,AT4G27100,4,1,protein_coding,na
AT3G27820,0.00130541246065467,ATMDAR4,3,1,protein_coding,na
AT4G36350,0.00127452051617714,ATPAP25,4,-1,protein_coding,na
AT5G22170,0.00126657285210488,AT5G22170,5,1,protein_coding,na
AT3G48960,0.00124565703396355,AT3G48960,3,-1,protein_coding,na
AT2G29900,0.00124180991007089,PS2,2,1,protein_coding,na
AT2G21230,0.00123946374355076,AT2G21230,2,-1,transcription_factor,bZIP
AT3G10380,0.00123391571509414,SEC8,3,-1,protein_coding,na
AT4G25970,0.00122893692225417,PSD3,4,1,protein_coding,na
AT1G19110,0.0012278096319789,AT1G19110,1,1,protein_coding,na
AT3G10360,0.00121730051928775,APUM4,3,-1,protein_coding,na
AT4G03635,0.00118045629829638,AT4G03635,4,1,protein_coding,na
AT5G35560,0.00117572692642788,AT5G35560,5,-1,protein_coding,na
AT5G16520,0.00116077284420659,AT5G16520,5,-1,protein_coding,na
AT4G31550,0.00113719562819775,WRKY11,4,-1,transcription_factor,WRKY
AT5G24318,0.00113067153682402,AT5G24318,5,-1,protein_coding,na
AT4G08810,0.00111906622612835,SUB1,4,-1,protein_coding,na
AT5G11600,0.00107434364700943,AT5G11600,5,-1,protein_coding,na
AT4G04740,0.00107256673120301,CPK23,4,-1,protein_coding,na
AT2G43790,0.00105471932874364,ATMPK6,2,1,protein_coding,na
AT2G48160,0.00104911338993067,AT2G48160,2,-1,protein_coding,na
AT1G71420,0.0010414860731566,AT1G71420,1,-1,protein_coding,na
AT4G16144,0.0010318725604306,AMSH3,4,-1,protein_coding,na
AT5G17550,0.00103021252780658,PEX19-2,5,-1,protein_coding,na
AT2G43200,0.00102902685120439,AT2G43200,2,1,protein_coding,na
AT2G46840,0.00102809855893938,ATDUF4,2,-1,protein_coding,na
AT1G67790,0.00102252566489528,AT1G67790,1,-1,protein_coding,na
AT4G33690,0.0010171522709083,AT4G33690,4,1,protein_coding,na
AT4G34310,0.00101447975979034,AT4G34310,4,1,protein_coding,na
AT4G30710,0.0010096166609668,QWRF8,4,-1,protein_coding,na
AT2G10950,0.00100538548623373,AT2G10950,2,-1,protein_coding,na
AT3G25210,0.00100469300637204,AT3G25210,3,1,protein_coding,na
AT1G62914,0.00100447514272145,AT1G62914,1,1,protein_coding,na
AT3G12980,0.0010022081124058,HAC5,3,1,protein_coding,na
AT2G04340,0.00100108470206799,AT2G04340,2,1,protein_coding,na
AT4G37880,0.000994873336125599,AT4G37880,4,1,protein_coding,na
AT3G56840,0.000982635995768921,AT3G56840,3,1,protein_coding,na
AT4G21192,0.000979867242453046,AT4G21192,4,1,protein_coding,na
AT1G79380,0.000977038832818829,AT1G79380,1,1,protein_coding,na
